"","cell_id","from","to","percentage"
"1","c-25","Y_1","Y_33",0.724345520993207
"2","c-62","Y_1","Y_33",0.69999840957276
"3","c-105","Y_1","Y_33",0.69999840957276
"4","c-112","Y_1","Y_33",0.69999840957276
"5","c-148","Y_1","Y_33",0.724345520993207
"6","c-149","Y_1","Y_33",0.69999840957276
"7","c-163","Y_1","Y_33",0.69999840957276
"8","c-170","Y_1","Y_33",0.69999840957276
"9","c-185","Y_1","Y_33",0.724345520993207
"10","c-199","Y_1","Y_33",0.69999840957276
"11","c-209","Y_1","Y_33",0.724345520993207
"12","c-218","Y_1","Y_33",0.724345520993207
"13","c-245","Y_1","Y_33",0.724345520993207
"14","c-253","Y_1","Y_33",0.69999840957276
"15","c-365","Y_1","Y_33",0.724345520993207
"16","c-366","Y_1","Y_33",0.69999840957276
"17","c-412","Y_1","Y_33",0.69999840957276
"18","c-459","Y_1","Y_33",0.69999840957276
"19","c-470","Y_1","Y_33",0.69999840957276
"20","c-512","Y_1","Y_33",0.69999840957276
"21","c-581","Y_1","Y_33",0.724345520993207
"22","c-601","Y_1","Y_33",0.69999840957276
"23","c-605","Y_1","Y_33",0.69999840957276
"24","c-712","Y_1","Y_33",0.69999840957276
"25","c-718","Y_1","Y_33",0.69999840957276
"26","c-736","Y_1","Y_33",0.69999840957276
"27","c-819","Y_1","Y_33",0.724345520993207
"28","c-853","Y_1","Y_33",0.724345520993207
"29","c-872","Y_1","Y_33",0.724345520993207
"30","c-877","Y_1","Y_33",0.69999840957276
"31","c-896","Y_1","Y_33",0.724345520993207
"32","c-964","Y_1","Y_33",0.724345520993207
"33","c-1060","Y_1","Y_33",0.724345520993207
"34","c-1218","Y_1","Y_33",0.69999840957276
"35","c-1224","Y_1","Y_33",0.69999840957276
"36","c-1234","Y_1","Y_33",0.69999840957276
"37","c-1269","Y_1","Y_33",0.69999840957276
"38","c-1285","Y_1","Y_33",0.724345520993207
"39","c-1320","Y_1","Y_33",0.724345520993207
"40","c-1331","Y_1","Y_33",0.69999840957276
"41","c-1398","Y_1","Y_33",0.724345520993207
"42","c-1432","Y_1","Y_33",0.69999840957276
"43","c-1452","Y_1","Y_33",0.69999840957276
"44","c-1502","Y_1","Y_33",0.69999840957276
"45","c-1522","Y_1","Y_33",0.69999840957276
"46","c-1631","Y_1","Y_33",0.724345520993207
"47","c-1784","Y_1","Y_33",0.69999840957276
"48","c-1785","Y_1","Y_33",0.69999840957276
"49","c-1796","Y_1","Y_33",0.724345520993207
"50","c-1800","Y_1","Y_33",0.724345520993207
"51","c-1815","Y_1","Y_33",0.724345520993207
"52","c-1850","Y_1","Y_33",0.69999840957276
"53","c-1886","Y_1","Y_33",0.69999840957276
"54","c-1889","Y_1","Y_33",0.724345520993207
"55","c-1896","Y_1","Y_33",0.69999840957276
"56","c-1931","Y_1","Y_33",0.69999840957276
"57","c-1941","Y_1","Y_33",0.724345520993207
"58","c-1952","Y_1","Y_33",0.724345520993207
"59","c-1998","Y_1","Y_33",0.724345520993207
"60","c-12","Y_1","Y_33",0.660464976914938
"61","c-85","Y_1","Y_33",0.660464976914938
"62","c-107","Y_1","Y_33",0.660464976914938
"63","c-336","Y_1","Y_33",0.660464976914938
"64","c-404","Y_1","Y_33",0.660464976914938
"65","c-446","Y_1","Y_33",0.660464976914938
"66","c-539","Y_1","Y_33",0.660464976914938
"67","c-545","Y_1","Y_33",0.660464976914938
"68","c-740","Y_1","Y_33",0.660464976914938
"69","c-767","Y_1","Y_33",0.660464976914938
"70","c-829","Y_1","Y_33",0.660464976914938
"71","c-1023","Y_1","Y_33",0.660464976914938
"72","c-1077","Y_1","Y_33",0.660464976914938
"73","c-1113","Y_1","Y_33",0.660464976914938
"74","c-1133","Y_1","Y_33",0.660464976914938
"75","c-1141","Y_1","Y_33",0.660464976914938
"76","c-1342","Y_1","Y_33",0.660464976914938
"77","c-1366","Y_1","Y_33",0.660464976914938
"78","c-1402","Y_1","Y_33",0.660464976914938
"79","c-1485","Y_1","Y_33",0.660464976914938
"80","c-1500","Y_1","Y_33",0.660464976914938
"81","c-1503","Y_1","Y_33",0.660464976914938
"82","c-1797","Y_1","Y_33",0.660464976914938
"83","c-1869","Y_1","Y_33",0.660464976914938
"84","c-1919","Y_1","Y_33",0.660464976914938
"85","c-84","Y_1","Y_33",0.755303325997228
"86","c-115","Y_1","Y_33",0.78779922355285
"87","c-194","Y_1","Y_33",0.78779922355285
"88","c-233","Y_1","Y_33",0.755303325997228
"89","c-329","Y_1","Y_33",0.755303325997228
"90","c-648","Y_1","Y_33",0.755303325997228
"91","c-685","Y_1","Y_33",0.755303325997228
"92","c-863","Y_1","Y_33",0.755303325997228
"93","c-900","Y_1","Y_33",0.755303325997228
"94","c-1094","Y_1","Y_33",0.78779922355285
"95","c-1173","Y_1","Y_33",0.78779922355285
"96","c-1422","Y_1","Y_33",0.755303325997228
"97","c-1495","Y_1","Y_33",0.78779922355285
"98","c-1675","Y_1","Y_33",0.755303325997228
"99","c-1924","Y_1","Y_33",0.755303325997228
"100","c-1958","Y_1","Y_33",0.755303325997228
"101","c-1981","Y_1","Y_33",0.755303325997228
"102","c-1994","Y_1","Y_33",0.78779922355285
"103","c-35","Y_1","Y_33",0.0337902701446432
"104","c-64","Y_1","Y_33",0.0511151361797436
"105","c-174","Y_1","Y_33",0.0337902701446432
"106","c-265","Y_1","Y_33",0.0337902701446432
"107","c-277","Y_1","Y_33",0.0511151361797436
"108","c-555","Y_1","Y_33",0.0337902701446432
"109","c-595","Y_1","Y_33",0.0337902701446432
"110","c-653","Y_1","Y_33",0.0337902701446432
"111","c-697","Y_1","Y_33",0.0337902701446432
"112","c-755","Y_1","Y_33",0.0337902701446432
"113","c-768","Y_1","Y_33",0.0511151361797436
"114","c-831","Y_1","Y_33",0.0337902701446432
"115","c-959","Y_1","Y_33",0.0337902701446432
"116","c-1107","Y_1","Y_33",0.0337902701446432
"117","c-1217","Y_1","Y_33",0.0337902701446432
"118","c-1350","Y_1","Y_33",0.0337902701446432
"119","c-1353","Y_1","Y_33",0.0337902701446432
"120","c-1360","Y_1","Y_33",0.0337902701446432
"121","c-1413","Y_1","Y_33",0.0511151361797436
"122","c-1533","Y_1","Y_33",0.0337902701446432
"123","c-1748","Y_1","Y_33",0.0337902701446432
"124","c-1932","Y_1","Y_33",0.0337902701446432
"125","c-1951","Y_1","Y_33",0.0511151361797436
"126","c-14","Y_1","Y_33",0.149907495884688
"127","c-46","Y_1","Y_33",0.149907495884688
"128","c-56","Y_1","Y_33",0.178778267197587
"129","c-120","Y_1","Y_33",0.149907495884688
"130","c-134","Y_1","Y_33",0.178778267197587
"131","c-197","Y_1","Y_33",0.149907495884688
"132","c-315","Y_1","Y_33",0.149907495884688
"133","c-423","Y_1","Y_33",0.178778267197587
"134","c-433","Y_1","Y_33",0.149907495884688
"135","c-473","Y_1","Y_33",0.149907495884688
"136","c-527","Y_1","Y_33",0.149907495884688
"137","c-561","Y_1","Y_33",0.149907495884688
"138","c-584","Y_1","Y_33",0.178778267197587
"139","c-589","Y_1","Y_33",0.149907495884688
"140","c-591","Y_1","Y_33",0.149907495884688
"141","c-665","Y_1","Y_33",0.149907495884688
"142","c-677","Y_1","Y_33",0.149907495884688
"143","c-731","Y_1","Y_33",0.149907495884688
"144","c-743","Y_1","Y_33",0.149907495884688
"145","c-746","Y_1","Y_33",0.149907495884688
"146","c-757","Y_1","Y_33",0.149907495884688
"147","c-776","Y_1","Y_33",0.149907495884688
"148","c-778","Y_1","Y_33",0.149907495884688
"149","c-842","Y_1","Y_33",0.149907495884688
"150","c-865","Y_1","Y_33",0.149907495884688
"151","c-971","Y_1","Y_33",0.149907495884688
"152","c-996","Y_1","Y_33",0.149907495884688
"153","c-1043","Y_1","Y_33",0.149907495884688
"154","c-1085","Y_1","Y_33",0.149907495884688
"155","c-1088","Y_1","Y_33",0.149907495884688
"156","c-1092","Y_1","Y_33",0.149907495884688
"157","c-1114","Y_1","Y_33",0.178778267197587
"158","c-1122","Y_1","Y_33",0.149907495884688
"159","c-1132","Y_1","Y_33",0.149907495884688
"160","c-1153","Y_1","Y_33",0.178778267197587
"161","c-1162","Y_1","Y_33",0.149907495884688
"162","c-1186","Y_1","Y_33",0.149907495884688
"163","c-1202","Y_1","Y_33",0.149907495884688
"164","c-1207","Y_1","Y_33",0.149907495884688
"165","c-1243","Y_1","Y_33",0.149907495884688
