"","cell_id","from","to","percentage"
"1","c-3","1","2",0.95023887257592
"2","c-9","7","5",0.65414455515412
"3","c-10","1","2",0.135567404364661
"4","c-11","1","2",0.993873517876632
"5","c-13","1","2",0.300292516309055
"6","c-14","2","7",0.0537870488178614
"7","c-19","2","7",0.0234308008207844
"8","c-21","2","7",0.0187762130715946
"9","c-24","6","9",0.0370304190934459
"10","c-27","2","7",0.0249071200545957
"11","c-30","1","2",0.209358660927571
"12","c-34","2","7",0.0208852976134897
"13","c-35","1","2",0.494561188218035
"14","c-39","7","5",0.046356914460756
"15","c-46","2","7",0.019466165621535
"16","c-48","9","4",0.327558909489722
"17","c-50","2","7",0.0101226813460585
"18","c-54","1","2",0.909737795096817
"19","c-56","1","2",0.853898503150052
"20","c-58","2","7",0.0175015399506866
"21","c-60","10","6",0.681256280803184
"22","c-64","1","2",0.781095829665232
"23","c-65","7","5",0.20835446561064
"24","c-73","1","2",0.751473995449378
"25","c-74","6","9",0.239930249835052
"26","c-77","7","5",1
"27","c-83","1","2",0.894485296470353
"28","c-86","9","4",0.720851402044592
"29","c-88","10","6",0.533021898664156
"30","c-92","1","2",0.30505925170012
"31","c-93","2","7",0.00414698121865059
"32","c-95","6","9",0.184106510316608
"33","c-102","1","2",0.863396137949285
"34","c-103","2","7",0.0057645323655178
"35","c-106","2","7",0.0122161554976598
"36","c-110","2","7",0.023728077670563
"37","c-117","9","4",0.263543925001893
"38","c-119","8","1",0.247255091074638
"39","c-120","1","2",0.972757466368864
"40","c-121","2","7",0.0170275039710761
"41","c-124","1","2",0.559734993620468
"42","c-125","9","4",0.726498702830911
"43","c-129","2","7",0.0176055677061313
"44","c-130","7","5",1
"45","c-134","1","2",0.840082013368921
"46","c-135","2","7",0.0095302021330723
"47","c-136","2","7",0.0292546363445619
"48","c-139","1","2",0.296201720268557
"49","c-144","2","7",0.0182811423677153
"50","c-146","2","7",0.0109863794066904
"51","c-150","2","7",0.0138952960161261
"52","c-151","1","2",0.868193463529101
"53","c-154","7","5",1
"54","c-158","2","7",0.00909346250937945
"55","c-160","9","4",0.61103490317159
"56","c-168","9","4",0.714708756236701
"57","c-169","7","5",1
"58","c-172","6","9",0.475921870925849
"59","c-173","10","6",0
"60","c-174","1","2",0.459437323848716
"61","c-175","4","8",0.977095141859164
"62","c-178","9","4",0.739356469954685
"63","c-179","10","6",0.896779634199738
"64","c-183","1","2",0.602076938815482
"65","c-184","1","2",0.999576766367643
"66","c-189","9","4",0.0902931219273593
"67","c-193","2","7",0.0236850407564203
"68","c-196","2","7",0.0112113198983212
"69","c-197","1","2",0.995012004871069
"70","c-200","1","2",0.955432832600705
"71","c-203","6","9",0.535079084281765
"72","c-204","10","6",0
"73","c-205","6","9",0.243237461578095
"74","c-206","2","7",0.0417829147537682
"75","c-212","1","2",0.497892554558926
"76","c-214","7","5",1
"77","c-217","2","7",0.0677004739312687
"78","c-225","9","4",0.062630099981603
"79","c-226","1","2",0.984664311906045
"80","c-227","8","1",0.416589758663135
"81","c-231","2","7",0.0318608303180244
"82","c-232","2","7",0.953013689722962
"83","c-241","2","7",0.0202645724685817
"84","c-242","1","2",0.829085935048624
"85","c-243","6","9",0.517103689034418
"86","c-244","6","9",0.0128145940467354
"87","c-248","10","6",0.323507689793715
"88","c-251","2","7",0.0118597527995055
"89","c-254","10","6",0.48896696216009
"90","c-258","2","7",0.010333483965132
"91","c-261","1","2",0.515056002447496
"92","c-262","10","6",0.380065676026189
"93","c-264","2","7",0.0213095617946602
"94","c-265","1","2",0.494191053048977
"95","c-268","1","2",0.997328426139455
"96","c-273","1","2",0.827259689727205
"97","c-274","2","7",0.118297103552025
"98","c-275","1","2",0.980416267823552
"99","c-277","1","2",0.704727193793868
"100","c-286","9","4",0.287387578130783
"101","c-287","1","2",0.843122876827597
"102","c-288","2","7",0.0240420593635349
"103","c-291","2","7",0.00685325897003242
"104","c-293","7","5",1
"105","c-294","6","9",0.828571683791666
"106","c-304","2","7",0.022139365946774
"107","c-309","1","2",0.977649242348387
"108","c-313","2","7",0.0133734553065433
"109","c-314","10","6",0
"110","c-315","1","2",0.931861831023835
"111","c-316","2","7",0.0271018694651478
"112","c-320","2","7",0.0268122376610949
"113","c-325","1","2",0.891867114896811
"114","c-327","2","7",0.0461156896838766
"115","c-331","10","6",0.8883400137289
"116","c-332","7","5",0.0326554709324382
"117","c-334","1","2",0.792929183105351
"118","c-335","2","7",0.0209496597888779
"119","c-338","10","6",0.88058362459435
"120","c-340","2","7",0.0270879672127131
"121","c-347","1","2",0.957021078201325
"122","c-351","2","7",0.0164912208079957
"123","c-352","1","2",0.937495099673144
"124","c-354","2","7",0.0224631079659804
"125","c-356","2","7",0.0303176489791574
"126","c-360","2","7",0.0388059643949642
"127","c-361","2","7",0.0441045063994416
"128","c-364","10","6",0.742557355911161
"129","c-372","6","9",0.209671578360159
"130","c-381","6","9",0.884588542607152
"131","c-382","6","9",0.611365170263707
"132","c-386","6","9",0.00556441029525893
"133","c-390","6","9",0.460948507008608
"134","c-393","2","7",0.0247060388396675
"135","c-396","6","9",0.672752127879117
"136","c-399","1","2",0.587544762190288
"137","c-402","10","6",0.827179418611322
"138","c-409","1","2",0.898225352214686
"139","c-416","2","7",0.00431781262242925
"140","c-423","1","2",0.964731746761089
"141","c-426","2","7",0.0184294266249052
"142","c-427","10","6",0.950190763829523
"143","c-433","1","2",0.980308515695907
"144","c-441","9","4",0.24818770152518
"145","c-451","1","2",0.798181184745982
"146","c-453","6","9",0.818656816258439
"147","c-454","6","9",0.796272931574263
"148","c-460","9","4",0.143459986783743
"149","c-462","2","7",0.042355195691239
"150","c-464","10","6",0.861723903891915
"151","c-465","1","2",0.913760648938066
"152","c-466","2","7",0.018952638785281
"153","c-467","7","5",1
"154","c-473","2","7",0.0571273893608289
"155","c-480","6","9",0.218236702571044
"156","c-485","9","4",0.0857280891114655
"157","c-487","10","6",0
"158","c-488","1","2",0.823201308425129
"159","c-489","1","2",0.913460928562622
"160","c-492","1","2",0.93348583183068
"161","c-494","2","7",0.0183673084088971
"162","c-503","2","7",0.0208600356259309
"163","c-504","6","9",0.0602694815856409
"164","c-508","6","9",0.817461832983156
"165","c-511","1","2",0.390996492911095
"166","c-513","10","6",0
"167","c-515","2","7",0.013580678084895
"168","c-516","6","9",0.502542015277848
"169","c-517","1","2",0.161235599909953
"170","c-518","6","9",0.810555452320553
"171","c-520","1","2",0.209177028131873
"172","c-521","1","2",0.74624856981922
"173","c-522","1","2",0.990955970988574
"174","c-523","9","4",0.731975875580728
"175","c-525","10","6",0.919449827650782
"176","c-526","2","7",0.0401183172059564
"177","c-527","2","7",0.013840158083119
"178","c-532","6","9",0.049738180775423
"179","c-533","9","4",0.489854690590707
"180","c-534","2","7",0.0478977388870147
"181","c-535","10","6",0.210768859944886
"182","c-538","9","4",0.121942336139992
"183","c-540","6","9",0.729240294656644
"184","c-544","1","2",0.928369976769421
"185","c-547","1","2",0.875598577971957
"186","c-551","10","6",0.901473548575919
"187","c-552","1","2",0.662911425690352
"188","c-553","2","7",0.0345592928218486
"189","c-554","1","2",0.789015853625831
"190","c-555","1","2",0.610988776870204
"191","c-557","1","2",0.478833068948472
"192","c-558","1","2",0.898215160867693
"193","c-560","10","6",0.755654969275745
"194","c-561","1","2",0.918513583773743
"195","c-564","2","7",0.0375510450037273
"196","c-569","8","1",0.459717103949619
"197","c-579","6","9",0.664492887700324
"198","c-580","2","7",0.0450090711602651
"199","c-583","1","2",0.991437378096963
"200","c-584","1","2",0.441571996343256
"201","c-585","1","2",0.954755891102301
"202","c-587","9","4",0.0218741283858398
"203","c-589","2","7",0.0176610518181195
"204","c-591","2","7",0.0526931549193423
"205","c-593","2","7",0.0278630880444957
"206","c-594","6","9",0.000656515157289774
"207","c-595","1","2",0.703424173211605
"208","c-602","1","2",0.837937528814495
"209","c-603","1","2",0.949747060843607
"210","c-608","8","1",0.0378596916342669
"211","c-610","6","9",0.757521635802973
"212","c-617","2","7",0.108203844755351
"213","c-618","1","2",0.522512898284364
"214","c-620","10","6",0.8727971440254
"215","c-621","7","5",1
"216","c-622","9","4",0.38910241977047
"217","c-625","1","2",0.85886154436075
"218","c-627","1","2",0.743644554647314
"219","c-628","1","2",0.988550637056801
"220","c-630","2","7",0.893964246417148
"221","c-631","2","7",0.0188640245920355
"222","c-632","2","7",0.0391696625741656
"223","c-636","1","2",0.841803048329088
"224","c-637","2","7",0.0621700644846961
"225","c-639","9","4",0.356564851453991
"226","c-641","2","7",0.0114392130618079
"227","c-642","1","2",0.317361430414629
"228","c-643","1","2",0.44206803302513
"229","c-644","10","6",0.736988414210059
"230","c-646","2","7",0.0281500727582305
"231","c-651","1","2",0.968025231953946
"232","c-653","1","2",0.39188673040551
"233","c-659","9","4",0.440164824376973
"234","c-661","6","9",0.294221969923801
"235","c-662","2","7",0.032954499536139
"236","c-665","2","7",0.0222824713853206
"237","c-666","2","7",0.0298551757960603
"238","c-670","1","2",0.331343400131928
"239","c-677","1","2",0.945056049654736
"240","c-679","6","9",0.290826143137157
"241","c-680","2","7",0.0389276450877009
"242","c-681","2","7",0.0386783199404102
"243","c-686","7","5",1
"244","c-689","2","7",0.0242638649916272
"245","c-690","10","6",0.755935088441539
"246","c-691","1","2",0.673999073648646
"247","c-696","4","8",0.975766656799385
"248","c-697","1","2",0.445273191736102
"249","c-698","9","4",0.165643259164385
"250","c-701","7","5",0.0730774238827464
"251","c-703","10","6",0.776989725192435
"252","c-704","6","9",0.0952512438906593
"253","c-706","1","2",0.95507209022627
"254","c-711","6","9",0.0426727570254221
"255","c-713","9","4",0.141265645565285
"256","c-716","7","5",0.694697301678397
"257","c-717","6","9",0.856071510466214
"258","c-721","9","4",0.774136171536978
"259","c-723","2","7",0.0212206881121861
"260","c-731","1","2",0.959373669540756
"261","c-732","2","7",0.410829225249993
"262","c-734","8","1",0.466326988532755
"263","c-738","1","2",0.8477350825463
"264","c-739","9","4",0.0369874808155341
"265","c-743","2","7",0.0500894138183064
"266","c-746","2","7",0.0158913960310284
"267","c-748","8","1",0.105383930738552
"268","c-749","9","4",0.622422169147208
"269","c-751","9","4",0.642001951604049
"270","c-754","2","7",0.023049265766136
"271","c-755","1","2",0.418854237529237
"272","c-756","8","1",0.637717703177927
"273","c-757","2","7",0.0608203844326378
"274","c-759","6","9",0.530141264035434
"275","c-760","7","5",0.0102707216423331
"276","c-761","1","2",0.918102665238569
"277","c-763","1","2",0.74482654624761
"278","c-768","1","2",0.808180116678502
"279","c-769","2","7",0.00838056457369303
"280","c-770","2","7",0.00181576714649788
"281","c-772","10","6",0
"282","c-776","2","7",0.0382409004705331
"283","c-778","2","7",0.000437722517208237
"284","c-779","1","2",0.880517701963442
"285","c-782","2","7",0.0992467290680603
"286","c-783","2","7",0.0135963695851798
"287","c-784","1","2",0.983046789317194
"288","c-787","10","6",0.933552409022776
"289","c-789","10","6",0.890090221205079
"290","c-793","2","7",0.0401831540758626
"291","c-796","2","7",0.153038927617028
"292","c-798","8","1",0.0517303436062172
"293","c-803","1","2",0.301966952006524
"294","c-804","1","2",0.986851508317274
"295","c-807","1","2",0.978152069469818
"296","c-810","6","9",0.00184206337076915
"297","c-822","2","7",0.75696629262942
"298","c-824","10","6",0.327508372136351
"299","c-825","10","6",0
"300","c-826","6","9",0.752439022931742
"301","c-830","1","2",0.919621132889468
"302","c-831","1","2",0.773873712901063
"303","c-833","10","6",0.9668289347359
"304","c-835","1","2",0.886493449309344
"305","c-837","10","6",0.877073173466425
"306","c-840","1","2",0.237224148164874
"307","c-841","2","7",0.00936097233184047
"308","c-842","1","2",0.494946013489529
"309","c-844","2","7",0.00269980848719501
"310","c-845","2","7",0.0212637277869592
"311","c-849","9","4",0.502638440536306
"312","c-856","6","9",0.359680776679298
"313","c-857","2","7",0.0238280111209808
"314","c-861","9","4",0.506875228294619
"315","c-862","7","5",1
"316","c-865","2","7",0.0111187663225947
"317","c-866","1","2",0.834076814336917
"318","c-874","7","5",1
"319","c-879","1","2",0.833502257174349
