"","from","to","length","directed"
"1","1","6",0.0487731993198395,TRUE
"2","2","1",0.0983378887176514,TRUE
"3","3","2",0.178597986698151,TRUE
"4","4","13",0.182835936546326,TRUE
"5","5","14",0.138052642345428,TRUE
"6","6","8",0.162960886955261,TRUE
"7","7","5",0.190001249313354,TRUE
"8","6","7",0.0301361978054047,TRUE
"9","6","10",0.12552735209465,TRUE
"10","8","4",0.127006709575653,TRUE
"11","9","15",0.141772031784058,TRUE
"12","10","16",0.238992393016815,TRUE
"13","11","9",0.27286833524704,TRUE
"14","10","9",0.103246510028839,TRUE
"15","12","3",0.0653384625911713,TRUE
"16","6","17",0.00202980637550354,TRUE
