"","cell_id","from","to","percentage"
"1","c-1","2","1",0.530174016952515
"2","c-2","4","6",0.0273761656135321
"3","c-3","1","8",0.508803904056549
"4","c-4","4","6",0.544552147388458
"5","c-5","3","4",0.0847965255379677
"6","c-6","2","1",0.178720012307167
"7","c-7","3","4",0.120306961238384
"8","c-8","2","1",0.0709520652890205
"9","c-9","4","7",0.739119946956635
"10","c-10","4","6",0.149092391133308
"11","c-11","4","6",0.403462260961533
"12","c-12","1","8",0.820257782936096
"13","c-13","4","5",0.891887366771698
"14","c-14","4","5",0.897475600242615
"15","c-15","4","5",0.41331934928894
"16","c-16","2","1",0.138713121414185
"17","c-17","5","9",0.452343463897705
"18","c-18","7","11",0.54706084728241
"19","c-19","7","11",0.485758930444717
"20","c-20","2","1",0.634008884429932
"21","c-21","4","5",0.787172615528107
"22","c-22","4","6",0.842969179153442
"23","c-23","1","3",0.767108082771301
"24","c-24","1","3",0.346395492553711
"25","c-25","5","9",0.684404194355011
"26","c-26","4","5",0.00462552532553673
"27","c-27","2","1",0.509415805339813
"28","c-28","1","3",0.561586558818817
"29","c-29","3","4",0.1096351146698
"30","c-30","4","6",0.474192351102829
"31","c-31","4","7",0.692172706127167
"32","c-32","6","10",0.678066730499268
"33","c-33","4","7",0.473544925451279
"34","c-34","3","4",0.0774419754743576
"35","c-35","4","5",0.524956226348877
"36","c-36","4","5",0.315902888774872
"37","c-37","4","6",0.495269447565079
"38","c-38","3","4",0.293439596891403
"39","c-39","1","3",0.841757118701935
"40","c-40","2","1",0.366213113069534
"41","c-41","4","5",0.523583948612213
"42","c-42","7","11",0.325210362672806
"43","c-43","4","7",0.727437794208527
"44","c-44","2","1",0.814180493354797
"45","c-45","2","1",0.192634120583534
"46","c-46","1","8",0.268305152654648
"47","c-47","1","3",0.61991959810257
"48","c-48","4","7",0.958105504512787
"49","c-49","7","11",0.5763800740242
"50","c-50","5","9",0.651342570781708
"51","c-51","3","4",0.11400343477726
"52","c-52","2","1",0.882779479026794
"53","c-53","1","8",0.440267384052277
"54","c-54","6","10",0.555080711841583
"55","c-55","4","6",0.769854843616486
"56","c-56","1","3",0.597646474838257
"57","c-57","4","5",0.42571821808815
"58","c-58","4","6",0.426801323890686
"59","c-59","6","10",0.20764097571373
"60","c-60","4","6",0.403876930475235
"61","c-61","3","4",0.0197585318237543
"62","c-62","3","4",0.0249643344432116
"63","c-63","1","3",0.545583248138428
"64","c-64","2","1",0.711260497570038
"65","c-65","4","6",0.369439035654068
"66","c-66","1","8",1
"67","c-67","6","10",0.489961355924606
"68","c-68","3","4",0.675481200218201
"69","c-69","2","1",0.715775966644287
"70","c-70","5","9",0.738273024559021
"71","c-71","4","6",0.135766297578812
"72","c-72","4","7",0.815252304077148
"73","c-73","4","5",0.0111092338338494
"74","c-74","4","5",0.294657945632935
"75","c-75","3","4",0
"76","c-76","4","5",0.534952163696289
"77","c-77","4","7",0.820549368858337
"78","c-78","4","7",0.95487642288208
"79","c-79","7","11",0.852652132511139
"80","c-80","4","6",0.887335479259491
"81","c-81","4","5",0.360822409391403
"82","c-82","6","10",0.718965411186218
"83","c-83","4","5",0.725612759590149
"84","c-84","6","10",0.738596260547638
"85","c-85","2","1",0.51000440120697
"86","c-86","2","1",0.589963257312775
"87","c-87","5","9",0.903675317764282
"88","c-88","2","1",0.124215379357338
"89","c-89","6","10",0.507323920726776
"90","c-90","1","3",0.655469834804535
"91","c-91","4","6",0.378225058317184
"92","c-92","4","6",0.544448375701904
"93","c-93","2","1",0.577500700950623
"94","c-94","4","7",0.87395316362381
"95","c-95","4","6",0.110404185950756
"96","c-96","4","7",0.379254788160324
"97","c-97","4","7",0.155742257833481
"98","c-98","3","4",0.0429008528590202
"99","c-99","4","5",0.316830843687057
"100","c-100","1","3",0.104169026017189
"101","c-101","4","6",0.135614439845085
"102","c-102","1","8",0.298369079828262
"103","c-103","4","6",0.812638759613037
"104","c-104","4","6",0.410759687423706
"105","c-105","1","3",0.887657403945923
"106","c-106","2","1",0.104561924934387
"107","c-107","6","10",0.31235459446907
"108","c-108","6","10",0.578526556491852
"109","c-109","4","7",0.341597050428391
"110","c-110","1","8",0.485473871231079
"111","c-111","7","11",0.415766894817352
"112","c-112","3","4",0.626656413078308
"113","c-113","7","11",0.624965369701385
"114","c-114","4","7",0.928526520729065
"115","c-115","1","8",0.978513658046722
"116","c-116","4","7",0.110549859702587
"117","c-117","4","5",0.117588870227337
"118","c-118","4","6",0.165733560919762
"119","c-119","3","4",0.468260765075684
"120","c-120","3","4",0.428496122360229
"121","c-121","1","3",0.71706885099411
"122","c-122","4","5",0.606020390987396
"123","c-123","4","7",0.0946029052138329
"124","c-124","4","7",0.113189615309238
"125","c-125","4","6",0.784615755081177
"126","c-126","7","11",0.603865325450897
"127","c-127","2","1",0.853093206882477
"128","c-128","3","4",0.358822733163834
"129","c-129","2","1",0.639505565166473
"130","c-130","7","11",0.226467430591583
"131","c-131","1","8",0.188156008720398
"132","c-132","1","3",0.765625953674316
"133","c-133","1","3",0.489457190036774
"134","c-134","4","5",0.00262186140753329
"135","c-135","6","10",0.226438567042351
"136","c-136","4","6",0.401274800300598
"137","c-137","6","10",0.487944900989532
"138","c-138","4","7",0.364190757274628
"139","c-139","4","7",0.124271437525749
"140","c-140","4","5",0.340832144021988
"141","c-141","7","11",0.356425583362579
"142","c-142","4","7",0.567888975143433
"143","c-143","4","5",0.20183376967907
"144","c-144","3","4",0.351779848337173
"145","c-145","2","1",0.112650223076344
"146","c-146","1","3",0.368929296731949
"147","c-147","4","6",0.149512007832527
"148","c-148","5","9",0.825933694839478
"149","c-149","3","4",0.435397416353226
"150","c-150","6","10",0.965034127235413
"151","c-151","7","11",0.625273466110229
"152","c-152","1","3",0.934673368930817
"153","c-153","3","4",0.623698651790619
"154","c-154","3","4",0.0441516190767288
"155","c-155","4","7",0.86549836397171
"156","c-156","4","5",0.210822895169258
"157","c-157","4","7",0.390779554843903
"158","c-158","4","5",0.342671096324921
"159","c-159","3","4",0.0470439717173576
"160","c-160","2","1",0.283878654241562
"161","c-161","3","4",0.0291732847690582
"162","c-162","2","1",0.391813576221466
"163","c-163","1","8",0.261392146348953
"164","c-164","4","7",0.732194662094116
"165","c-165","5","9",0.801553547382355
"166","c-166","3","4",0.0493094027042389
"167","c-167","6","10",0.308036208152771
"168","c-168","4","7",0.916825771331787
"169","c-169","4","5",0.303399473428726
"170","c-170","2","1",0.336866557598114
"171","c-171","1","3",0.756113946437836
"172","c-172","4","6",0.489803850650787
"173","c-173","2","1",0.644309341907501
"174","c-174","4","7",0.954676985740662
"175","c-175","4","7",0.294091492891312
"176","c-176","5","9",0.721536934375763
"177","c-177","4","5",0.00770610058680177
"178","c-178","1","3",0.797840237617493
