,method,data,ISO score,GED score,IM score,ARI,GRI,PDT score,source
0,map,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
1,raw_map,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
2,modified_mean,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
3,w_base,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
4,modified_map,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
5,mean,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
6,map,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
7,raw_map,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
8,modified_mean,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
9,modified_map,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
10,w_base,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
11,mean,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
12,raw_map,bifurcating_3,0.7,0.9142857142857143,0.8572301753953764,0.8694625507701583,0.8938949316279186,0.9578611732558957,dyngen
13,modified_mean,bifurcating_3,0.76,0.9314285714285714,0.8857841403163011,0.8694625507701583,0.8950423179741199,0.9605144023067347,dyngen
14,w_base,bifurcating_3,0.76,0.9314285714285714,0.8857841403163011,0.8694625507701583,0.8950423179741199,0.9605144023067347,dyngen
15,mean,bifurcating_3,0.76,0.9314285714285714,0.8857841403163011,0.8694625507701583,0.8950423179741199,0.9605144023067347,dyngen
16,modified_map,bifurcating_3,0.72,0.92,0.8667481637023513,0.8694625507701583,0.8942910742597447,0.9587380184055082,dyngen
17,map,bifurcating_3,0.72,0.92,0.8667481637023513,0.8694625507701583,0.8942905799868482,0.9587380428373841,dyngen
18,w_base,bifurcation,1.0,1.0,1.0,0.8449118904311341,0.8895308910582905,0.7277021087679486,our model
19,map,bifurcation,1.0,1.0,1.0,0.8449118904311341,0.8895308910582905,0.7277021087679486,our model
20,raw_map,bifurcation,1.0,1.0,1.0,0.8449118904311341,0.8895308910582905,0.7277021087679486,our model
21,modified_map,bifurcation,1.0,1.0,1.0,0.8449118904311341,0.8895308910582905,0.7277021087679486,our model
22,modified_mean,bifurcation,1.0,1.0,1.0,0.8449118904311341,0.8895308910582905,0.7277021087679486,our model
23,mean,bifurcation,1.0,1.0,1.0,0.8449118904311341,0.8895308910582905,0.7277021087679486,our model
24,modified_map,converging_1,1.0,1.0,1.0,0.8519431700685159,0.8678017875537847,0.7113900855069977,dyngen
25,w_base,converging_1,0.9,0.9666666666666667,0.9434316597362579,0.8519722399249798,0.8662328044386166,0.7303368319373895,dyngen
26,mean,converging_1,0.99,0.9966666666666667,0.994538865908895,0.8519369296525006,0.8674748968195307,0.7138954313117304,dyngen
27,raw_map,converging_1,1.0,1.0,1.0,0.8519431700685159,0.8678017875537847,0.7113900855069977,dyngen
28,map,converging_1,0.99,0.9966666666666667,0.994538865908895,0.8519431700685159,0.8674328448521977,0.7137734297637159,dyngen
29,modified_mean,converging_1,1.0,1.0,1.0,0.8519431700685159,0.8678017875537847,0.7113900855069977,dyngen
