,method,data,ISO score,GED score,IM score,ARI,GRI,PDT score,source
0,map,aging,0.59,0.726666667,1,0.635946972,0.591764554,0.772324829,real
1,mean,aging,0.59,0.726666667,1,0.635946972,0.594388626,0.786449709,real
2,modified_map,aging,0.59,0.726666667,1,0.635946972,0.592005384,0.773919038,real
3,w_base,aging,0.56,0.706666667,1,0.635946972,0.595529207,0.795626599,real
4,raw_map,aging,0.5,0.666666667,1,0.635946972,0.591889502,0.785257238,real
5,modified_mean,aging,0.6,0.733333333,1,0.635946972,0.5952832,0.790248626,real
6,modified_mean,bifurcating_1,0.31,0.788571429,0.658682362,0.759641112,0.835728736,0.922643365,dyngen
7,map,bifurcating_1,0.16,0.734285714,0.580003318,0.759506495,0.832527017,0.916594026,dyngen
8,w_base,bifurcating_1,0.35,0.802857143,0.678751573,0.759632373,0.836335125,0.924542781,dyngen
9,mean,bifurcating_1,0.3,0.785714286,0.653923368,0.759618617,0.835626801,0.922625795,dyngen
10,modified_map,bifurcating_1,0.17,0.745714286,0.589685981,0.759511364,0.834225519,0.913612617,dyngen
11,raw_map,bifurcating_1,0.2,0.757142857,0.604388209,0.759541569,0.834518313,0.915139491,dyngen
12,mean,bifurcating_2,0.92,0.977142857,0.961928047,0.763548598,0.848172755,0.970628883,dyngen
13,modified_mean,bifurcating_2,0.92,0.977142857,0.961928047,0.763548598,0.848172755,0.970628883,dyngen
14,modified_map,bifurcating_2,0.9,0.971428571,0.952410058,0.763548598,0.847920688,0.970819941,dyngen
15,raw_map,bifurcating_2,0.9,0.971428571,0.952410058,0.763548598,0.847920688,0.970819941,dyngen
16,map,bifurcating_2,0.88,0.965714286,0.94289207,0.763548598,0.847741282,0.969654827,dyngen
17,w_base,bifurcating_2,0.88,0.965714286,0.94289207,0.763548598,0.84784367,0.96825197,dyngen
18,mean,bifurcating_3,0.99,0.997142857,0.995241006,0.899678313,0.915315853,0.975299958,dyngen
19,modified_mean,bifurcating_3,0.99,0.997142857,0.995241006,0.899678313,0.915315853,0.975299958,dyngen
20,map,bifurcating_3,1,1,1,0.899678313,0.915391987,0.976508639,dyngen
21,raw_map,bifurcating_3,1,1,1,0.899678313,0.915391987,0.976508639,dyngen
22,w_base,bifurcating_3,1,1,1,0.899678313,0.915391987,0.976508639,dyngen
23,modified_map,bifurcating_3,1,1,1,0.899678313,0.915391987,0.976508639,dyngen
24,mean,bifurcation,1,1,1,0.834162816,0.882995673,0.724661176,our model
25,raw_map,bifurcation,1,1,1,0.834162816,0.882995673,0.724661176,our model
26,w_base,bifurcation,1,1,1,0.834162816,0.882995673,0.724661176,our model
27,modified_mean,bifurcation,1,1,1,0.834162816,0.882995673,0.724661176,our model
28,map,bifurcation,1,1,1,0.834162816,0.882995673,0.724661176,our model
29,modified_map,bifurcation,1,1,1,0.834162816,0.882995673,0.724661176,our model
30,raw_map,cell_cycle,0,0.666666667,0.011110411,0.702343248,0.615697118,,real
31,modified_mean,cell_cycle,0,0.666666667,0.011110411,0.702343248,0.615741995,,real
32,w_base,cell_cycle,0,0.666666667,0.011110411,0.702343248,0.616258711,,real
33,modified_map,cell_cycle,0,0.666666667,0.011110411,0.702343248,0.615286106,,real
34,map,cell_cycle,0,0.666666667,0.011110411,0.702343248,0.615082416,,real
35,mean,cell_cycle,0,0.666666667,0.011110411,0.702343248,0.61517135,,real
36,modified_map,converging_1,0,0.463333333,0.366182704,0.717457951,0.78827319,0.607397231,dyngen
37,raw_map,converging_1,0,0.466666667,0.362241528,0.717445742,0.78876457,0.596713988,dyngen
38,map,converging_1,0,0.45,0.360542945,0.717480462,0.7889293,0.600363321,dyngen
39,modified_mean,converging_1,0,0.476666667,0.360542945,0.717460176,0.789286243,0.581565162,dyngen
40,mean,converging_1,0,0.483333333,0.360542945,0.717472785,0.789598698,0.578020676,dyngen
41,w_base,converging_1,0.02,0.513333333,0.381585458,0.717504198,0.790604563,0.578065506,dyngen
42,modified_map,cycle_1,0,0.666666667,0.011110411,0.942881394,0.820445059,,dyngen
43,raw_map,cycle_1,0,0.666666667,0.011110411,0.942881394,0.82046896,,dyngen
44,map,cycle_1,0,0.666666667,0.011110411,0.942881394,0.820438023,,dyngen
45,mean,cycle_1,0,0.666666667,0.011110411,0.942881394,0.820065702,,dyngen
46,modified_mean,cycle_1,0,0.666666667,0.011110411,0.942881394,0.820373366,,dyngen
47,w_base,cycle_1,0,0.666666667,0.011110411,0.942881394,0.813227089,,dyngen
48,mean,cycle_2,0,0.666666667,0.011110411,0.93475615,0.817365749,,dyngen
49,modified_mean,cycle_2,0,0.666666667,0.011110411,0.93475615,0.817365749,,dyngen
50,w_base,cycle_2,0,0.666666667,0.011110411,0.93475615,0.817365749,,dyngen
51,map,cycle_2,0,0.666666667,0.011110411,0.93475615,0.817365749,,dyngen
52,raw_map,cycle_2,0,0.666666667,0.011110411,0.93475615,0.817365749,,dyngen
53,modified_map,cycle_2,0,0.666666667,0.011110411,0.93475615,0.817365749,,dyngen
54,w_base,cycle_3,0,0.666666667,0.011110411,0.92625404,0.79440336,,dyngen
55,modified_mean,cycle_3,0,0.666666667,0.011110411,0.92625404,0.794460578,,dyngen
56,map,cycle_3,0,0.666666667,0.011110411,0.92625404,0.794587475,,dyngen
57,raw_map,cycle_3,0,0.666666667,0.011110411,0.92625404,0.795085004,,dyngen
58,mean,cycle_3,0,0.666666667,0.011110411,0.92625404,0.794578967,,dyngen
59,modified_map,cycle_3,0,0.666666667,0.011110411,0.92625404,0.79484955,,dyngen
60,modified_mean,dentate,0.35,0.74,0.57692208,0.754581377,0.728559845,0.924538487,real
61,map,dentate,0.35,0.74,0.57692208,0.754581377,0.728559845,0.924538487,real
62,raw_map,dentate,0.2,0.68,0.479288713,0.754585864,0.728276352,0.917675795,real
63,w_base,dentate,0.36,0.744,0.583430971,0.754581377,0.728575232,0.924978713,real
64,mean,dentate,0.34,0.736,0.570413188,0.75458362,0.728540665,0.92407337,real
65,modified_map,dentate,0.35,0.74,0.57692208,0.754581377,0.728559845,0.924538487,real
66,mean,fibroblast,0,0.658571429,0.434059254,0.916253194,0.876394578,0.95321094,real
67,raw_map,fibroblast,0,0.65,0.431750655,0.916280775,0.875842672,0.953122794,real
68,modified_mean,fibroblast,0,0.658571429,0.433018075,0.916207733,0.87631954,0.953493806,real
69,w_base,fibroblast,0,0.647142857,0.434962142,0.916191391,0.877693114,0.950636044,real
70,map,fibroblast,0,0.655714286,0.434778272,0.916188808,0.876618821,0.951976919,real
71,modified_map,fibroblast,0.01,0.661428571,0.450681087,0.916142455,0.877971859,0.952900588,real
72,raw_map,germline,0,0.65,0.586338056,0.680275073,0.731994661,0.793929133,real
73,w_base,germline,0,0.634285714,0.579607774,0.679794438,0.733226366,0.789583889,real
74,map,germline,0.01,0.658571429,0.596470153,0.680281509,0.732863146,0.79608667,real
75,mean,germline,0,0.654285714,0.579502122,0.680130417,0.734232368,0.799093584,real
76,modified_mean,germline,0,0.654285714,0.578590909,0.680191673,0.734275231,0.797307352,real
77,modified_map,germline,0.01,0.658571429,0.607445126,0.68022226,0.733038764,0.796539721,real
78,mean,human_embryos,0.94,0.976,0.960946653,0.828248548,0.771839536,0.912591243,real
79,modified_mean,human_embryos,0.92,0.968,0.947928871,0.828248548,0.771705629,0.91296662,real
