,method,ISO score,GED score,IM score,ARI,GRI,PDT score,type,data,source
0,monocle,0,0.33333333333333337,0.0,0.5970330402941695,0.4963653658202134,0.15425649106835004,non-UMI,aging,real
1,paga,0,0.0,0.0,0.7234963430991159,0.7752435798100931,0.8895303758815012,non-UMI,aging,real
2,slingshot,0,0.33333333333333337,0.0,0.6869156453456765,0.7130251129571649,0.8830972921319984,non-UMI,aging,real
3,monocle,0,0.0,0.0,0.6468864048305508,0.6348461711353434,0.4239579186721454,non-UMI,bifurcating_1,dyngen
4,paga,0,0.0,0.0,0.7228821939857011,0.8604604949783571,0.4092852406881381,non-UMI,bifurcating_1,dyngen
5,slingshot,0,0.1428571428571429,0.0,0.8161182113820682,0.8753702213600427,0.9429150799520054,non-UMI,bifurcating_1,dyngen
6,monocle,0,0.2857142857142857,0.0,0.6725799764779358,0.8401581522297865,0.028141810989839425,non-UMI,bifurcating_2,dyngen
7,paga,0,0.0,0.0,0.730861197222465,0.8571271772391353,0.9354290666624994,non-UMI,bifurcating_2,dyngen
8,slingshot,0,0.5714285714285714,0.0,0.7416625274361069,0.8666920986778707,0.9698381952501368,non-UMI,bifurcating_2,dyngen
9,monocle,0,0.0,0.0,0.6519936473793684,0.8034599241035574,0.8738223829554133,non-UMI,bifurcating_3,dyngen
10,paga,0,0.0,0.0,0.7085439430849487,0.8477761892832792,0.4899927412063646,non-UMI,bifurcating_3,dyngen
11,slingshot,0,0.0,0.0,0.6295374398400899,0.6519773569180497,0.7518152525392585,non-UMI,bifurcating_3,dyngen
12,monocle,0,0.0,0.0,0.8358162898471397,0.8083788756844896,0.9454422569940482,UMI,bifurcation,our model
13,paga,0,0.2,0.0,0.6982224937497531,0.7889700597376152,0.9107329427204374,UMI,bifurcation,our model
14,slingshot,0,0.6,0.3491108916276575,0.7784291922835644,0.8172398817843466,0.8669098616756102,UMI,bifurcation,our model
15,monocle,0,0.0,0.0,0.6193174631366565,0.4719875731618878,,non-UMI,cell_cycle,real
16,paga,0,0.0,0.0,0.6035034084389126,0.6198144298728258,,non-UMI,cell_cycle,real
17,slingshot,0,0.0,0.0,0.614098518288038,0.6215733495480127,,non-UMI,cell_cycle,real
18,monocle,0,0.0,0.0,0.6347268025941596,0.7504539955298561,0.08395413030028426,non-UMI,converging_1,dyngen
19,paga,0,0.0,0.0,0.678532106669375,0.7861203117762946,0.8979738091936975,non-UMI,converging_1,dyngen
20,slingshot,1,1.0,0.9999999999999936,0.7753549886672294,0.8503864647057019,0.5887264771708086,non-UMI,converging_1,dyngen
21,monocle,0,0.0,0.0,0.7962109138816527,0.7692629942050001,,non-UMI,cycle_1,dyngen
22,paga,0,0.0,0.0,0.6849751606843569,0.6098885243931732,,non-UMI,cycle_1,dyngen
23,slingshot,0,0.0,0.0,0.7673721473261876,0.7302198960950403,,non-UMI,cycle_1,dyngen
24,monocle,0,0.0,0.0,0.7594738131227908,0.7712167862709738,,non-UMI,cycle_2,dyngen
25,paga,0,0.0,0.0,0.6906819847474956,0.6255882104368593,,non-UMI,cycle_2,dyngen
26,slingshot,0,0.0,0.0,0.8032613487657101,0.7092073582863945,,non-UMI,cycle_2,dyngen
27,monocle,0,0.0,0.0,0.668555359141887,0.7666175365923985,,non-UMI,cycle_3,dyngen
