"","cell_id","from","to","percentage"
"1","c-1","2","1",1
"2","c-2","2","1",0.649869851473381
"3","c-3","2","1",1
"4","c-4","2","1",1
"5","c-5","4","2",0.980904992311652
"6","c-6","2","1",0.64327662191962
"7","c-7","3","4",0
"8","c-8","2","1",1
"9","c-9","2","1",0.571353917075026
"10","c-10","2","1",1
"11","c-11","2","1",0.293631443992783
"12","c-12","2","1",0.388261236699581
"13","c-13","2","1",0.803294103324982
"14","c-14","2","1",1
"15","c-15","2","1",1
"16","c-16","2","1",0.692102449795726
"17","c-17","2","1",0.869767314840024
"18","c-18","2","1",1
"19","c-19","2","1",0.565704666469083
"20","c-20","2","1",0.239771295621684
"21","c-21","2","1",1
"22","c-22","2","1",0.931396064107917
"23","c-23","2","1",0.282803232532607
"24","c-24","2","1",0.458768688461364
"25","c-25","2","1",0.556204372820631
"26","c-26","2","1",0.497332971638695
"27","c-27","2","1",0.877261698682662
"28","c-28","2","1",1
"29","c-29","2","1",1
"30","c-30","2","1",1
"31","c-31","2","1",1
"32","c-32","2","1",0.555365168431151
"33","c-33","2","1",1
"34","c-34","2","1",1
"35","c-35","2","1",1
"36","c-36","2","1",0.702598233555753
"37","c-37","2","1",1
"38","c-38","3","4",0
"39","c-39","2","1",0.7238860508408
"40","c-40","2","1",0.405967433637484
"41","c-41","2","1",1
"42","c-42","2","1",1
"43","c-43","2","1",1
"44","c-44","2","1",0.269401595287568
"45","c-45","2","1",0.737064477578859
"46","c-46","2","1",1
"47","c-47","2","1",1
"48","c-48","2","1",1
"49","c-49","2","1",0.520243410504695
"50","c-50","2","1",1
"51","c-51","2","1",1
"52","c-52","2","1",1
"53","c-53","2","1",1
"54","c-54","2","1",0.324783620842818
"55","c-55","2","1",0.69219897417537
"56","c-56","2","1",0.587161648405217
"57","c-57","2","1",0.954880322465038
"58","c-58","2","1",1
"59","c-59","2","1",0.841088903206553
"60","c-60","2","1",0.854042927339287
"61","c-61","2","1",0.369284579080176
"62","c-62","2","1",0.618888645440008
"63","c-63","2","1",0.678580502894632
"64","c-64","2","1",1
"65","c-65","2","1",0.266947245169863
"66","c-66","2","1",0.819200963239476
"67","c-67","2","1",0.666751201774132
"68","c-68","2","1",0.354525905387657
"69","c-69","2","1",1
"70","c-70","2","1",0.649442856406388
"71","c-71","2","1",0.817865596395151
"72","c-72","2","1",0.392656732581995
"73","c-73","2","1",0.808875946793989
"74","c-74","2","1",0.767714158166339
"75","c-75","2","1",0.551113502686037
"76","c-76","3","4",0
"77","c-77","2","1",1
"78","c-78","2","1",1
"79","c-79","2","1",0.782509262028454
"80","c-80","2","1",0.667760052866323
"81","c-81","2","1",0.584110931906562
"82","c-82","2","1",1
"83","c-83","2","1",1
"84","c-84","2","1",0.360745746721417
"85","c-85","2","1",1
"86","c-86","2","1",1
"87","c-87","3","4",0
"88","c-88","2","1",0.723130640488806
"89","c-89","2","1",1
"90","c-90","2","1",0.761075462450749
"91","c-91","2","1",1
"92","c-92","2","1",0.902476157239025
"93","c-93","2","1",1
"94","c-94","2","1",1
"95","c-95","2","1",1
"96","c-96","2","1",0.754404292927907
"97","c-97","2","1",0.181549534185444
"98","c-98","2","1",0.726760862621317
"99","c-99","2","1",0.786639777899483
"100","c-100","2","1",1
"101","c-101","2","1",0.720953286894317
"102","c-102","2","1",1
"103","c-103","2","1",1
"104","c-104","2","1",0.583649327618545
"105","c-105","2","1",0.656970657850484
"106","c-106","2","1",1
"107","c-107","2","1",1
"108","c-108","2","1",0.374389623736093
"109","c-109","2","1",0.419025003471677
"110","c-110","2","1",0.890510644979681
"111","c-111","2","1",0.971915195250478
"112","c-112","2","1",1
"113","c-113","2","1",1
"114","c-114","3","4",0
"115","c-115","2","1",0.914137307318292
"116","c-116","2","1",1
"117","c-117","2","1",1
"118","c-118","3","4",0
"119","c-119","2","1",1
"120","c-120","2","1",1
"121","c-121","2","1",1
"122","c-122","2","1",1
"123","c-123","2","1",1
"124","c-124","2","1",0.202784458944926
"125","c-125","3","4",0.119015630767954
"126","c-126","2","1",0.606627185423734
"127","c-127","3","4",0
"128","c-128","2","1",0.25299893198197
"129","c-129","2","1",0.470092092878758
"130","c-130","2","1",1
"131","c-131","2","1",0.362219214657237
"132","c-132","2","1",1
"133","c-133","2","1",0.5120150043614
"134","c-134","2","1",1
"135","c-135","2","1",0.690319677320164
"136","c-136","2","1",0.473558832321788
"137","c-137","2","1",1
"138","c-138","2","1",1
"139","c-139","2","1",1
"140","c-140","2","1",1
"141","c-141","2","1",0.530582505521139
"142","c-142","2","1",0.31514037900961
"143","c-143","2","1",0.999491860013237
"144","c-144","2","1",0.396501575935476
"145","c-145","2","1",0.775038792562893
"146","c-146","2","1",0.821772755454046
"147","c-147","2","1",1
"148","c-148","2","1",1
"149","c-149","3","4",0
"150","c-150","2","1",1
"151","c-151","2","1",0.921553517076156
"152","c-152","2","1",0.889053625704944
"153","c-153","2","1",1
"154","c-154","2","1",1
"155","c-155","2","1",1
"156","c-156","2","1",1
"157","c-157","2","1",1
"158","c-158","2","1",1
"159","c-159","2","1",1
"160","c-160","2","1",0.816318720397317
"161","c-161","2","1",0.718002716078653
"162","c-162","2","1",0.595151595777257
"163","c-163","2","1",1
"164","c-164","2","1",0.847963088052704
"165","c-165","2","1",1
"166","c-166","2","1",0.6878393807965
"167","c-167","2","1",1
"168","c-168","2","1",0.545414955414236
"169","c-169","2","1",0.411076209408874
"170","c-170","2","1",1
