"","cell_id","from","to","percentage"
"1","c-1","1","2",0.110647353800681
"2","c-2","2","9",0.310206054355015
"3","c-3","5","3",0.617965284154234
"4","c-4","4","5",0
"5","c-5","4","5",0.0338934414185062
"6","c-6","5","3",0.748633105265844
"7","c-7","4","5",0.968382935813538
"8","c-8","5","1",0.548276429718584
"9","c-9","5","1",0.333870629721151
"10","c-10","5","1",0.552428439341809
"11","c-11","1","2",0.0639326680764939
"12","c-12","5","1",0.431561850867656
"13","c-13","4","5",0
"14","c-14","8","6",1
"15","c-15","7","8",0.197245659201315
"16","c-16","5","3",0.579368688749012
"17","c-17","8","6",0.892036585495705
"18","c-18","3","7",0.0789760549515097
"19","c-19","4","5",0.113494612555911
"20","c-20","5","3",0.522139094730659
"21","c-21","1","2",0.0297898219260725
"22","c-22","5","1",0.524914055001502
"23","c-23","5","1",0.435824167195706
"24","c-24","7","8",0.965644882836454
"25","c-25","4","5",0
"26","c-26","4","5",0.0926257363036005
"27","c-27","8","6",1
"28","c-28","7","8",0.381946864307576
"29","c-29","5","1",0.410055919195937
"30","c-30","5","1",0.515462765218453
"31","c-31","4","5",0
"32","c-32","4","5",0.548691670156395
"33","c-33","1","2",0.650940105487279
"34","c-34","1","2",0.0994294143519774
"35","c-35","1","2",0.210134686709988
"36","c-36","5","3",0.584563554216934
"37","c-37","4","5",0
"38","c-38","5","1",0.70075714970329
"39","c-39","5","1",0.90236142456049
"40","c-40","5","3",0.696687657138302
"41","c-41","5","1",0.396455130350143
"42","c-42","1","2",0.3669185692907
"43","c-43","5","3",0.995771415897111
"44","c-44","8","6",0.231506135457992
"45","c-45","1","2",0.0996783321461041
"46","c-46","4","5",0.769155257540994
"47","c-47","7","8",0.132239337940856
"48","c-48","5","3",0.542757270116234
"49","c-49","7","8",0.64368853784393
"50","c-50","4","5",0
"51","c-51","8","6",1
"52","c-52","5","3",0.869269246442562
"53","c-53","2","9",1
"54","c-54","8","6",0.18503142450706
"55","c-55","1","2",0.556560092140152
"56","c-56","5","1",0.12234466024079
"57","c-57","4","5",0.127540491665081
"58","c-58","5","1",0.169866464100223
"59","c-59","1","2",0.0533406538998966
"60","c-60","8","6",1
"61","c-61","5","1",0.694018309405319
"62","c-62","5","1",0.060029425953239
"63","c-63","5","3",0.666479220506493
"64","c-64","5","3",0.469293391769923
"65","c-65","4","5",0.824826345832992
"66","c-66","5","3",0.962523851502452
"67","c-67","5","3",0.74872166228915
"68","c-68","7","8",0.340002475678316
"69","c-69","3","7",0.0406265815969279
"70","c-70","5","1",0.323738847689841
"71","c-71","4","5",0.990297136286316
"72","c-72","7","8",0.488214161218819
"73","c-73","5","1",0.642720569777065
"74","c-74","7","8",0.723471131396661
"75","c-75","2","9",0.118359745368346
"76","c-76","4","5",0.788059592023062
"77","c-77","5","1",0.940954005878236
"78","c-78","5","1",0.761532949898957
"79","c-79","4","5",0
"80","c-80","5","1",0.24960373709995
"81","c-81","2","9",1
"82","c-82","5","1",0.340102629455676
"83","c-83","5","3",0.78095610702579
"84","c-84","5","1",0.270488194044652
"85","c-85","3","7",0.0357928864272296
"86","c-86","4","5",0.110217170806204
"87","c-87","4","5",0.311130535894611
"88","c-88","1","2",0.582450993128973
"89","c-89","4","5",0
"90","c-90","3","7",0.384362140649957
"91","c-91","1","2",0.0784992408245227
"92","c-92","3","7",0.327572489475835
"93","c-93","4","5",0.00540955015995177
"94","c-94","1","2",0.559686687334129
"95","c-95","5","1",0.707261838511849
"96","c-96","2","9",0.0359317338909912
"97","c-97","7","8",0.966997489598357
"98","c-98","3","7",0.836287865605965
"99","c-99","5","1",0.565573435777496
