"","cell_id","from","to","percentage"
"1","c-1","Y_81","Y_95",0
"2","c-2","Y_81","Y_95",0.0781196757380099
"3","c-3","Y_81","Y_95",0.382533943098653
"4","c-4","Y_59","Y_61",0.977595463819055
"5","c-5","Y_59","Y_61",0.0142369118323062
"6","c-6","Y_59","Y_61",0.827462921851519
"7","c-7","Y_81","Y_95",0.469644710271182
"8","c-8","Y_81","Y_95",0.382533943098653
"9","c-9","Y_81","Y_95",0.911105446058278
"10","c-10","Y_59","Y_61",0.631742169722065
"11","c-11","Y_81","Y_95",1
"12","c-12","Y_44","Y_61",0.88010465658898
"13","c-13","Y_59","Y_61",0.517261128823231
"14","c-14","Y_81","Y_95",0.442430959003922
"15","c-15","Y_5","Y_61",1
"16","c-16","Y_59","Y_61",0.517261128823231
"17","c-17","Y_44","Y_61",0.696591569892804
"18","c-18","Y_5","Y_61",0
"19","c-19","Y_81","Y_95",0.650456976747706
"20","c-20","Y_44","Y_61",0
"21","c-21","Y_59","Y_61",0.852638719378593
"22","c-22","Y_59","Y_61",0.0142369118323062
"23","c-23","Y_81","Y_95",0.41436015140465
"24","c-24","Y_81","Y_95",0.609866551236598
"25","c-25","Y_81","Y_95",0.650456976747706
"26","c-26","Y_44","Y_61",0.353302283024725
"27","c-27","Y_81","Y_95",1
"28","c-28","Y_81","Y_95",0.442430959003922
"29","c-29","Y_44","Y_61",0.551635126516328
"30","c-30","Y_81","Y_95",0.536563049790481
"31","c-31","Y_59","Y_61",0.0142369118323061
"32","c-32","Y_59","Y_61",0.250285625273178
"33","c-33","Y_81","Y_95",1
"34","c-34","Y_59","Y_61",0.977595463819055
"35","c-35","Y_59","Y_61",0.111239640111081
"36","c-36","Y_44","Y_61",0.0399593932629418
"37","c-37","Y_81","Y_95",0.41436015140465
"38","c-38","Y_81","Y_95",0.970612259373966
"39","c-39","Y_81","Y_95",0.442430959003922
"40","c-40","Y_59","Y_61",0.0690322734483922
"41","c-41","Y_59","Y_61",0.491776840327591
"42","c-42","Y_81","Y_95",0.115810219480947
"43","c-43","Y_59","Y_61",0.0286417764858135
"44","c-44","Y_81","Y_95",0.911105446058278
"45","c-45","Y_44","Y_61",0
"46","c-46","Y_44","Y_61",0.941070589324698
"47","c-47","Y_59","Y_61",0.491776840327591
"48","c-48","Y_81","Y_95",0.689394090479357
"49","c-49","Y_44","Y_61",0.941070589324698
"50","c-50","Y_81","Y_95",0.880773815783143
"51","c-51","Y_81","Y_95",0.303406161523571
"52","c-52","Y_59","Y_61",0.607046697410519
"53","c-53","Y_59","Y_61",0.250285625273178
"54","c-54","Y_59","Y_61",0.0427647901789359
"55","c-55","Y_81","Y_95",0.739721997825365
"56","c-56","Y_59","Y_61",0.406780924893048
