"","cell_id","from","to","percentage"
"1","c-1","2","11",0.85251522064209
"2","c-2","1","9",0.534671485424042
"3","c-3","3","6",0.136271372437477
"4","c-4","1","9",0.877434551715851
"5","c-5","1","9",0.590699911117554
"6","c-6","1","5",0.411785960197449
"7","c-7","7","2",0.722762405872345
"8","c-8","7","2",0.891082406044006
"9","c-9","3","10",0.495634317398071
"10","c-10","1","9",0.631928026676178
"11","c-11","2","1",0.745352149009705
"12","c-12","5","3",0.529148876667023
"13","c-13","2","1",0.516818940639496
"14","c-14","1","5",0.641719400882721
"15","c-15","1","9",0.500475227832794
"16","c-16","4","7",0.493815451860428
"17","c-17","6","12",0.277606427669525
"18","c-18","3","10",0.467545628547668
"19","c-19","1","9",0.540017426013947
"20","c-20","3","6",0.124635607004166
"21","c-21","3","10",0.713100254535675
"22","c-22","7","2",0.746208131313324
"23","c-23","1","5",0.501260817050934
"24","c-24","8","13",0.365973681211472
"25","c-25","2","1",0.643609702587128
"26","c-26","5","3",0.560783922672272
"27","c-27","3","6",0.610888957977295
"28","c-28","2","11",0.468802213668823
"29","c-29","4","7",0.305908024311066
"30","c-30","3","6",0.421440929174423
"31","c-31","3","6",0.167950198054314
"32","c-32","5","3",0.464830905199051
"33","c-33","1","9",0.501037299633026
"34","c-34","4","7",0.0631170570850372
"35","c-35","4","7",0.436511695384979
"36","c-36","1","9",0.583513557910919
"37","c-37","1","5",0.591080009937286
"38","c-38","5","8",0.38816425204277
"39","c-39","3","10",0.549740374088287
"40","c-40","4","7",0.549095153808594
"41","c-41","2","1",0.499863624572754
"42","c-42","8","13",0.586397707462311
"43","c-43","2","1",0.51330304145813
"44","c-44","1","9",0.480649083852768
"45","c-45","1","5",0.662998557090759
"46","c-46","6","12",0.515365064144135
"47","c-47","6","12",0.288064390420914
"48","c-48","8","13",0.388955056667328
"49","c-49","2","1",0.245982646942139
"50","c-50","3","6",0.462549418210983
"51","c-51","2","1",0.453251928091049
"52","c-52","6","12",0.598292112350464
"53","c-53","4","7",0.351595282554626
"54","c-54","3","10",0.539910674095154
"55","c-55","3","6",0.208099588751793
"56","c-56","1","9",0.575328826904297
"57","c-57","3","6",0.45340022444725
"58","c-58","1","9",0.622737765312195
"59","c-59","2","11",0.679614365100861
"60","c-60","7","2",0.647318542003632
"61","c-61","2","1",0.313750088214874
"62","c-62","1","9",0.63259619474411
"63","c-63","3","6",0.228825733065605
"64","c-64","1","9",0.599014639854431
"65","c-65","2","11",0.719726920127869
"66","c-66","3","10",0.478775709867477
"67","c-67","3","10",0.119487792253494
"68","c-68","2","11",0.529745578765869
"69","c-69","3","10",0.439653605222702
"70","c-70","1","9",0.485800117254257
"71","c-71","5","3",0.501574277877808
"72","c-72","5","3",0.803925752639771
"73","c-73","3","10",0.644789218902588
"74","c-74","1","9",0
"75","c-75","3","6",0.125749319791794
"76","c-76","2","1",0.438000649213791
"77","c-77","3","6",0.122464433312416
"78","c-78","8","13",0.317814141511917
"79","c-79","2","11",1
"80","c-80","5","8",0.459718465805054
"81","c-81","2","1",0.266780585050583
"82","c-82","2","11",0.549430370330811
"83","c-83","1","9",0.513203144073486
"84","c-84","5","8",0.066354937851429
"85","c-85","5","3",0.601835250854492
"86","c-86","3","10",0.442818760871887
"87","c-87","1","9",0.753037214279175
"88","c-88","3","10",0.735994219779968
"89","c-89","4","7",0.0691039636731148
"90","c-90","2","11",0.573630452156067
"91","c-91","5","8",0.050879817456007
"92","c-92","4","7",0.369389563798904
"93","c-93","6","12",0.64065009355545
"94","c-94","5","8",0.0955880954861641
"95","c-95","3","10",0.588867604732513
"96","c-96","4","7",0.0354083999991417
"97","c-97","5","8",0.109009705483913
"98","c-98","1","9",0.462756186723709
"99","c-99","5","8",0.525965392589569
"100","c-100","3","6",0.094417966902256
"101","c-101","6","12",0.137729331851006
"102","c-102","1","5",0.0132195055484772
"103","c-103","3","10",0.400992274284363
"104","c-104","3","10",0.499658733606339
"105","c-105","3","6",0.51085638999939
"106","c-106","2","1",0.558428287506104
"107","c-107","1","5",0.468324273824692
"108","c-108","3","10",0.84352570772171
"109","c-109","1","9",0.490266233682632
"110","c-110","2","11",0.619200229644775
"111","c-111","3","10",0.333349615335464
"112","c-112","7","2",0.893466711044312
"113","c-113","2","11",0.60144430398941
"114","c-114","7","2",0.866025328636169
"115","c-115","2","11",0.620922267436981
"116","c-116","2","1",0.757210671901703
"117","c-117","2","1",0.49556565284729
"118","c-118","2","1",0.686297237873077
"119","c-119","5","3",0.549358546733856
"120","c-120","2","1",0.669012606143951
"121","c-121","2","11",0.609653115272522
"122","c-122","3","6",0.0350804775953293
"123","c-123","4","7",0.635715901851654
"124","c-124","6","12",0.437045902013779
"125","c-125","4","7",0.499013960361481
"126","c-126","2","1",0.0458845719695091
"127","c-127","5","8",0.10585144162178
"128","c-128","1","9",0.491600602865219
"129","c-129","1","9",0.503298461437225
"130","c-130","1","5",0.543582797050476
"131","c-131","2","11",0.616779983043671
"132","c-132","2","1",0.656049251556396
"133","c-133","5","8",1
"134","c-134","1","9",0.484298229217529
"135","c-135","1","5",0.59284508228302
"136","c-136","3","10",0.521193444728851
"137","c-137","6","12",0.204832389950752
"138","c-138","1","5",0.599646627902985
"139","c-139","1","9",0.59697437286377
"140","c-140","3","6",0.0921889096498489
"141","c-141","1","9",0.531433403491974
"142","c-142","3","10",0.140136882662773
"143","c-143","8","13",0.244487285614014
"144","c-144","3","10",0.800257086753845
"145","c-145","4","7",0.465748816728592
"146","c-146","3","6",0.341361045837402
"147","c-147","3","10",0.587768018245697
"148","c-148","4","7",0.638618588447571
"149","c-149","5","8",0.845806002616882
"150","c-150","4","7",0.34959888458252
"151","c-151","2","11",0.66483747959137
"152","c-152","6","12",0.264672011137009
"153","c-153","3","10",0.404737800359726
"154","c-154","1","9",0.675780951976776
"155","c-155","5","8",0.357573449611664
"156","c-156","1","5",0.651330828666687
"157","c-157","2","1",0.709766328334808
"158","c-158","2","1",0.582704424858093
"159","c-159","3","10",0.582702457904816
"160","c-160","2","1",0.448842078447342
"161","c-161","2","1",0.405833810567856
"162","c-162","1","9",0.532661199569702
"163","c-163","1","5",0.533414661884308
"164","c-164","1","5",0.584274113178253
"165","c-165","1","9",0.388655543327332
"166","c-166","2","1",0.759297788143158
"167","c-167","8","13",0.18426938354969
"168","c-168","2","1",0.30862683057785
"169","c-169","7","2",0.865685105323792
"170","c-170","8","13",0.460613012313843
"171","c-171","7","2",0.840071380138397
"172","c-172","3","6",0.422058165073395
"173","c-173","2","11",0.700344741344452
"174","c-174","1","9",0.551029205322266
"175","c-175","1","9",0.780632555484772
"176","c-176","1","9",0.455774188041687
"177","c-177","5","3",0.508026421070099
"178","c-178","3","6",0.466644674539566
"179","c-179","1","9",0.467770665884018
"180","c-180","3","10",0.608202457427979
"181","c-181","3","10",0.509064912796021
"182","c-182","2","1",0.726851165294647
"183","c-183","6","12",0.535703837871552
"184","c-184","4","7",0.134856984019279
"185","c-185","3","10",0.475291788578033
"186","c-186","2","1",0.701509773731232
"187","c-187","6","12",0.231783583760262
