"","cell_id","from","to","percentage"
"1","c-1","5","1",0.935467457521153
"2","c-2","2","3",0.155262756402181
"3","c-4","2","3",1
"4","c-5","2","3",0.144721055794383
"5","c-6","2","3",1
"6","c-7","1","2",0.602440636074049
"7","c-9","5","1",0.50544927798286
"8","c-10","1","2",0.936279353513263
"9","c-11","2","3",1
"10","c-12","5","1",0
"11","c-14","2","3",0.910397538383972
"12","c-15","2","3",0.322672899693722
"13","c-16","2","3",1
"14","c-19","5","1",0.04302100693487
"15","c-20","2","3",0.98179504349398
"16","c-21","5","1",0.253048150894465
"17","c-22","2","3",1
"18","c-24","1","2",0.830766754152459
"19","c-26","1","2",0.9238067442078
"20","c-28","2","3",0.755860481815585
"21","c-29","2","3",0.0570735211140257
"22","c-30","5","1",0
"23","c-31","2","3",1
"24","c-36","5","1",0
"25","c-37","5","1",0.122309676796643
"26","c-39","2","3",1
"27","c-42","5","1",0
"28","c-43","5","1",0
"29","c-44","5","1",0.224796829385295
"30","c-45","5","1",0.537249095648574
"31","c-46","5","1",0.731012682484918
"32","c-48","5","1",0.0456117608892175
"33","c-49","5","1",0
"34","c-52","2","3",0.93139208696394
"35","c-56","1","2",0.151603943957113
"36","c-57","5","1",0
"37","c-62","2","3",1
"38","c-65","2","3",1
"39","c-67","1","2",0.0494426888671621
"40","c-68","5","1",0.664971896793052
"41","c-71","2","3",1
"42","c-78","1","2",0.0105476008343933
"43","c-79","5","1",0.693386626570978
"44","c-80","5","1",0
"45","c-81","2","3",0.0511057954482862
"46","c-83","2","3",0.135026917592707
"47","c-84","2","3",0.928958934067577
"48","c-85","2","3",0.0444863708933166
"49","c-89","5","1",0.67568830427571
"50","c-91","2","3",1
"51","c-92","1","2",0.666206935810056
"52","c-93","5","1",0.157789973621134
"53","c-94","2","3",0.0951568831553994
"54","c-95","2","3",0.00507577272659979
"55","c-96","1","2",0.995977856518904
"56","c-97","1","2",0.846489075572679
"57","c-98","5","1",0.948327254134681
"58","c-99","2","3",0.887181933059029
"59","c-104","2","3",0.484160974154557
"60","c-105","5","1",0.282437136509931
"61","c-106","2","3",0.956598318823861
"62","c-108","1","2",0.489495267765156
"63","c-109","2","3",0.0596944077149878
"64","c-112","2","3",1
"65","c-114","1","2",0.616779103126421
"66","c-116","2","3",1
"67","c-117","5","1",0.732141779906489
"68","c-119","5","1",0.753427743978906
"69","c-121","5","1",0
"70","c-123","5","1",0.688238565887363
"71","c-124","1","2",0.969745147365416
"72","c-125","2","3",0.386606471784194
"73","c-126","2","3",1
"74","c-128","2","3",1
"75","c-132","5","1",0
"76","c-133","5","1",0.117594194517835
"77","c-136","2","3",1
"78","c-137","2","3",0.20134183773776
"79","c-138","5","1",0
"80","c-143","2","3",0.0153561074865821
"81","c-144","1","2",0.926995724005711
"82","c-146","5","1",0
"83","c-148","2","3",1
"84","c-149","5","1",0.557566849820559
"85","c-152","5","1",0.727473547018065
"86","c-153","2","3",0.741461836423174
"87","c-154","1","2",0.0320620276636472
"88","c-155","2","3",1
"89","c-156","2","3",0.0255267557298347
"90","c-157","1","2",0.548909559215638
"91","c-159","5","1",0.512448011421347
"92","c-160","1","2",0.679998916112011
"93","c-162","2","3",0.116215639701382
"94","c-163","1","2",0.606092581815278
"95","c-165","2","3",0.131828348766835
"96","c-166","1","2",0.14250169179003
"97","c-167","5","1",0.284833281651028
"98","c-170","1","2",0.289795186566909
"99","c-172","2","3",0.424932939762234
"100","c-176","5","1",0
"101","c-177","5","1",0
"102","c-178","5","1",0.241744632924376
"103","c-179","2","3",1
"104","c-180","1","2",0.958459391616067
"105","c-181","5","1",0.951320907606772
"106","c-183","2","3",0.0239673051728313
"107","c-184","5","1",0.749097911928448
"108","c-186","2","3",0.0420056088842974
"109","c-188","2","3",0.126964708239227
"110","c-190","2","3",0.32641727076516
"111","c-191","2","3",1
"112","c-192","2","3",0.087616273727398
"113","c-193","5","1",0
"114","c-197","1","2",0.130851659109617
"115","c-198","2","3",0.0800209646656516
"116","c-201","1","2",0.553132498199235
"117","c-202","2","3",0.865640828028173
"118","c-203","2","3",1
"119","c-205","5","1",0
"120","c-210","1","2",0.484422654731104
"121","c-212","1","2",0.926045773877277
"122","c-216","5","1",0.277740151482207
"123","c-217","5","1",0
"124","c-218","1","2",0.95994785998578
"125","c-221","5","1",0.110369453009701
"126","c-224","1","2",0.261450709508706
"127","c-226","5","1",0.817190242991852
"128","c-230","5","1",0.301875033431819
"129","c-231","5","1",0
"130","c-233","1","2",0.344373531604403
"131","c-236","5","1",0
"132","c-237","5","1",0
"133","c-239","1","2",0.0364808084640273
"134","c-240","2","3",1
"135","c-241","5","1",0.121283639966113
"136","c-242","1","2",0.186199181680901
"137","c-243","5","1",0.880889104042427
"138","c-245","5","1",0
"139","c-246","5","1",0.533951346347722
"140","c-247","5","1",0
"141","c-249","5","1",0.260742026989892
"142","c-253","2","3",1
"143","c-255","2","3",0.0547148265697557
"144","c-256","5","1",0
"145","c-257","2","3",1
"146","c-258","1","2",0.62032972941293
"147","c-261","2","3",1
"148","c-267","2","3",0.0103164469761602
"149","c-268","2","3",0.82897583758706
"150","c-269","5","1",0.761323585104531
"151","c-271","5","1",0
"152","c-272","5","1",0
"153","c-273","1","2",0.0605232198545159
"154","c-274","2","3",1
"155","c-275","2","3",1
"156","c-276","2","3",1
"157","c-277","2","3",1
"158","c-279","5","1",0.14390158739293
"159","c-280","2","3",0.277293761722577
"160","c-281","5","1",0
"161","c-283","5","1",0.586416963799143
"162","c-284","5","1",0.120855626278239
"163","c-285","2","3",0.780546192625963
"164","c-286","5","1",0.595011241834311
"165","c-287","1","2",0.86388828915349
"166","c-288","5","1",0
"167","c-290","5","1",0
"168","c-291","2","3",1
"169","c-292","1","2",0.0157454252962577
"170","c-293","5","1",0.574857644480093
"171","c-294","2","3",0.408333830635484
"172","c-295","5","1",0.120885550026111
"173","c-296","5","1",0.525073816644238
"174","c-297","2","3",1
"175","c-298","5","1",0
"176","c-300","5","1",0.236648192317299
"177","c-301","1","2",0.681648401759672
"178","c-302","1","2",0.561846648286476
"179","c-303","5","1",0
"180","c-305","2","3",0.818740418707227
"181","c-306","2","3",0.700260270839601
"182","c-307","2","3",0.245690685419038
"183","c-309","2","3",1
"184","c-316","5","1",0
"185","c-317","2","3",1
"186","c-318","2","3",0.807796845997549
"187","c-319","2","3",0.0675191137008892
"188","c-320","2","3",1
"189","c-321","2","3",1
"190","c-322","5","1",0
"191","c-325","2","3",0.112636459018703
"192","c-328","2","3",0.19430779750519
"193","c-329","1","2",0.911292644913748
"194","c-331","5","1",0.549066036562674
"195","c-333","1","2",0.0691637493122612
"196","c-334","2","3",1
"197","c-336","5","1",0
"198","c-338","2","3",0.905132849231039
"199","c-340","5","1",0
"200","c-342","5","1",0.213607146322041
"201","c-344","1","2",0.0808753314891704
"202","c-345","2","3",1
"203","c-346","1","2",0.739788339633884
"204","c-347","5","1",0
"205","c-349","5","1",0.0378766814384086
"206","c-350","5","1",0
"207","c-351","5","1",0.377182364963783
"208","c-353","2","3",1
"209","c-354","2","3",1
"210","c-355","1","2",0.908526519041926
"211","c-357","5","1",0
"212","c-361","5","1",0
"213","c-362","2","3",1
"214","c-363","1","2",0.813893107232416
"215","c-364","5","1",0.955554607505707
"216","c-365","2","3",1
"217","c-367","5","1",0.553659143651391
"218","c-373","2","3",0.914778423773397
"219","c-374","2","3",1
"220","c-376","1","2",0.979913770041638
"221","c-380","2","3",0.136252704011478
"222","c-385","2","3",0.175647852465339
"223","c-386","5","1",0
"224","c-387","5","1",0.439785316764353
"225","c-390","1","2",0.886954585843079
"226","c-391","5","1",0.862859781422243
"227","c-393","5","1",0
"228","c-394","1","2",0.383085333484274
"229","c-395","5","1",0.191215320237682
"230","c-397","5","1",0.315258239483098
"231","c-399","5","1",0
