"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_19",0.0765307855004085
"2","c-2","Y_1","Y_19",0.030292045910684
"3","c-3","Y_1","Y_19",0.030292045910684
"4","c-4","Y_1","Y_19",0.030292045910684
"5","c-5","Y_1","Y_19",0
"6","c-6","Y_1","Y_19",0.203474847454632
"7","c-7","Y_1","Y_19",0.332714459559317
"8","c-8","Y_1","Y_19",0.114899469983732
"9","c-9","Y_1","Y_19",0.270675374257847
"10","c-10","Y_1","Y_19",0.030292045910684
"11","c-11","Y_1","Y_19",0.158866779980543
"12","c-12","Y_1","Y_19",0.435407147646723
"13","c-13","Y_1","Y_19",0
"14","c-14","Y_1","Y_19",0.332714459559317
"15","c-15","Y_1","Y_19",1
"16","c-16","Y_1","Y_19",0
"17","c-17","Y_1","Y_19",0.203474847454632
"18","c-18","Y_1","Y_19",0
"19","c-19","Y_1","Y_19",0.0765307855004085
"20","c-20","Y_1","Y_19",0.380394200576349
"21","c-21","Y_1","Y_19",0.380394200576349
"22","c-22","Y_1","Y_19",0.72514185054344
"23","c-23","Y_1","Y_19",0.380394200576349
"24","c-24","Y_1","Y_19",0.332714459559317
"25","c-25","Y_1","Y_19",0.72514185054344
"26","c-26","Y_1","Y_19",0
"27","c-27","Y_1","Y_19",0.114899469983732
"28","c-28","Y_1","Y_19",0.380394200576349
"29","c-29","Y_1","Y_19",0.0765307855004085
"30","c-30","Y_1","Y_19",0
"31","c-31","Y_1","Y_19",0.030292045910684
"32","c-32","Y_1","Y_19",0.332714459559317
"33","c-33","Y_1","Y_19",0
"34","c-34","Y_1","Y_19",0.435407147646723
"35","c-35","Y_1","Y_19",0.270675374257847
"36","c-36","Y_1","Y_19",0.59427372965781
"37","c-37","Y_1","Y_19",0
"38","c-38","Y_1","Y_19",0.158866779980543
"39","c-39","Y_1","Y_19",0.435407147646723
"40","c-40","Y_1","Y_19",0.270675374257847
"41","c-41","Y_1","Y_19",0
"42","c-42","Y_1","Y_19",0.114899469983732
"43","c-43","Y_1","Y_19",0.158866779980543
"44","c-44","Y_1","Y_19",0.030292045910684
"45","c-45","Y_1","Y_19",0.030292045910684
"46","c-46","Y_1","Y_19",0.158866779980543
"47","c-47","Y_1","Y_19",0.030292045910684
"48","c-48","Y_1","Y_19",0
"49","c-49","Y_1","Y_19",0.0765307855004085
"50","c-50","Y_1","Y_19",0
"51","c-51","Y_1","Y_19",0.0765307855004085
"52","c-52","Y_1","Y_19",0
"53","c-53","Y_1","Y_19",0.59427372965781
"54","c-54","Y_1","Y_19",0
"55","c-55","Y_1","Y_19",0
"56","c-56","Y_1","Y_19",0.270675374257847
"57","c-57","Y_1","Y_19",0.0765307855004085
"58","c-58","Y_1","Y_19",0.380394200576349
"59","c-59","Y_1","Y_19",0.48963666553427
"60","c-60","Y_1","Y_19",0
"61","c-61","Y_1","Y_19",0.0765307855004085
"62","c-62","Y_1","Y_19",0.59427372965781
"63","c-63","Y_1","Y_19",0
"64","c-64","Y_1","Y_19",0.332714459559317
"65","c-65","Y_1","Y_19",0.114899469983732
"66","c-66","Y_1","Y_19",0.72514185054344
"67","c-67","Y_1","Y_19",0.114899469983732
"68","c-68","Y_1","Y_19",0.435407147646723
"69","c-69","Y_1","Y_19",0.158866779980543
"70","c-70","Y_1","Y_19",0.435407147646723
"71","c-71","Y_1","Y_19",0.380394200576349
"72","c-72","Y_1","Y_19",0
"73","c-73","Y_1","Y_19",0.72514185054344
"74","c-74","Y_1","Y_19",0.0765307855004085
"75","c-75","Y_1","Y_19",0
"76","c-76","Y_1","Y_19",0.826243739827226
"77","c-77","Y_1","Y_19",0.030292045910684
"78","c-78","Y_1","Y_19",0.030292045910684
"79","c-79","Y_1","Y_19",0.59427372965781
"80","c-80","Y_1","Y_19",0
"81","c-81","Y_1","Y_19",0
"82","c-82","Y_1","Y_19",0.114899469983732
"83","c-83","Y_1","Y_19",0.435407147646723
"84","c-84","Y_1","Y_19",0.59427372965781
"85","c-85","Y_1","Y_19",0.863536950058983
"86","c-86","Y_1","Y_19",0.435407147646723
"87","c-87","Y_1","Y_19",0.114899469983732
"88","c-88","Y_1","Y_19",0
"89","c-89","Y_1","Y_19",0.777795068196597
"90","c-90","Y_1","Y_19",0.777795068196597
"91","c-91","Y_1","Y_19",0.380394200576349
"92","c-92","Y_1","Y_19",0.72514185054344
"93","c-93","Y_1","Y_19",1
"94","c-94","Y_1","Y_19",1
"95","c-95","Y_1","Y_19",0.114899469983732
"96","c-96","Y_1","Y_19",0.95054895044647
"97","c-97","Y_1","Y_19",0.826243739827226
"98","c-98","Y_1","Y_19",0.652232770929792
"99","c-99","Y_1","Y_19",1
"100","c-100","Y_1","Y_19",0.826243739827226
"101","c-101","Y_1","Y_19",1
"102","c-102","Y_1","Y_19",0.899583924983426
"103","c-103","Y_1","Y_19",1
"104","c-104","Y_1","Y_19",0.95054895044647
"105","c-105","Y_1","Y_19",0.95054895044647
"106","c-106","Y_1","Y_19",1
"107","c-107","Y_1","Y_19",0
"108","c-108","Y_1","Y_19",0.95054895044647
"109","c-109","Y_1","Y_19",0.826243739827226
"110","c-110","Y_1","Y_19",1
"111","c-111","Y_1","Y_19",0.863536950058983
"112","c-112","Y_1","Y_19",0.899583924983426
"113","c-113","Y_1","Y_19",0.0765307855004085
"114","c-114","Y_1","Y_19",0.826243739827226
"115","c-115","Y_1","Y_19",0.652232770929792
"116","c-116","Y_1","Y_19",1
"117","c-117","Y_1","Y_19",0.158866779980543
"118","c-118","Y_1","Y_19",0.95054895044647
"119","c-119","Y_1","Y_19",0
"120","c-120","Y_1","Y_19",0
"121","c-121","Y_1","Y_19",0.777795068196597
"122","c-122","Y_1","Y_19",1
"123","c-123","Y_1","Y_19",0.72514185054344
"124","c-124","Y_1","Y_19",1
"125","c-125","Y_1","Y_19",0.826243739827226
"126","c-126","Y_1","Y_19",0.826243739827226
"127","c-127","Y_1","Y_19",1
"128","c-128","Y_1","Y_19",0.863536950058983
"129","c-129","Y_1","Y_19",0.899583924983426
"130","c-130","Y_1","Y_19",0.95054895044647
"131","c-131","Y_1","Y_19",0.95054895044647
"132","c-132","Y_1","Y_19",1
"133","c-133","Y_1","Y_19",0.826243739827226
"134","c-134","Y_1","Y_19",0.777795068196597
"135","c-135","Y_1","Y_19",0.826243739827226
"136","c-136","Y_1","Y_19",1
"137","c-137","Y_1","Y_19",0
"138","c-138","Y_1","Y_19",1
"139","c-139","Y_1","Y_19",0.899583924983426
"140","c-140","Y_1","Y_19",1
"141","c-141","Y_1","Y_19",0.95054895044647
"142","c-142","Y_1","Y_19",0.899583924983426
"143","c-143","Y_1","Y_19",0.863536950058983
"144","c-144","Y_1","Y_19",0.899583924983426
"145","c-145","Y_1","Y_19",0.899583924983426
"146","c-146","Y_1","Y_19",1
"147","c-147","Y_1","Y_19",0.95054895044647
"148","c-148","Y_1","Y_19",0.899583924983426
"149","c-149","Y_1","Y_19",0.899583924983426
"150","c-150","Y_1","Y_19",1
"151","c-151","Y_1","Y_19",1
"152","c-152","Y_1","Y_19",0.95054895044647
"153","c-153","Y_1","Y_19",0.899583924983426
"154","c-154","Y_1","Y_19",0.030292045910684
"155","c-155","Y_1","Y_19",1
"156","c-156","Y_1","Y_19",0.95054895044647
"157","c-157","Y_1","Y_19",1
"158","c-158","Y_1","Y_19",1
"159","c-159","Y_1","Y_19",0.95054895044647
"160","c-160","Y_1","Y_19",0
"161","c-161","Y_1","Y_19",0.95054895044647
"162","c-162","Y_1","Y_19",1
"163","c-163","Y_1","Y_19",1
"164","c-164","Y_1","Y_19",0.899583924983426
"165","c-165","Y_1","Y_19",0.95054895044647
"166","c-166","Y_1","Y_19",0
"167","c-167","Y_1","Y_19",0.95054895044647
"168","c-168","Y_1","Y_19",1
"169","c-169","Y_1","Y_19",0.899583924983426
"170","c-170","Y_1","Y_19",0.95054895044647
"171","c-171","Y_1","Y_19",0
"172","c-172","Y_1","Y_19",0.826243739827226
"173","c-173","Y_1","Y_19",1
"174","c-174","Y_1","Y_19",0.777795068196597
"175","c-175","Y_1","Y_19",0.435407147646723
"176","c-176","Y_1","Y_19",1
