"","cell_id","from","to","percentage"
"1","c-1","Y_33","Y_154",0.324161569071968
"2","c-2","Y_19","Y_77",0.67538211075755
"3","c-3","Y_90","Y_154",0.8612810651528
"4","c-4","Y_62","Y_154",0.207646304801375
"5","c-5","Y_62","Y_154",0.984796562493297
"6","c-6","Y_62","Y_154",0.0451398367876061
"7","c-7","Y_33","Y_154",0.626454875114118
"8","c-8","Y_2","Y_90",0.780454014926531
"9","c-9","Y_9","Y_123",1
"10","c-10","Y_33","Y_154",0.952709917277025
"11","c-11","Y_62","Y_154",0.589479556197605
"12","c-12","Y_33","Y_154",0.324161569071968
"13","c-13","Y_33","Y_154",0.349676601283498
"14","c-14","Y_2","Y_90",0
"15","c-15","Y_62","Y_154",0.9498937242837
"16","c-16","Y_62","Y_154",0.454305321430041
"17","c-17","Y_19","Y_90",0.799780649327946
"18","c-18","Y_2","Y_90",0
"19","c-19","Y_9","Y_33",0.60561789889605
"20","c-20","Y_19","Y_90",0.693671307237702
"21","c-21","Y_3","Y_33",0
"22","c-22","Y_62","Y_154",0.512472632195036
"23","c-23","Y_33","Y_154",0.952709917277025
"24","c-24","Y_33","Y_154",0.258900527285532
"25","c-25","Y_9","Y_33",0.820617505626186
"26","c-26","Y_62","Y_154",0.207646304801375
"27","c-27","Y_62","Y_154",0.106469871530585
"28","c-28","Y_62","Y_154",0.17870363567114
"29","c-29","Y_19","Y_77",0.930544318796279
"30","c-30","Y_2","Y_90",0
"31","c-31","Y_62","Y_154",0.362722845262958
"32","c-32","Y_33","Y_154",0.108271847553432
"33","c-33","Y_33","Y_154",0.909181403772067
"34","c-34","Y_33","Y_154",0.0200253681966564
"35","c-35","Y_19","Y_90",0.750136165438288
"36","c-36","Y_33","Y_154",0.134923026526594
"37","c-37","Y_9","Y_33",0.820617505626186
"38","c-38","Y_9","Y_33",0.434022683104317
"39","c-39","Y_62","Y_154",0.207646304801375
"40","c-40","Y_90","Y_154",0.133731286911918
"41","c-41","Y_62","Y_154",0.337864156921708
"42","c-42","Y_33","Y_154",0.767375564303335
"43","c-43","Y_19","Y_77",1
"44","c-44","Y_9","Y_33",0.820617505626186
"45","c-45","Y_33","Y_154",0.930585971036245
"46","c-46","Y_62","Y_154",0.302403979814823
"47","c-47","Y_62","Y_154",0.271228844958696
"48","c-48","Y_62","Y_154",0.935869593435833
"49","c-49","Y_62","Y_154",0.337864156921708
"50","c-50","Y_90","Y_154",0.518751321441265
"51","c-51","Y_19","Y_77",0.774206728685204
"52","c-52","Y_2","Y_90",0
"53","c-53","Y_19","Y_77",0.216321839666979
"54","c-54","Y_19","Y_150",1
"55","c-55","Y_62","Y_154",0.838011871987931
"56","c-56","Y_9","Y_33",0.233562446604992
"57","c-57","Y_2","Y_90",0
"58","c-58","Y_33","Y_154",0.930585971036245
"59","c-59","Y_9","Y_28",0.131488715835904
"60","c-60","Y_33","Y_154",0.930585971036245
"61","c-61","Y_9","Y_33",0
"62","c-62","Y_33","Y_154",0.626454875114118
"63","c-63","Y_9","Y_33",0.542849613316442
"64","c-64","Y_62","Y_154",0.0253521570526178
"65","c-65","Y_9","Y_28",1
"66","c-66","Y_62","Y_154",0.392126140911324
"67","c-67","Y_9","Y_33",0.434022683104317
"68","c-68","Y_19","Y_90",0.693671307237702
"69","c-69","Y_33","Y_154",0.324161569071968
"70","c-70","Y_9","Y_33",0.873861038027829
"71","c-71","Y_33","Y_154",0.909181403772067
"72","c-72","Y_19","Y_90",0.693671307237702
"73","c-73","Y_33","Y_154",0.302931942848684
"74","c-74","Y_19","Y_90",0.750136165438288
