"","cell_id","from","to","percentage"
"1","c-1","7","6",0.728453755378723
"2","c-2","5","11",0.462959736585617
"3","c-3","4","7",0.674657821655273
"4","c-4","1","9",0.71095609664917
"5","c-5","4","7",0.584167182445526
"6","c-6","8","1",0
"7","c-7","7","6",0.00278336205519736
"8","c-8","3","7",0.700764358043671
"9","c-9","2","10",0.524504065513611
"10","c-10","4","7",0.327985107898712
"11","c-11","1","9",0.685378611087799
"12","c-12","7","6",0.674053847789764
"13","c-13","7","6",0.445895999670029
"14","c-14","3","7",0.691091656684875
"15","c-15","4","7",0.300825417041779
"16","c-16","1","9",0.812872767448425
"17","c-17","3","7",0.535345554351807
"18","c-18","3","7",0.60261595249176
"19","c-19","2","10",0.540006577968597
"20","c-20","3","7",0.83617627620697
"21","c-21","6","2",0.669652283191681
"22","c-22","9","12",0.923749685287476
"23","c-23","4","7",0.260906010866165
"24","c-24","7","6",0.812393844127655
"25","c-25","6","2",0.519089639186859
"26","c-26","1","9",0.191782385110855
"27","c-27","1","9",0.00308268470689654
"28","c-28","8","1",0.485860049724579
"29","c-29","5","11",0.451553583145142
"30","c-30","3","7",0.678946316242218
"31","c-31","1","9",0.428463816642761
"32","c-32","2","10",0.976213395595551
"33","c-33","4","7",0.443618088960648
"34","c-34","2","10",0.29326468706131
"35","c-35","3","7",0.524402558803558
"36","c-36","6","2",0.277006417512894
"37","c-37","6","2",0.629398465156555
"38","c-38","2","10",0.399338155984879
"39","c-39","1","9",0.182248651981354
"40","c-40","3","7",0.615759909152985
"41","c-41","1","9",0.367590069770813
"42","c-42","4","7",0.660186231136322
"43","c-43","1","5",0.341301381587982
"44","c-44","6","2",0.698117136955261
"45","c-45","4","7",0.44423371553421
"46","c-46","1","9",0.322277396917343
"47","c-47","1","9",0.204048126935959
"48","c-48","4","7",0.392992973327637
"49","c-49","1","9",0.474957466125488
"50","c-50","3","7",0.58916562795639
"51","c-51","5","11",0.540863871574402
"52","c-52","3","7",0.760774374008179
"53","c-53","5","11",0.266508936882019
"54","c-54","5","11",0.603186666965485
"55","c-55","4","7",0.363667815923691
"56","c-56","2","10",0.474329322576523
"57","c-57","3","7",0.660590589046478
"58","c-58","4","7",0.453028500080109
"59","c-59","2","10",0.660322248935699
"60","c-60","4","7",0.347063034772873
"61","c-61","2","10",0.644680082798004
