"","cell_id","from","to","percentage"
"1","c-1","3","1",0.660674836989039
"2","c-2","6","2",1
"3","c-3","3","1",0.134550037161951
"4","c-4","4","3",0.37938843091322
"5","c-5","4","3",0.975808041400485
"6","c-6","5","4",0
"7","c-7","4","3",0.861603494250095
"8","c-8","3","1",0.118333951675119
"9","c-9","3","1",1
"10","c-10","4","3",0.797555214533181
"11","c-11","4","3",0.23401175041747
"12","c-12","3","1",0.684284456239781
"13","c-13","3","1",0.454911705347002
"14","c-14","3","1",0.124366158450613
"15","c-15","4","3",0.72808887995372
"16","c-16","5","4",0.901801514708579
"17","c-17","3","6",0.343276960803806
"18","c-18","3","6",0.152783553042755
"19","c-19","3","1",1
"20","c-20","3","6",0.494993198257175
"21","c-21","3","1",1
"22","c-22","4","3",0.0107364985627087
"23","c-23","4","3",0.723567013321073
"24","c-24","3","1",0.740448163973258
"25","c-25","3","1",0.96779089282177
"26","c-26","5","4",0.331866677830843
"27","c-27","5","4",0.0949362114032384
"28","c-28","5","4",0
"29","c-29","6","2",1
"30","c-30","3","1",0.20531372346862
"31","c-31","5","4",0.811573298502166
"32","c-32","3","1",1
"33","c-33","4","3",0.857448383889585
"34","c-34","3","1",0.947772688899961
"35","c-35","3","6",0.234270062003814
"36","c-36","3","1",0.81521552583512
"37","c-37","3","1",0.988905984747505
"38","c-38","3","1",1
"39","c-39","5","4",0.294986210253631
"40","c-40","3","6",0.138563697084661
"41","c-41","5","4",0.493492719137883
"42","c-42","4","3",0.998381174039694
"43","c-43","6","2",1
"44","c-44","3","1",1
"45","c-45","4","3",0.833875064418825
"46","c-46","5","4",0.548880858951686
"47","c-47","5","4",0.28590845279491
"48","c-48","4","3",0.797391691693278
"49","c-49","5","4",0.919491419430779
"50","c-50","3","1",0.116313196571367
"51","c-51","6","2",0.745098810823703
"52","c-52","3","1",0.12057292167401
"53","c-53","6","2",0.572533712987321
"54","c-54","6","2",0.756913679314146
"55","c-55","4","3",0.557459613115463
"56","c-56","3","1",1
"57","c-57","3","6",0.238619000564614
