"","cell_id","from","to","percentage"
"1","c-1","Y_43","Y_57",0.218765810251063
"2","c-2","Y_18","Y_43",0.217566870142496
"3","c-3","Y_18","Y_43",0.329502908097753
"4","c-4","Y_43","Y_57",0.674135763488358
"5","c-5","Y_18","Y_43",0.107690438621035
"6","c-6","Y_43","Y_57",0.813394352074678
"7","c-7","Y_43","Y_57",0.407969712924371
"8","c-8","Y_18","Y_43",0.24111088417593
"9","c-9","Y_43","Y_57",0.436096517178396
"10","c-10","Y_43","Y_57",0.841762749251624
"11","c-11","Y_43","Y_57",0.745621609821663
"12","c-12","Y_18","Y_43",0.936686672044453
"13","c-13","Y_43","Y_57",0.695169723698643
"14","c-14","Y_43","Y_57",0.799221139214462
"15","c-15","Y_18","Y_43",0.633173553377613
"16","c-16","Y_43","Y_57",0.653232839140152
"17","c-17","Y_18","Y_43",0.633173553377613
"18","c-18","Y_43","Y_57",0.745621609821663
"19","c-19","Y_43","Y_57",0.436096517178396
"20","c-20","Y_43","Y_57",0.745621609821663
"21","c-21","Y_43","Y_57",0.198283095239052
"22","c-22","Y_18","Y_43",0.391683614505253
"23","c-23","Y_18","Y_43",0
"24","c-24","Y_43","Y_57",0.386837586413221
"25","c-25","Y_18","Y_43",0
"26","c-26","Y_18","Y_43",0.633173553377613
"27","c-27","Y_18","Y_43",0.89862806367031
"28","c-28","Y_43","Y_57",0.386837586413221
"29","c-29","Y_43","Y_57",0.763061609792966
"30","c-30","Y_43","Y_57",0.0850970364714146
"31","c-31","Y_43","Y_57",0.695169723698643
"32","c-32","Y_18","Y_43",0.96892650246999
"33","c-33","Y_43","Y_57",0.0850970364714146
"34","c-34","Y_18","Y_43",0.268891315790436
"35","c-35","Y_88","Y_97",0.234746315820096
"36","c-36","Y_18","Y_43",0.700858895198718
"37","c-37","Y_43","Y_57",0.0212415253915637
"38","c-38","Y_43","Y_57",0.89230033266729
"39","c-39","Y_43","Y_57",0.606448772438226
"40","c-40","Y_43","Y_57",0.955559754592335
"41","c-41","Y_43","Y_57",0.323632653945043
"42","c-42","Y_18","Y_43",0.423444508451434
"43","c-43","Y_43","Y_57",0.542911299407529
"44","c-44","Y_43","Y_57",0.574447227873002
"45","c-45","Y_43","Y_57",0.98562530334592
"46","c-46","Y_43","Y_57",0.101260457854284
"47","c-47","Y_43","Y_57",0.883077109737186
"48","c-48","Y_18","Y_43",0.700858895198718
"49","c-49","Y_43","Y_57",0.152042696042982
"50","c-50","Y_43","Y_57",0.674135763488358
"51","c-51","Y_43","Y_57",0.436096517178396
"52","c-52","Y_43","Y_57",0.118283500061498
"53","c-53","Y_18","Y_43",0
"54","c-54","Y_43","Y_57",0.351407244650463
"55","c-55","Y_43","Y_57",0.377852677716912
"56","c-56","Y_43","Y_57",0
"57","c-57","Y_18","Y_43",0.361328431185757
"58","c-58","Y_43","Y_57",0.98562530334592
"59","c-59","Y_43","Y_57",0.813394352074678
"60","c-60","Y_43","Y_57",0.386837586413221
"61","c-61","Y_43","Y_57",0.0212415253915637
"62","c-62","Y_43","Y_57",0.386837586413221
"63","c-63","Y_18","Y_43",0.196809685889157
"64","c-64","Y_43","Y_57",0.606448772438226
"65","c-65","Y_43","Y_57",0.745621609821663
"66","c-66","Y_18","Y_43",0.936686672044453
"67","c-67","Y_43","Y_57",0.745621609821663
"68","c-68","Y_43","Y_57",0.827882110261733
"69","c-69","Y_43","Y_57",0.520190977470272
"70","c-70","Y_18","Y_43",0.139504714978636
"71","c-71","Y_43","Y_57",0.542911299407529
"72","c-72","Y_43","Y_57",0.574447227873002
"73","c-73","Y_43","Y_57",0.98562530334592
"74","c-74","Y_12","Y_43",0
"75","c-75","Y_43","Y_57",0.362041583607703
"76","c-76","Y_18","Y_43",0.391683614505253
"77","c-77","Y_43","Y_57",0.763061609792966
"78","c-78","Y_43","Y_57",0
"79","c-79","Y_43","Y_57",0.17514835629097
"80","c-80","Y_43","Y_57",0.745621609821663
"81","c-81","Y_43","Y_57",0.287762038217166
"82","c-82","Y_43","Y_57",0.101260457854284
"83","c-83","Y_43","Y_57",0.265510740121914
"84","c-84","Y_18","Y_43",0.633173553377613
"85","c-85","Y_43","Y_57",0.674135763488358
"86","c-86","Y_43","Y_57",0.574447227873002
"87","c-87","Y_43","Y_57",0.89230033266729
"88","c-88","Y_43","Y_57",0.500343627392645
"89","c-89","Y_43","Y_57",0.198283095239052
"90","c-90","Y_43","Y_57",0.674135763488358
"91","c-91","Y_18","Y_43",0.0727824180119622
"92","c-92","Y_43","Y_57",0.89230033266729
"93","c-93","Y_18","Y_43",0
"94","c-94","Y_18","Y_43",0.633173553377613
"95","c-95","Y_43","Y_57",0.918055783051177
"96","c-96","Y_43","Y_57",0.89230033266729
"97","c-97","Y_18","Y_43",0.89862806367031
"98","c-98","Y_43","Y_57",0.813394352074678
"99","c-99","Y_43","Y_57",0.799221139214462
"100","c-100","Y_43","Y_57",0.799221139214462
"101","c-101","Y_43","Y_57",0.520190977470272
"102","c-102","Y_18","Y_43",0.170609896057001
"103","c-103","Y_18","Y_43",0.768841155652085
"104","c-104","Y_18","Y_43",0.391683614505253
"105","c-105","Y_43","Y_57",0.674135763488358
"106","c-106","Y_18","Y_43",0.96892650246999
"107","c-107","Y_43","Y_57",0.436096517178396
"108","c-108","Y_18","Y_43",0.633173553377613
"109","c-109","Y_88","Y_97",0
"110","c-110","Y_18","Y_43",0.89862806367031
"111","c-111","Y_18","Y_43",0
"112","c-112","Y_18","Y_43",0
"113","c-113","Y_18","Y_43",0
"114","c-114","Y_18","Y_43",0.391683614505253
"115","c-115","Y_18","Y_43",0
"116","c-116","Y_43","Y_57",0.362041583607703
"117","c-117","Y_18","Y_43",0.846422890799624
"118","c-118","Y_43","Y_57",0.436096517178396
"119","c-119","Y_43","Y_57",0.971899360886984
"120","c-120","Y_43","Y_57",0.0418662318728534
"121","c-121","Y_43","Y_57",0.370702978137858
"122","c-122","Y_18","Y_43",0.0727824180119622
"123","c-123","Y_18","Y_43",0.0376174961685967
"124","c-124","Y_43","Y_57",0.98562530334592
"125","c-125","Y_18","Y_43",0.936686672044453
"126","c-126","Y_43","Y_57",0.98562530334592
"127","c-127","Y_18","Y_43",0.361328431185757
"128","c-128","Y_43","Y_57",0.287762038217166
"129","c-129","Y_43","Y_57",0.89230033266729
"130","c-130","Y_18","Y_43",0.329502908097753
"131","c-131","Y_43","Y_57",0.118283500061498
"132","c-132","Y_43","Y_57",0.813394352074678
"133","c-133","Y_18","Y_43",0
"134","c-134","Y_18","Y_43",0
"135","c-135","Y_18","Y_43",0.96892650246999
"136","c-136","Y_18","Y_43",0.391683614505253
"137","c-137","Y_43","Y_57",0.606448772438226
"138","c-138","Y_18","Y_43",0.268891315790436
"139","c-139","Y_43","Y_57",0.0418662318728534
"140","c-140","Y_43","Y_57",0.590331846958453
"141","c-141","Y_43","Y_57",0.574447227873002
"142","c-142","Y_18","Y_43",0
"143","c-143","Y_43","Y_57",0.813394352074678
"144","c-144","Y_18","Y_43",0.29616920322634
"145","c-145","Y_18","Y_43",0.700858895198718
"146","c-146","Y_43","Y_57",0.370702978137858
"147","c-147","Y_43","Y_57",0.813394352074678
"148","c-148","Y_43","Y_57",0.813394352074678
"149","c-149","Y_43","Y_57",0.337822333787886
"150","c-150","Y_43","Y_57",0.455835589961589
"151","c-151","Y_43","Y_57",0.17514835629097
"152","c-152","Y_43","Y_57",0.118283500061498
