"","cell_id","from","to","percentage"
"1","c-1","5","1",0.521065923030757
"2","c-2","2","5",0
"3","c-3","2","5",0.0721223710515338
"4","c-4","1","3",0.95053406624751
"5","c-5","2","5",0
"6","c-6","3","4",0.46073997588738
"7","c-7","1","3",0.00600209295852224
"8","c-8","2","5",0.00546550407140054
"9","c-9","1","3",0.0423753196310901
"10","c-10","3","4",0.699519512982159
"11","c-11","3","4",0.198552453838013
"12","c-12","2","5",0.975329920419726
"13","c-13","3","4",0.0290363517137103
"14","c-14","3","4",0.71712707632827
"15","c-15","2","5",0.649398239349982
"16","c-16","1","3",0.75119193429722
"17","c-17","2","5",0.693540093285254
"18","c-18","3","4",0.268695280108323
"19","c-19","1","3",0.0563475236837023
"20","c-20","3","4",0.201047242763998
"21","c-21","5","1",0.485394322860406
"22","c-22","2","5",0.298187819380157
"23","c-23","2","5",0
"24","c-24","5","1",0.917844087087906
"25","c-25","2","5",0
"26","c-26","2","5",0.613434096099787
"27","c-27","2","5",0.927045771836104
"28","c-28","5","1",0.941134568965191
"29","c-29","3","4",0.215080096483666
"30","c-30","5","1",0.105945948278442
"31","c-31","1","3",0.974184838547462
"32","c-32","5","1",0.0190778253863789
"33","c-33","5","1",0.0910037394299389
"34","c-34","2","5",0.0654363784265598
"35","c-35","3","4",0.186463393894927
"36","c-36","2","5",0.733483425712197
"37","c-37","5","1",0.0661330951763643
"38","c-38","3","4",1
"39","c-39","1","3",0.69510280673292
"40","c-40","3","4",1
"41","c-41","5","1",0.78840843795938
"42","c-42","2","5",0.339027334378713
"43","c-43","1","3",0.352995234741135
"44","c-44","1","3",0.651819717873651
"45","c-45","3","4",1
"46","c-46","5","1",0.141593691474288
"47","c-47","3","4",0.981614644443366
"48","c-48","3","4",0.199978655673316
"49","c-49","5","1",0.336054252293147
"50","c-50","1","3",0.925746810824598
"51","c-51","1","3",0.0690175107700322
"52","c-52","5","1",0.233329560292864
"53","c-53","2","5",0
"54","c-54","5","1",0.849482272325906
"55","c-55","5","1",0.933369688641571
"56","c-56","5","1",0.0135407112304564
"57","c-57","2","5",0.221633761133663
"58","c-58","3","4",1
"59","c-59","3","4",0.740351341208623
"60","c-60","5","1",0.948400377936166
"61","c-61","5","1",0.0592458842498874
"62","c-62","5","1",0.937052321402271
"63","c-63","2","5",0
"64","c-64","1","3",0.657389479685671
"65","c-65","3","4",0.227814018502695
"66","c-66","5","1",0.00245446193443219
"67","c-67","3","4",0.194464965835494
"68","c-68","3","4",0.638130284062526
"69","c-69","1","3",0.328579436657796
"70","c-70","2","5",0
"71","c-71","1","3",0.353100760974023
"72","c-72","1","3",0.556513851965898
"73","c-73","3","4",1
"74","c-74","5","1",0.0173632693346144
"75","c-75","5","1",0.856931565438836
"76","c-76","2","5",0.302800618125856
"77","c-77","3","4",0.2015834659373
"78","c-78","5","1",0.0381638181522539
"79","c-79","5","1",0.356729638150078
"80","c-80","3","4",0.201811499422699
"81","c-81","5","1",0.583256160570785
"82","c-82","5","1",0.114891147832279
"83","c-83","5","1",0.557392700548989
"84","c-84","2","5",0.615924375183535
"85","c-85","1","3",0.902450966847858
"86","c-86","1","3",0.563492059333219
"87","c-87","3","4",1
"88","c-88","1","3",0.308690359519762
"89","c-89","5","1",0.448770742926956
"90","c-90","1","3",0.945418554846716
"91","c-91","2","5",0
"92","c-92","3","4",1
"93","c-93","2","5",0
"94","c-94","2","5",0.544027205933598
"95","c-95","3","4",1
"96","c-96","3","4",1
"97","c-97","2","5",0.936232400286094
"98","c-98","3","4",0.684351035833056
"99","c-99","3","4",0.550574010060375
"100","c-100","3","4",0.662046347479174
"101","c-101","1","3",0.277987682496806
"102","c-102","2","5",0
"103","c-103","2","5",0.835667039523696
"104","c-104","2","5",0.295650119196713
"105","c-105","1","3",0.965020899734875
"106","c-106","5","1",0.0228537030858977
"107","c-107","1","3",0.0451198512094818
"108","c-108","2","5",0.624915541359843
"109","c-109","3","4",0.184103869438474
"110","c-110","2","5",0.915750065945989
"111","c-111","2","5",0
"112","c-112","2","5",0
"113","c-113","2","5",0
"114","c-114","2","5",0.215661449776036
"115","c-115","2","5",0
"116","c-116","5","1",0.865617584393047
"117","c-117","2","5",0.91261667631847
"118","c-118","1","3",0.122397929685691
"119","c-119","3","4",1
"120","c-120","5","1",0.105058517771064
"121","c-121","5","1",0.889192078998125
"122","c-122","2","5",0
"123","c-123","2","5",0
"124","c-124","3","4",1
"125","c-125","2","5",0.963396034459259
"126","c-126","3","4",1
"127","c-127","2","5",0.154784406554702
"128","c-128","5","1",0.652952107383765
"129","c-129","3","4",1
"130","c-130","2","5",0.170004406669939
"131","c-131","5","1",0.251252088386253
"132","c-132","3","4",0.582939254348755
"133","c-133","2","5",0
"134","c-134","2","5",0
"135","c-135","5","1",0.0140585986395373
"136","c-136","2","5",0.2675429085143
"137","c-137","1","3",0.710973817298034
"138","c-138","2","5",0.0837092312466445
