"","cell_id","from","to","percentage"
"1","c-1","11","2",0.444294571876526
"2","c-2","1","8",0.302872240543365
"3","c-3","2","5",0.902406752109528
"4","c-4","1","8",0.136254280805588
"5","c-5","7","4",0.710738658905029
"6","c-6","10","9",0.133913189172745
"7","c-7","3","6",0.241960138082504
"8","c-8","11","2",0.68621414899826
"9","c-9","6","10",0.335497826337814
"10","c-10","1","8",0.171448424458504
"11","c-11","2","5",0.271154046058655
"12","c-12","10","9",0.718051075935364
"13","c-13","4","12",0.826428413391113
"14","c-14","3","6",0.687143683433533
"15","c-15","2","5",0.310153663158417
"16","c-16","5","13",0.309556722640991
"17","c-17","1","8",0.324244320392609
"18","c-18","4","12",0.533719301223755
"19","c-19","1","8",0.300128877162933
"20","c-20","6","10",0.787008583545685
"21","c-21","1","8",0.265502274036407
"22","c-22","4","12",0.425557613372803
"23","c-23","11","2",0.664140582084656
"24","c-24","8","11",0.357170164585114
"25","c-25","1","8",0.237878054380417
"26","c-26","1","8",0.543539464473724
"27","c-27","5","13",0.322893559932709
"28","c-28","8","3",0.473123282194138
"29","c-29","7","4",0.816828429698944
"30","c-30","2","5",0.520086884498596
"31","c-31","3","6",0.725313782691956
"32","c-32","1","8",0.255339682102203
"33","c-33","1","8",0.529721975326538
"34","c-34","2","5",0.828606784343719
"35","c-35","9","7",0.290260076522827
"36","c-36","2","5",0.384122282266617
"37","c-37","4","12",0.525507271289825
"38","c-38","9","7",0.612867116928101
"39","c-39","1","8",0.346538245677948
"40","c-40","2","5",0.159897461533546
"41","c-41","10","9",0.391372442245483
"42","c-42","1","8",0.564704537391663
"43","c-43","11","2",0.36138653755188
"44","c-44","9","7",0.703182458877563
"45","c-45","7","4",0.629672765731812
"46","c-46","11","2",0.919776618480682
"47","c-47","5","13",0.315135627985001
"48","c-48","1","8",0.213811576366425
"49","c-49","6","10",0.905754327774048
"50","c-50","4","12",0.475551664829254
"51","c-51","9","7",0.256627470254898
"52","c-52","8","11",0
"53","c-53","3","6",0.558101832866669
"54","c-54","6","10",0.0303028915077448
"55","c-55","9","7",0.196620985865593
"56","c-56","7","4",0.372437208890915
"57","c-57","1","8",0.424634039402008
"58","c-58","3","6",0.537388265132904
"59","c-59","3","6",0.727305173873901
"60","c-60","2","5",0.63274610042572
"61","c-61","11","2",0.582442879676819
"62","c-62","10","9",0.709248900413513
"63","c-63","3","6",0.691152453422546
"64","c-64","8","11",0.147450014948845
"65","c-65","7","4",0.530332386493683
"66","c-66","6","10",0.65107661485672
"67","c-67","4","12",0
"68","c-68","6","10",0.649519324302673
"69","c-69","4","12",0.533819437026978
"70","c-70","1","8",0.434637010097504
"71","c-71","4","12",0.495824366807938
"72","c-72","10","9",0.557469010353088
"73","c-73","7","4",0.62493497133255
"74","c-74","11","2",0.553137063980103
"75","c-75","7","4",0.549082815647125
"76","c-76","9","7",0.382881551980972
"77","c-77","8","3",0.646153688430786
"78","c-78","1","8",0.568850696086884
"79","c-79","1","8",0.386894106864929
"80","c-80","2","5",0.372625172138214
"81","c-81","2","5",0.69299727678299
"82","c-82","5","13",0.313032627105713
"83","c-83","2","5",0.457169264554977
"84","c-84","3","6",0.671025156974792
"85","c-85","10","9",0.811776220798492
"86","c-86","6","10",0.810709834098816
"87","c-87","6","10",0.183430850505829
"88","c-88","2","5",0.698737323284149
"89","c-89","1","8",0.452849209308624
"90","c-90","8","11",0.815069079399109
"91","c-91","3","6",0.42837518453598
"92","c-92","2","5",0.699880003929138
"93","c-93","8","3",1
"94","c-94","10","9",0.94146341085434
