"","cell_id","from","to","percentage"
"1","c-1","8","3",0.532149851322174
"2","c-2","8","3",0.0802934542298317
"3","c-3","8","3",0.219808608293533
"4","c-4","8","3",0.0740520879626274
"5","c-5","8","3",0.0927448868751526
"6","c-6","8","3",0.0458300672471523
"7","c-7","8","3",0.292389988899231
"8","c-8","8","3",0.0783505141735077
"9","c-9","8","3",0.0566713102161884
"10","c-10","8","3",0.0618057101964951
"11","c-11","8","3",0.0260364003479481
"12","c-12","8","3",0.167391940951347
"13","c-13","8","3",0.878566205501556
"14","c-14","8","3",0.0444768294692039
"15","c-15","8","3",0.241543740034103
"16","c-16","8","3",0.298768669366837
"17","c-17","8","3",0.0964479967951775
"18","c-18","8","3",0.471462100744247
"19","c-19","8","3",0.4458167552948
"20","c-20","8","3",0.100172273814678
"21","c-21","8","3",0.294633120298386
"22","c-22","8","3",0.3353471159935
"23","c-23","8","3",0.215055212378502
"24","c-24","8","3",0.385716408491135
"25","c-25","8","3",0.0972852855920792
"26","c-26","8","3",0.666998088359833
"27","c-27","8","3",0.0913309827446938
"28","c-28","8","3",0.0275705717504025
"29","c-29","8","3",0.242232993245125
"30","c-30","8","3",0.41096505522728
"31","c-31","8","3",0.269756317138672
"32","c-32","8","3",0.158849999308586
"33","c-33","8","3",0.31006783246994
"34","c-34","8","3",0.0775821283459663
"35","c-35","8","3",0.114896766841412
"36","c-36","8","3",0.0170620419085026
"37","c-37","8","3",0.119669884443283
"38","c-38","8","3",0.273323118686676
"39","c-39","8","3",0.00995457917451859
"40","c-40","8","3",0.0991112887859344
"41","c-41","8","3",0.366381704807281
"42","c-42","8","3",0.234028056263924
"43","c-43","8","3",0.543242573738098
"44","c-44","8","3",0.658091187477112
"45","c-45","8","3",0.0307367034256458
"46","c-46","8","3",0.0451718084514141
"47","c-47","8","3",0.100793302059174
"48","c-48","8","3",0.296454787254333
"49","c-49","8","3",0.140618175268173
"50","c-50","8","3",0.275201827287674
"51","c-51","8","3",0.443207561969757
"52","c-52","8","3",0.0322527922689915
"53","c-53","8","3",0.274908095598221
"54","c-54","8","3",0.256560802459717
"55","c-55","8","3",0.0636411905288696
"56","c-56","8","3",0.0881397426128387
"57","c-57","8","3",0.412799298763275
"58","c-58","8","3",0.733672797679901
"59","c-59","8","3",0.0867831185460091
"60","c-60","8","3",0.0421969816088676
"61","c-61","8","3",0.317799150943756
"62","c-62","8","3",0.112024500966072
"63","c-63","8","3",0.0867740958929062
"64","c-64","8","3",0.0931481719017029
"65","c-65","8","3",0.0851180627942085
"66","c-66","8","3",0
"67","c-67","8","3",0.0812794342637062
"68","c-68","8","3",0.235078871250153
"69","c-69","8","3",0.113777741789818
"70","c-70","8","3",0.064028300344944
"71","c-71","8","3",0.0623941011726856
"72","c-72","8","3",0.0962182432413101
"73","c-73","8","3",0.156875848770142
"74","c-74","8","3",0.119188487529755
"75","c-75","8","3",0.181283533573151
"76","c-76","8","3",0.366572946310043
"77","c-77","8","3",0.326026439666748
"78","c-78","8","3",0.0202355589717627
"79","c-79","8","3",1
"80","c-80","8","3",0.0579238757491112
"81","c-81","8","3",0.175460696220398
"82","c-82","8","3",0.386241257190704
"83","c-83","8","3",0.240907043218613
"84","c-84","8","3",0.0451602637767792
"85","c-85","8","3",0.15452966094017
"86","c-86","8","3",0.188461571931839
"87","c-87","8","3",0.0721690133213997
"88","c-88","8","3",0.240135475993156
"89","c-89","8","3",0.744715213775635
"90","c-90","8","3",0.776056706905365
"91","c-91","8","3",0.656871199607849
"92","c-92","8","3",0.781795501708984
"93","c-93","8","3",0.788854122161865
"94","c-94","8","3",0.523757636547089
"95","c-95","8","3",0.775142133235931
"96","c-96","3","6",0.412319660186768
"97","c-97","8","3",0.475488930940628
"98","c-98","8","3",0.626048982143402
"99","c-99","8","3",0.73738157749176
"100","c-100","8","3",0.595426023006439
"101","c-101","3","6",0.236391767859459
"102","c-102","8","3",0.726083397865295
"103","c-103","8","3",0.796604931354523
"104","c-104","8","3",0.757973432540894
"105","c-105","8","3",0.749290943145752
"106","c-106","3","6",0.271562546491623
"107","c-107","8","3",0.694070994853973
"108","c-108","8","3",0.558335363864899
"109","c-109","3","6",0.603960156440735
"110","c-110","8","3",0.742391347885132
"111","c-111","3","6",0.0692369192838669
"112","c-112","3","6",0.487035483121872
"113","c-113","8","3",0.67588996887207
"114","c-114","8","3",0.59157407283783
"115","c-115","8","3",0.611856997013092
"116","c-116","8","3",0.776085197925568
"117","c-117","8","3",0.789340853691101
"118","c-118","8","3",0.639758169651031
"119","c-119","8","3",0.735734939575195
"120","c-120","8","3",0.716177344322205
"121","c-121","8","3",0.55338716506958
"122","c-122","8","3",0.653858423233032
"123","c-123","8","3",0.685140192508698
"124","c-124","8","3",0.507667064666748
"125","c-125","8","3",0.705397367477417
"126","c-126","8","3",0.778179824352264
"127","c-127","8","3",0.563935816287994
"128","c-128","8","3",0.727665901184082
"129","c-129","3","6",0.412514388561249
"130","c-130","8","3",0.658821702003479
"131","c-131","8","3",0.639974057674408
"132","c-132","8","3",0.559214353561401
"133","c-133","8","3",0.78633987903595
"134","c-134","3","6",0.140678778290749
"135","c-135","8","3",0.750585675239563
"136","c-136","3","6",0.18876188993454
"137","c-137","8","3",0.733169198036194
"138","c-138","8","3",0.711896896362305
"139","c-139","8","3",0.710538566112518
"140","c-140","8","3",0.770739495754242
"141","c-141","8","3",0.562406539916992
"142","c-142","8","3",0.597768247127533
"143","c-143","8","3",0.664463579654694
"144","c-144","8","3",0.778020799160004
"145","c-145","3","6",0.173747390508652
"146","c-146","8","3",0.785180926322937
"147","c-147","3","6",0.0300757493823767
"148","c-148","3","6",0.218070775270462
"149","c-149","8","3",0.611611664295197
"150","c-150","8","3",0.645798444747925
"151","c-151","8","3",0.732425391674042
"152","c-152","8","3",0.727475643157959
"153","c-153","3","6",0.141574755311012
"154","c-154","8","3",0.608836054801941
"155","c-155","8","3",0.670524060726166
"156","c-156","8","3",0.751253366470337
"157","c-157","8","3",0.559357821941376
"158","c-158","8","3",0.462069422006607
"159","c-159","8","3",0.591056346893311
"160","c-160","8","3",0.675278186798096
"161","c-161","3","6",0.443526357412338
"162","c-162","8","3",0.816338717937469
"163","c-163","8","3",0.648833334445953
"164","c-164","8","3",0.751240730285645
"165","c-165","8","3",0.469499379396439
"166","c-166","8","3",0.712673902511597
"167","c-167","8","3",0.667684733867645
"168","c-168","8","3",0.370291233062744
"169","c-169","8","3",0.768598139286041
"170","c-170","8","3",0.724180698394775
"171","c-171","8","3",0.803158283233643
"172","c-172","3","6",0.482185035943985
"173","c-173","8","3",0.641486823558807
"174","c-174","8","3",0.603409469127655
"175","c-175","8","3",0.805800080299377
