"","cell_id","from","to","percentage"
"1","c-1","Y_31","Y_77",0.269591720953844
"2","c-2","Y_31","Y_77",0.226658124509852
"3","c-3","Y_31","Y_77",0.2814814774627
"4","c-4","Y_22","Y_24",0
"5","c-5","Y_5","Y_16",0.47664639987322
"6","c-6","Y_31","Y_77",0.256196305225146
"7","c-7","Y_5","Y_16",0
"8","c-8","Y_31","Y_77",0.208238729062913
"9","c-9","Y_31","Y_77",0.256196305225146
"10","c-10","Y_5","Y_16",0
"11","c-11","Y_31","Y_77",0.243549123345073
"12","c-12","Y_31","Y_77",0.269591720953844
"13","c-13","Y_31","Y_77",0.226658124509852
"14","c-14","Y_31","Y_77",0.269591720953844
"15","c-15","Y_5","Y_16",0.47664639987322
"16","c-16","Y_31","Y_77",0.2814814774627
"17","c-17","Y_31","Y_77",0.208238729062913
"18","c-18","Y_31","Y_77",0.269591720953844
"19","c-19","Y_5","Y_16",0
"20","c-20","Y_31","Y_77",0.208238729062913
"21","c-21","Y_31","Y_77",0.256196305225146
"22","c-22","Y_24","Y_30",0.678753923678585
"23","c-23","Y_31","Y_77",0.2814814774627
"24","c-24","Y_22","Y_24",0
"25","c-25","Y_5","Y_16",0
"26","c-26","Y_22","Y_24",0
"27","c-27","Y_31","Y_77",0.269591720953844
"28","c-28","Y_31","Y_77",0.269591720953844
"29","c-29","Y_31","Y_77",0.256196305225146
"30","c-30","Y_5","Y_16",0
"31","c-31","Y_31","Y_77",0.2814814774627
"32","c-32","Y_31","Y_77",0.208238729062913
"33","c-33","Y_31","Y_77",0.256196305225146
"34","c-34","Y_31","Y_77",0.269591720953844
"35","c-35","Y_22","Y_24",0
"36","c-36","Y_31","Y_77",0.256196305225146
"37","c-37","Y_31","Y_77",0.256196305225146
"38","c-38","Y_31","Y_77",0.269591720953844
"39","c-39","Y_31","Y_77",0.256196305225146
"40","c-40","Y_5","Y_16",1
"41","c-41","Y_31","Y_77",0.226658124509852
"42","c-42","Y_31","Y_77",0.343185549349982
"43","c-43","Y_31","Y_77",0.226658124509852
"44","c-44","Y_24","Y_30",0
"45","c-45","Y_5","Y_16",1
"46","c-46","Y_31","Y_77",0.269591720953844
"47","c-47","Y_31","Y_77",0.256196305225146
"48","c-48","Y_22","Y_24",0
"49","c-49","Y_31","Y_77",0.256196305225146
"50","c-50","Y_22","Y_24",0
"51","c-51","Y_31","Y_77",0.269591720953844
"52","c-52","Y_31","Y_77",0.256196305225146
"53","c-53","Y_31","Y_77",0.243549123345073
"54","c-54","Y_31","Y_77",0.243549123345073
"55","c-55","Y_31","Y_77",0.226658124509852
"56","c-56","Y_5","Y_16",0
"57","c-57","Y_31","Y_77",0.269591720953844
"58","c-58","Y_5","Y_16",0
"59","c-59","Y_31","Y_77",0.2814814774627
"60","c-60","Y_31","Y_77",0.226658124509852
"61","c-61","Y_31","Y_77",0.2814814774627
"62","c-62","Y_5","Y_16",0.47664639987322
"63","c-63","Y_31","Y_77",0.243549123345073
"64","c-64","Y_5","Y_16",0
"65","c-65","Y_31","Y_77",0.256196305225146
"66","c-66","Y_31","Y_77",0.256196305225146
"67","c-67","Y_22","Y_24",0
"68","c-68","Y_22","Y_24",0
"69","c-69","Y_5","Y_16",1
"70","c-70","Y_31","Y_77",0.256196305225146
"71","c-71","Y_31","Y_77",0.269591720953844
"72","c-72","Y_5","Y_16",0
"73","c-73","Y_31","Y_77",0.243549123345073
"74","c-74","Y_22","Y_24",0
"75","c-75","Y_31","Y_77",0.2814814774627
"76","c-76","Y_31","Y_77",0.226658124509852
"77","c-77","Y_31","Y_77",0.256196305225146
"78","c-78","Y_31","Y_77",0.243549123345073
"79","c-79","Y_22","Y_24",0
"80","c-80","Y_5","Y_16",0.47664639987322
"81","c-81","Y_31","Y_77",0.208238729062913
"82","c-82","Y_22","Y_24",0
"83","c-83","Y_24","Y_30",1
"84","c-84","Y_22","Y_24",0
"85","c-85","Y_24","Y_30",0.678753923678585
"86","c-86","Y_22","Y_24",0
"87","c-87","Y_24","Y_30",1
"88","c-88","Y_24","Y_30",0.272630350647797
"89","c-89","Y_22","Y_24",0
"90","c-90","Y_24","Y_30",1
"91","c-91","Y_24","Y_30",0.678753923678585
"92","c-92","Y_22","Y_24",0.667705416576037
"93","c-93","Y_24","Y_30",1
"94","c-94","Y_24","Y_30",0.842485111549216
"95","c-95","Y_22","Y_24",0
"96","c-96","Y_24","Y_30",0.510323436358911
"97","c-97","Y_24","Y_30",1
"98","c-98","Y_24","Y_30",1
"99","c-99","Y_22","Y_24",0
"100","c-100","Y_22","Y_24",0
"101","c-101","Y_24","Y_30",0.842485111549216
"102","c-102","Y_22","Y_24",0.332302072561399
"103","c-103","Y_22","Y_24",0
"104","c-104","Y_24","Y_30",1
"105","c-105","Y_22","Y_24",0
"106","c-106","Y_24","Y_30",0.272630350647797
"107","c-107","Y_24","Y_30",1
"108","c-108","Y_24","Y_30",0.272630350647797
"109","c-109","Y_22","Y_24",0
"110","c-110","Y_24","Y_30",1
"111","c-111","Y_22","Y_24",0
"112","c-112","Y_24","Y_30",1
"113","c-113","Y_24","Y_30",0.272630350647797
"114","c-114","Y_24","Y_30",0.842485111549216
"115","c-115","Y_24","Y_30",1
"116","c-116","Y_24","Y_30",1
"117","c-117","Y_22","Y_24",0
"118","c-118","Y_22","Y_24",0
"119","c-119","Y_22","Y_24",0
"120","c-120","Y_24","Y_30",0.272630350647797
"121","c-121","Y_24","Y_30",1
"122","c-122","Y_24","Y_30",0.842485111549216
"123","c-123","Y_24","Y_30",0.272630350647797
"124","c-124","Y_22","Y_24",0
"125","c-125","Y_22","Y_24",0
"126","c-126","Y_24","Y_30",0.678753923678585
"127","c-127","Y_24","Y_30",0.272630350647797
"128","c-128","Y_22","Y_24",0.667705416576037
"129","c-129","Y_24","Y_30",1
"130","c-130","Y_22","Y_24",0.667705416576038
"131","c-131","Y_22","Y_24",0
"132","c-132","Y_24","Y_30",1
"133","c-133","Y_22","Y_24",0.667705416576037
"134","c-134","Y_22","Y_24",0
"135","c-135","Y_24","Y_30",0.678753923678585
"136","c-136","Y_24","Y_30",0.510323436358911
"137","c-137","Y_22","Y_24",0
"138","c-138","Y_24","Y_30",0.842485111549216
"139","c-139","Y_22","Y_24",0
"140","c-140","Y_24","Y_30",1
"141","c-141","Y_24","Y_30",1
"142","c-142","Y_22","Y_24",0
"143","c-143","Y_24","Y_30",1
"144","c-144","Y_24","Y_30",0
"145","c-145","Y_24","Y_30",1
"146","c-146","Y_24","Y_30",0.678753923678585
"147","c-147","Y_24","Y_30",1
"148","c-148","Y_22","Y_24",0
"149","c-149","Y_22","Y_24",0
"150","c-150","Y_24","Y_30",1
"151","c-151","Y_22","Y_24",0
"152","c-152","Y_24","Y_30",1
"153","c-153","Y_22","Y_24",0
"154","c-154","Y_31","Y_51",0
"155","c-155","Y_31","Y_77",0
"156","c-156","Y_31","Y_51",0.24080964237105
"157","c-157","Y_31","Y_51",0.368376591495364
"158","c-158","Y_31","Y_51",0.112998643402488
"159","c-159","Y_31","Y_51",0.368376591495364
"160","c-160","Y_31","Y_51",0.112998643402488
"161","c-161","Y_31","Y_77",0.0247379578484473
"162","c-162","Y_31","Y_51",0.368376591495364
"163","c-163","Y_31","Y_51",0.368376591495364
"164","c-164","Y_16","Y_31",1
"165","c-165","Y_31","Y_51",0.368376591495364
"166","c-166","Y_31","Y_51",0.112998643402488
"167","c-167","Y_16","Y_31",1
"168","c-168","Y_31","Y_77",1
"169","c-169","Y_31","Y_77",0.0545158443464679
"170","c-170","Y_31","Y_77",0
"171","c-171","Y_31","Y_51",0.924201754366376
"172","c-172","Y_31","Y_77",0.435068586233743
"173","c-173","Y_31","Y_51",0.469322930543924
"174","c-174","Y_31","Y_51",0
"175","c-175","Y_31","Y_51",0
"176","c-176","Y_31","Y_77",0
"177","c-177","Y_31","Y_51",0.924201754366376
"178","c-178","Y_31","Y_51",0
"179","c-179","Y_16","Y_31",1
"180","c-180","Y_31","Y_51",0
"181","c-181","Y_31","Y_77",0.0247379578484473
"182","c-182","Y_31","Y_77",0.0247379578484473
"183","c-183","Y_31","Y_77",0.0247379578484473
"184","c-184","Y_31","Y_51",0.562012088910517
"185","c-185","Y_31","Y_77",0.0247379578484473
"186","c-186","Y_31","Y_51",0.562012088910517
"187","c-187","Y_31","Y_77",0.2814814774627
"188","c-188","Y_31","Y_51",0.469322930543924
"189","c-189","Y_31","Y_77",0.435068586233743
"190","c-190","Y_31","Y_51",0.562012088910517
"191","c-191","Y_31","Y_51",0.368376591495364
"192","c-192","Y_31","Y_77",0.311057887101054
"193","c-193","Y_31","Y_77",0.294979673728274
"194","c-194","Y_31","Y_51",1
"195","c-195","Y_31","Y_51",1
"196","c-196","Y_31","Y_77",0.952988428764308
"197","c-197","Y_24","Y_30",1
"198","c-198","Y_31","Y_51",1
"199","c-199","Y_31","Y_51",1
"200","c-200","Y_31","Y_51",1
"201","c-201","Y_31","Y_51",1
"202","c-202","Y_31","Y_51",1
"203","c-203","Y_31","Y_51",1
"204","c-204","Y_31","Y_51",1
"205","c-205","Y_31","Y_51",1
"206","c-206","Y_31","Y_77",0.952988428764308
"207","c-207","Y_31","Y_51",1
"208","c-208","Y_31","Y_51",1
"209","c-209","Y_31","Y_51",1
"210","c-210","Y_31","Y_51",1
"211","c-211","Y_31","Y_51",1
"212","c-212","Y_31","Y_51",1
"213","c-213","Y_31","Y_77",0.933817584891991
"214","c-214","Y_31","Y_51",1
"215","c-215","Y_31","Y_51",1
"216","c-216","Y_31","Y_51",1
"217","c-217","Y_31","Y_51",1
"218","c-218","Y_31","Y_51",1
"219","c-219","Y_31","Y_51",1
"220","c-220","Y_31","Y_51",1
"221","c-221","Y_31","Y_51",1
"222","c-222","Y_31","Y_51",1
"223","c-223","Y_31","Y_77",0.98080112023109
"224","c-224","Y_31","Y_51",1
"225","c-225","Y_31","Y_51",1
"226","c-226","Y_31","Y_51",1
"227","c-227","Y_31","Y_51",1
"228","c-228","Y_31","Y_51",1
"229","c-229","Y_31","Y_77",0.870096909192935
"230","c-230","Y_31","Y_51",1
"231","c-231","Y_31","Y_51",1
"232","c-232","Y_31","Y_77",0.98080112023109
"233","c-233","Y_31","Y_77",0.452817472918837
"234","c-234","Y_31","Y_77",1
"235","c-235","Y_31","Y_77",0.377238378861499
"236","c-236","Y_31","Y_77",0.870096909192935
"237","c-237","Y_31","Y_77",0.404926479804417
"238","c-238","Y_31","Y_77",0.452817472918837
"239","c-239","Y_31","Y_77",0.404926479804417
"240","c-240","Y_31","Y_77",0.910301710005908
"241","c-241","Y_31","Y_77",0.404926479804417
"242","c-242","Y_31","Y_77",0.391102901116779
"243","c-243","Y_31","Y_77",1
"244","c-244","Y_31","Y_77",0.404926479804417
"245","c-245","Y_31","Y_77",0.944099550239998
"246","c-246","Y_31","Y_77",0.971901092967578
"247","c-247","Y_31","Y_77",0.944099550239998
"248","c-248","Y_31","Y_77",0.435068586233743
"249","c-249","Y_31","Y_77",0.885171512335926
"250","c-250","Y_31","Y_77",0.435068586233743
"251","c-251","Y_31","Y_77",0.435068586233743
"252","c-252","Y_31","Y_77",0.404926479804417
"253","c-253","Y_31","Y_77",0.991261559400956
"254","c-254","Y_31","Y_77",0.391102901116779
"255","c-255","Y_31","Y_77",0.870096909192935
"256","c-256","Y_16","Y_31",0.0714274720742756
"257","c-257","Y_5","Y_16",1
"258","c-258","Y_31","Y_77",0.452817472918837
"259","c-259","Y_31","Y_77",0.404926479804417
"260","c-260","Y_31","Y_77",1
"261","c-261","Y_31","Y_77",0.933817584891991
"262","c-262","Y_31","Y_77",0.952988428764308
"263","c-263","Y_31","Y_77",0.435068586233743
"264","c-264","Y_31","Y_77",0.420061563272534
"265","c-265","Y_31","Y_77",0.885171512335926
"266","c-266","Y_31","Y_77",0.452817472918837
"267","c-267","Y_31","Y_77",0.377238378861499
"268","c-268","Y_31","Y_77",1
"269","c-269","Y_31","Y_77",0.391102901116779
"270","c-270","Y_31","Y_77",0.377238378861499
"271","c-271","Y_31","Y_77",0.452817472918837
"272","c-272","Y_31","Y_77",1
"273","c-273","Y_31","Y_77",0.435068586233743
"274","c-274","Y_31","Y_77",0.391102901116779
"275","c-275","Y_31","Y_77",1
"276","c-276","Y_31","Y_77",0.971901092967578
"277","c-277","Y_31","Y_77",0.971901092967578
"278","c-278","Y_5","Y_16",1
"279","c-279","Y_31","Y_77",0.885171512335926
"280","c-280","Y_31","Y_77",0.933817584891991
"281","c-281","Y_31","Y_77",1
"282","c-282","Y_31","Y_77",0.96308608888161
"283","c-283","Y_31","Y_77",0.991261559400956
"284","c-284","Y_31","Y_77",0.991261559400956
"285","c-285","Y_31","Y_77",0.420061563272534
"286","c-286","Y_31","Y_77",0.933817584891991
"287","c-287","Y_31","Y_77",0.452817472918837
"288","c-288","Y_31","Y_77",0.897959872031179
"289","c-289","Y_31","Y_77",0.420061563272534
"290","c-290","Y_31","Y_77",0.452817472918837
"291","c-291","Y_31","Y_77",0.910301710005908
"292","c-292","Y_31","Y_77",0.404926479804417
"293","c-293","Y_31","Y_77",0.870096909192935
"294","c-294","Y_5","Y_16",1
"295","c-295","Y_31","Y_77",0.420061563272534
"296","c-296","Y_31","Y_77",0.391102901116779
"297","c-297","Y_31","Y_77",0.952988428764308
"298","c-298","Y_31","Y_77",0.952988428764308
"299","c-299","Y_31","Y_77",0.971901092967578
"300","c-300","Y_31","Y_77",0.952988428764308
"301","c-301","Y_31","Y_77",0.435068586233743
"302","c-302","Y_31","Y_77",0.404926479804417
"303","c-303","Y_31","Y_77",0.870096909192935
"304","c-304","Y_31","Y_77",0.377238378861499
"305","c-305","Y_5","Y_16",1
"306","c-306","Y_31","Y_77",0.897959872031179
"307","c-307","Y_31","Y_77",0.420061563272534
"308","c-308","Y_31","Y_77",0.452817472918837
"309","c-309","Y_31","Y_77",1
"310","c-310","Y_31","Y_77",0.404926479804417
"311","c-311","Y_31","Y_77",1
"312","c-312","Y_31","Y_77",0.377238378861499
"313","c-313","Y_31","Y_77",0.991261559400956
"314","c-314","Y_31","Y_77",0.452817472918837
"315","c-315","Y_31","Y_77",1
"316","c-316","Y_31","Y_77",0.404926479804417
"317","c-317","Y_31","Y_77",1
"318","c-318","Y_31","Y_77",0.420061563272534
"319","c-319","Y_31","Y_77",0.391102901116779
"320","c-320","Y_31","Y_77",0.885171512335926
"321","c-321","Y_31","Y_77",0.435068586233743
"322","c-322","Y_31","Y_77",1
"323","c-323","Y_31","Y_77",0.420061563272534
"324","c-324","Y_31","Y_77",0.897959872031179
"325","c-325","Y_31","Y_77",0.870096909192935
"326","c-326","Y_31","Y_77",0.98080112023109
"327","c-327","Y_31","Y_77",0.96308608888161
"328","c-328","Y_31","Y_77",0.971901092967578
"329","c-329","Y_31","Y_77",0.991261559400956
"330","c-330","Y_31","Y_77",0.885171512335926
"331","c-331","Y_31","Y_77",1
"332","c-332","Y_31","Y_51",0.24080964237105
"333","c-333","Y_31","Y_77",1
"334","c-334","Y_31","Y_77",0.870096909192935
"335","c-335","Y_31","Y_77",0.933817584891991
"336","c-336","Y_31","Y_77",0.897959872031179
"337","c-337","Y_31","Y_77",1
"338","c-338","Y_31","Y_77",0.885171512335926
"339","c-339","Y_31","Y_77",1
"340","c-340","Y_31","Y_77",1
"341","c-341","Y_31","Y_77",0.870096909192935
"342","c-342","Y_31","Y_77",0.98080112023109
"343","c-343","Y_31","Y_77",0.933817584891991
"344","c-344","Y_31","Y_77",0.897959872031179
"345","c-345","Y_31","Y_77",1
"346","c-346","Y_31","Y_77",0.885171512335926
"347","c-347","Y_31","Y_77",0.870096909192935
"348","c-348","Y_31","Y_77",1
"349","c-349","Y_31","Y_77",1
"350","c-350","Y_31","Y_77",0.870096909192935
"351","c-351","Y_31","Y_77",1
"352","c-352","Y_31","Y_77",1
"353","c-353","Y_31","Y_77",0.897959872031179
"354","c-354","Y_31","Y_77",0.885171512335926
"355","c-355","Y_31","Y_77",0.885171512335926
