"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_53",0
"2","c-2","Y_53","Y_88",0.0907889129186166
"3","c-3","Y_53","Y_88",0.0907889129186166
"4","c-4","Y_53","Y_88",0.0753841034168217
"5","c-5","Y_53","Y_88",0.106899883396615
"6","c-6","Y_53","Y_76",0.181187481294156
"7","c-7","Y_53","Y_76",0.166149907458247
"8","c-8","Y_53","Y_76",0.181187481294156
"9","c-9","Y_53","Y_76",0.0781621579371722
"10","c-10","Y_53","Y_76",0.0781621579371722
"11","c-11","Y_53","Y_76",0.0304556716890392
"12","c-12","Y_53","Y_76",0.105380975064379
"13","c-13","Y_53","Y_88",0.123094736529448
"14","c-14","Y_53","Y_88",0.158792856351943
"15","c-15","Y_53","Y_76",0.119502253117458
"16","c-16","Y_53","Y_76",0.0663427987777112
"17","c-17","Y_53","Y_76",0.166149907458247
"18","c-18","Y_53","Y_88",0.0294543443517246
"19","c-19","Y_53","Y_76",0.0911699492073361
"20","c-20","Y_53","Y_88",0.14169589915543
"21","c-21","Y_53","Y_88",0.0907889129186166
"22","c-22","Y_53","Y_76",0.0663427987777112
"23","c-23","Y_53","Y_88",0.106899883396615
"24","c-24","Y_53","Y_76",0.0781621579371722
"25","c-25","Y_53","Y_88",0.123094736529448
"26","c-26","Y_53","Y_76",0.0911699492073361
"27","c-27","Y_53","Y_76",0.00985937018385008
"28","c-28","Y_53","Y_76",0.0781621579371722
"29","c-29","Y_53","Y_76",0.0427383515421851
"30","c-30","Y_53","Y_76",0.0781621579371722
"31","c-31","Y_53","Y_88",0.158792856351943
"32","c-32","Y_53","Y_76",0.0427383515421852
"33","c-33","Y_53","Y_76",0.135073761079199
"34","c-34","Y_53","Y_88",0.158792856351943
"35","c-35","Y_53","Y_88",0.123094736529448
"36","c-36","Y_53","Y_76",0.181187481294156
"37","c-37","Y_53","Y_88",0.0294543443517246
"38","c-38","Y_53","Y_76",0.0781621579371722
"39","c-39","Y_53","Y_76",0.0911699492073361
"40","c-40","Y_53","Y_76",0.105380975064379
"41","c-41","Y_53","Y_76",0.0550894117519595
"42","c-42","Y_53","Y_76",0.105380975064379
"43","c-43","Y_53","Y_88",0.394623397499938
"44","c-44","Y_53","Y_76",0.270379347894366
"45","c-45","Y_53","Y_76",0.270379347894366
"46","c-46","Y_53","Y_76",0.297155539272981
"47","c-47","Y_53","Y_76",0.297155539272981
"48","c-48","Y_53","Y_76",0.249127197663095
"49","c-49","Y_53","Y_76",0.270379347894366
"50","c-50","Y_53","Y_76",0.150584423517093
"51","c-51","Y_53","Y_76",0.270379347894366
"52","c-52","Y_53","Y_76",0.297155539272981
"53","c-53","Y_53","Y_76",0.280837462803891
"54","c-54","Y_53","Y_76",0.270379347894366
"55","c-55","Y_53","Y_76",0.297155539272981
"56","c-56","Y_53","Y_76",0.297155539272981
"57","c-57","Y_53","Y_76",0.260042593246386
"58","c-58","Y_53","Y_76",0.280837462803891
"59","c-59","Y_53","Y_76",0.260042593246386
"60","c-60","Y_53","Y_76",0.280837462803891
"61","c-61","Y_53","Y_76",0.38539572389114
"62","c-62","Y_53","Y_76",0.260042593246386
"63","c-63","Y_53","Y_76",0.414283585798576
"64","c-64","Y_53","Y_76",0.181187481294156
"65","c-65","Y_53","Y_88",0.158792856351943
"66","c-66","Y_53","Y_88",0.158792856351943
"67","c-67","Y_53","Y_76",0.181187481294156
"68","c-68","Y_53","Y_76",0.181187481294156
"69","c-69","Y_53","Y_76",0.181187481294156
"70","c-70","Y_53","Y_76",0.181187481294156
"71","c-71","Y_53","Y_76",0.181187481294156
"72","c-72","Y_53","Y_76",0.181187481294156
"73","c-73","Y_53","Y_76",0.181187481294156
"74","c-74","Y_53","Y_76",0.181187481294156
"75","c-75","Y_53","Y_88",0.158792856351943
"76","c-76","Y_53","Y_88",0.123094736529448
"77","c-77","Y_53","Y_76",0.401297754239561
"78","c-78","Y_53","Y_88",0.158792856351943
"79","c-79","Y_53","Y_88",0.329639660941783
"80","c-80","Y_53","Y_88",0.329639660941783
"81","c-81","Y_53","Y_76",0.249127197663095
"82","c-82","Y_53","Y_88",0.329639660941783
"83","c-83","Y_53","Y_88",0.158792856351943
"84","c-84","Y_53","Y_76",0.38539572389114
"85","c-85","Y_53","Y_76",0.352286008944248
"86","c-86","Y_53","Y_76",0.235607014338018
"87","c-87","Y_53","Y_76",0.713541838397511
"88","c-88","Y_53","Y_76",0.713541838397511
"89","c-89","Y_53","Y_76",0.713541838397511
"90","c-90","Y_53","Y_76",0.414283585798576
"91","c-91","Y_53","Y_76",0.401297754239561
"92","c-92","Y_53","Y_76",0.401297754239561
"93","c-93","Y_53","Y_76",0.427621069150633
"94","c-94","Y_53","Y_76",0.427621069150633
"95","c-95","Y_53","Y_76",0.594032262751622
"96","c-96","Y_53","Y_76",0.500729144156125
"97","c-97","Y_53","Y_76",0.57440203099712
"98","c-98","Y_53","Y_76",0.401297754239561
"99","c-99","Y_53","Y_76",0.414283585798576
"100","c-100","Y_53","Y_76",0.57440203099712
"101","c-101","Y_53","Y_76",0.427621069150633
"102","c-102","Y_53","Y_76",0.427621069150633
"103","c-103","Y_53","Y_76",0.427621069150633
"104","c-104","Y_53","Y_76",0.427621069150633
"105","c-105","Y_53","Y_76",0.427621069150633
"106","c-106","Y_53","Y_76",0.427621069150633
"107","c-107","Y_53","Y_76",0.481949516801834
"108","c-108","Y_53","Y_76",0.427621069150633
"109","c-109","Y_53","Y_76",0.444219568512647
"110","c-110","Y_53","Y_76",0.594032262751622
"111","c-111","Y_53","Y_76",0.556669072079087
"112","c-112","Y_53","Y_76",0.427621069150633
"113","c-113","Y_53","Y_76",0.427621069150633
"114","c-114","Y_53","Y_76",0.713541838397511
"115","c-115","Y_53","Y_76",0.713541838397511
"116","c-116","Y_53","Y_76",0.481949516801834
"117","c-117","Y_53","Y_76",0.427621069150633
"118","c-118","Y_53","Y_76",0.556669072079087
"119","c-119","Y_53","Y_76",0.427621069150633
"120","c-120","Y_53","Y_76",0.427621069150633
"121","c-121","Y_53","Y_76",0.427621069150633
"122","c-122","Y_53","Y_76",0.594032262751622
"123","c-123","Y_53","Y_76",0.57440203099712
"124","c-124","Y_53","Y_76",0.427621069150633
"125","c-125","Y_53","Y_76",0.427621069150633
"126","c-126","Y_53","Y_76",0.57440203099712
"127","c-127","Y_53","Y_76",0.427621069150633
"128","c-128","Y_53","Y_76",0.427621069150633
"129","c-129","Y_53","Y_76",0.401297754239561
"130","c-130","Y_53","Y_76",0.594032262751622
"131","c-131","Y_53","Y_76",0.57440203099712
"132","c-132","Y_53","Y_76",0.414283585798576
"133","c-133","Y_53","Y_76",0.427621069150633
"134","c-134","Y_53","Y_76",0.444219568512647
"135","c-135","Y_53","Y_76",0.537077257774263
"136","c-136","Y_53","Y_76",0.713541838397511
