"","cell_id","from","to","percentage"
"1","c-1","5","1",0.440056622028351
"2","c-2","5","1",0.373451381921768
"3","c-3","5","1",0.553707718849182
"4","c-4","5","1",0.353522151708603
"5","c-5","1","6",0.423525124788284
"6","c-6","1","6",0.470461696386337
"7","c-7","1","6",0.509863674640656
"8","c-8","1","6",0.518537223339081
"9","c-9","1","6",0.292796283960342
"10","c-10","1","6",0.267878502607346
"11","c-11","1","6",0.388263583183289
"12","c-12","1","6",0.578991234302521
"13","c-13","1","6",0.32392218708992
"14","c-14","1","6",0.402068227529526
"15","c-15","1","6",0.537968575954437
"16","c-16","1","6",0.499171644449234
"17","c-17","1","6",0.556244313716888
"18","c-18","1","6",0.419524222612381
"19","c-19","1","6",0.578787922859192
"20","c-20","1","6",0.329728841781616
"21","c-21","1","6",0.200689271092415
"22","c-22","1","6",0.471282869577408
"23","c-23","1","6",0
"24","c-24","1","6",0.463217437267303
"25","c-25","1","6",0.161554768681526
"26","c-26","1","6",0.49493408203125
"27","c-27","1","6",0.0162501018494368
"28","c-28","1","6",0.380930125713348
"29","c-29","1","6",0.34040179848671
"30","c-30","1","6",0.520582556724548
"31","c-31","1","6",0.559988379478455
"32","c-32","1","6",0.466190099716187
"33","c-33","1","6",0.523956954479218
"34","c-34","5","1",1
"35","c-35","1","6",0.414936810731888
"36","c-36","1","6",0.543644309043884
"37","c-37","1","6",0.5467249751091
"38","c-38","1","6",0.528382956981659
"39","c-39","1","6",0.562237501144409
"40","c-40","1","6",0.583820104598999
"41","c-41","1","6",0.52693372964859
"42","c-42","2","4",0.202908396720886
"43","c-43","4","6",0
"44","c-44","4","6",0.470239609479904
"45","c-45","4","6",0.62635749578476
"46","c-46","4","6",0.703336238861084
"47","c-47","4","6",0.426710069179535
"48","c-48","4","6",0.127214103937149
"49","c-49","4","6",0.702905416488647
"50","c-50","4","6",0.391109794378281
"51","c-51","4","6",0.30572322010994
"52","c-52","4","6",0.651618421077728
"53","c-53","4","6",0.568933606147766
"54","c-54","4","6",0.575182676315308
"55","c-55","4","6",0.568049609661102
"56","c-56","4","6",0.634990930557251
"57","c-57","4","6",0.307097971439362
"58","c-58","4","6",0.447454422712326
"59","c-59","4","6",0.170578896999359
"60","c-60","4","6",0.361488997936249
"61","c-61","4","6",0.566334128379822
"62","c-62","4","6",0.0361422970890999
"63","c-63","3","7",0.407129198312759
"64","c-64","6","3",0.791381537914276
"65","c-65","6","3",0.343744099140167
"66","c-66","6","3",0.0157000031322241
"67","c-67","6","3",0.779740333557129
"68","c-68","6","3",1
"69","c-69","6","3",0
"70","c-70","6","3",0.524906277656555
"71","c-71","6","3",0.81011825799942
"72","c-72","6","3",0.736038327217102
"73","c-73","6","3",0.263459920883179
"74","c-74","6","3",0.337513029575348
"75","c-75","6","3",0.319760948419571
"76","c-76","1","6",0.751219213008881
"77","c-77","3","7",0.506976783275604
"78","c-78","3","7",0.162077575922012
"79","c-79","2","4",0.175656661391258
"80","c-80","2","4",0.236852750182152
