"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_3",0
"2","c-2","Y_1","Y_3",0
"3","c-3","Y_1","Y_3",0
"4","c-4","Y_1","Y_3",0
"5","c-5","Y_3","Y_42",0
"6","c-6","Y_1","Y_3",1
"7","c-7","Y_1","Y_3",0
"8","c-8","Y_1","Y_3",0
"9","c-9","Y_3","Y_42",0
"10","c-10","Y_3","Y_26",0.0360941985053326
"11","c-11","Y_3","Y_42",0
"12","c-12","Y_3","Y_26",0.0360941985053326
"13","c-13","Y_3","Y_26",0.0360941985053326
"14","c-14","Y_1","Y_3",0
"15","c-15","Y_1","Y_3",0
"16","c-16","Y_1","Y_3",0
"17","c-17","Y_1","Y_3",0
"18","c-18","Y_3","Y_26",0.0360941985053326
"19","c-19","Y_3","Y_26",0.0360941985053326
"20","c-20","Y_3","Y_26",0.0360941985053326
"21","c-21","Y_17","Y_26",0.280008298519391
"22","c-22","Y_17","Y_26",0.335005758050688
"23","c-23","Y_17","Y_26",0.335005758050688
"24","c-24","Y_17","Y_26",0.335005758050688
"25","c-25","Y_17","Y_26",0.335005758050688
"26","c-26","Y_17","Y_26",0.335005758050688
"27","c-27","Y_17","Y_26",0.335005758050688
"28","c-28","Y_17","Y_26",0.280008298519391
"29","c-29","Y_17","Y_26",0.182791387606243
"30","c-30","Y_17","Y_26",0.182791387606243
"31","c-31","Y_17","Y_26",0.182791387606243
"32","c-32","Y_17","Y_26",0.182791387606243
"33","c-33","Y_17","Y_26",0.182791387606243
"34","c-34","Y_17","Y_26",0.182791387606243
"35","c-35","Y_17","Y_26",0.151904882992521
"36","c-36","Y_17","Y_26",0.11881214784063
"37","c-37","Y_17","Y_26",0.11881214784063
"38","c-38","Y_17","Y_26",0.11881214784063
"39","c-39","Y_17","Y_26",0.11881214784063
"40","c-40","Y_17","Y_26",0.151904882992521
"41","c-41","Y_17","Y_26",0
"42","c-42","Y_17","Y_26",0
"43","c-43","Y_17","Y_26",0
"44","c-44","Y_17","Y_26",0
"45","c-45","Y_17","Y_26",0
"46","c-46","Y_17","Y_26",0
"47","c-47","Y_17","Y_26",0
"48","c-48","Y_17","Y_26",0.374753606444032
"49","c-49","Y_17","Y_26",0.374753606444032
"50","c-50","Y_17","Y_26",0.374753606444032
"51","c-51","Y_17","Y_26",0.335005758050688
"52","c-52","Y_17","Y_26",0.374753606444032
"53","c-53","Y_17","Y_26",0.335005758050688
