"","cell_id","from","to","percentage"
"1","c-1","8","1",0.876155734062195
"2","c-2","8","1",0.870924234390259
"3","c-3","8","1",0.85493665933609
"4","c-4","8","1",0.829422950744629
"5","c-5","8","1",0.823348462581635
"6","c-6","8","1",0.694951891899109
"7","c-7","8","1",0.732860147953033
"8","c-8","8","1",0.74921315908432
"9","c-9","8","1",0.704404950141907
"10","c-10","8","1",0.775195002555847
"11","c-11","8","1",0.744909107685089
"12","c-12","8","1",0.804072916507721
"13","c-13","8","1",0.788439691066742
"14","c-14","8","1",0.852414488792419
"15","c-15","8","1",0.826666653156281
"16","c-16","8","1",0.887638688087463
"17","c-17","8","1",0.826680302619934
"18","c-18","8","1",0.715227127075195
"19","c-19","8","1",0.745929777622223
"20","c-20","8","1",0.712442219257355
"21","c-21","8","1",0.258855491876602
"22","c-22","8","1",0.297238975763321
"23","c-23","8","1",0.483940213918686
"24","c-24","8","1",0.252612382173538
"25","c-25","8","1",0.218079671263695
"26","c-26","8","1",0.238570809364319
"27","c-27","8","1",0.195922523736954
"28","c-28","8","1",0.252973079681396
"29","c-29","8","1",0.239935249090195
"30","c-30","8","1",0.320302486419678
"31","c-31","8","1",0.301623225212097
"32","c-32","8","1",0.408763140439987
"33","c-33","8","1",0.258013069629669
"34","c-34","8","1",0.267746895551682
"35","c-35","8","1",0.229074209928513
"36","c-36","8","1",0.16919432580471
"37","c-37","8","1",0.242790281772614
"38","c-38","8","1",0.30719593167305
"39","c-39","8","1",0.164290204644203
"40","c-40","8","1",0.216348916292191
"41","c-41","8","1",0.0756878405809402
"42","c-42","8","1",0.0059135933406651
"43","c-43","8","1",0.0901103094220161
"44","c-44","8","1",0.0141664231196046
"45","c-45","8","1",0.0163509603589773
"46","c-46","8","1",0.0406287983059883
"47","c-47","8","1",0
"48","c-48","8","1",0.484463751316071
"49","c-49","8","1",0.376704901456833
"50","c-50","8","1",0.341467887163162
"51","c-51","8","1",0.32278573513031
"52","c-52","8","1",0.287383466959
"53","c-53","8","1",0.333654373884201
"54","c-54","8","1",0.341420918703079
"55","c-55","8","1",0.376205176115036
"56","c-56","8","1",0.475219488143921
"57","c-57","8","1",0.485799968242645
"58","c-58","8","1",0.544601857662201
"59","c-59","8","1",0.497962325811386
"60","c-60","8","1",0.496843457221985
"61","c-61","8","1",0.504107654094696
"62","c-62","8","1",0.445452123880386
"63","c-63","8","1",0.39078363776207
"64","c-64","8","1",0.481252282857895
"65","c-65","8","1",0.354075491428375
"66","c-66","8","1",0.612514078617096
"67","c-67","8","1",0.556975543498993
"68","c-68","8","1",0.598328113555908
"69","c-69","8","1",0.539436161518097
"70","c-70","8","1",0.541700541973114
"71","c-71","8","1",0.544086933135986
"72","c-72","8","1",0.505239546298981
"73","c-73","8","1",0.395141839981079
"74","c-74","8","1",0.425095796585083
"75","c-75","8","1",0.356109410524368
"76","c-76","9","11",0.379226177930832
"77","c-77","9","11",0.0207979548722506
"78","c-78","9","11",0.188009709119797
"79","c-79","9","11",0
"80","c-80","9","11",0.274328231811523
"81","c-81","1","9",0.562523484230042
"82","c-82","1","9",0.689489245414734
"83","c-83","1","9",0.290094822645187
"84","c-84","1","9",0.765642046928406
"85","c-85","8","1",1
"86","c-86","1","9",0
"87","c-87","1","9",0.637298345565796
"88","c-88","1","9",0.635069191455841
"89","c-89","1","9",0.600818514823914
"90","c-90","9","11",0.334547370672226
"91","c-91","9","11",0.396108746528625
"92","c-92","9","11",0.367791444063187
"93","c-93","9","11",0.390709728002548
"94","c-94","9","11",0.444614142179489
"95","c-95","9","11",0.417257577180862
"96","c-96","9","11",0.34856715798378
"97","c-97","9","11",0.44534906744957
"98","c-98","1","9",0.77416205406189
"99","c-99","1","9",0.94757217168808
"100","c-100","1","9",0.890683650970459
"101","c-101","1","9",0.833355247974396
"102","c-102","1","9",0.909011423587799
"103","c-103","8","1",0.868227958679199
"104","c-104","1","9",0.930738687515259
"105","c-105","1","9",0.911126136779785
"106","c-106","1","9",0.887928247451782
"107","c-107","8","1",0.851256668567657
"108","c-108","1","9",0.911432087421417
"109","c-109","1","9",0.881644666194916
"110","c-110","1","9",0.918193340301514
"111","c-111","1","9",0.90887439250946
"112","c-112","1","9",0.697053551673889
"113","c-113","1","9",0.660673558712006
"114","c-114","1","9",0.641431272029877
"115","c-115","1","9",0.61381983757019
"116","c-116","1","9",0.768859088420868
"117","c-117","1","9",0.735602200031281
"118","c-118","1","9",0.652945339679718
"119","c-119","1","9",0.652797162532806
"120","c-120","1","9",0.643835961818695
"121","c-121","1","9",0.996318995952606
"122","c-122","1","9",0.977663516998291
"123","c-123","1","9",0.992636382579803
"124","c-124","1","9",0.971556186676025
"125","c-125","1","9",0.975936889648438
"126","c-126","1","9",0.972090363502502
"127","c-127","1","9",1
"128","c-128","1","9",0.996329724788666
"129","c-129","1","9",0.971969068050385
"130","c-130","1","9",0.964256167411804
"131","c-131","1","9",0.988239407539368
"132","c-132","1","9",0.964460909366608
"133","c-133","1","9",0.962026357650757
"134","c-134","1","9",0.952957272529602
"135","c-135","1","9",0.978071451187134
