"","cell_id","from","to","percentage"
"1","c-1","Y_106","Y_144",1
"2","c-2","Y_233","Y_254",0.431942351082796
"3","c-3","Y_123","Y_255",0.428342715703762
"4","c-4","Y_130","Y_223",0.318529858206642
"5","c-5","Y_196","Y_218",0.49757446948762
"6","c-6","Y_129","Y_150",1
"7","c-7","Y_129","Y_171",0.482334381192361
"8","c-8","Y_123","Y_255",0.558076690411658
"9","c-9","Y_129","Y_171",0.482334381192361
"10","c-10","Y_213","Y_218",0.0936916971754416
"11","c-11","Y_130","Y_228",0.305071206673509
"12","c-12","Y_197","Y_228",0.546450180759379
"13","c-13","Y_114","Y_233",0.268704945942732
"14","c-14","Y_108","Y_130",0.673065941561336
"15","c-15","Y_171","Y_218",0.798341195220673
"16","c-16","Y_182","Y_233",0.09283269522696
"17","c-17","Y_106","Y_144",0.688315172127746
"18","c-18","Y_213","Y_218",0
"19","c-19","Y_106","Y_144",1
"20","c-20","Y_213","Y_218",0.267641153823685
"21","c-21","Y_108","Y_130",0.309938060977258
"22","c-22","Y_196","Y_260",1
"23","c-23","Y_130","Y_228",0.808040796836528
"24","c-24","Y_123","Y_255",0.558076690411658
"25","c-25","Y_106","Y_144",0.329048454785918
"26","c-26","Y_157","Y_260",0
"27","c-27","Y_139","Y_196",1
"28","c-28","Y_130","Y_228",0.700928334623517
"29","c-29","Y_123","Y_255",0.428342715703762
"30","c-30","Y_171","Y_220",0.209413005056547
"31","c-31","Y_182","Y_233",0.222582637725296
"32","c-32","Y_196","Y_218",0.779983601632737
"33","c-33","Y_123","Y_255",0.903791744869795
"34","c-34","Y_123","Y_255",0.492151044835796
"35","c-35","Y_196","Y_218",0.779983601632737
"36","c-36","Y_108","Y_130",0.673065941561336
"37","c-37","Y_123","Y_255",0.294910217436925
"38","c-38","Y_129","Y_150",1
"39","c-39","Y_129","Y_171",0.256838890455423
"40","c-40","Y_213","Y_218",0.437707507635534
"41","c-41","Y_130","Y_228",0.700928334623517
"42","c-42","Y_106","Y_175",0.290144046992196
"43","c-43","Y_157","Y_260",0.8445128231383
"44","c-44","Y_129","Y_150",1
"45","c-45","Y_106","Y_144",0.329048454785918
"46","c-46","Y_129","Y_228",0.263829745870582
"47","c-47","Y_157","Y_213",0.121545353685901
"48","c-48","Y_182","Y_233",0.09283269522696
"49","c-49","Y_197","Y_228",0.720862558009076
"50","c-50","Y_207","Y_223",0
"51","c-51","Y_129","Y_171",0.124356218729499
"52","c-52","Y_129","Y_171",0.59503864669421
"53","c-53","Y_196","Y_218",0.313140022293738
"54","c-54","Y_123","Y_255",0.674399312209016
"55","c-55","Y_123","Y_255",0.949069887645621
"56","c-56","Y_130","Y_228",0.700928334623517
"57","c-57","Y_123","Y_255",1
"58","c-58","Y_123","Y_255",0.21379646082496
"59","c-59","Y_171","Y_218",0
"60","c-60","Y_106","Y_144",0.688315172127746
"61","c-61","Y_171","Y_220",0.410777781456496
"62","c-62","Y_213","Y_218",0.437707507635534
"63","c-63","Y_130","Y_228",0.808040796836528
"64","c-64","Y_106","Y_144",1
"65","c-65","Y_213","Y_218",0.0936916971754416
"66","c-66","Y_213","Y_218",0.0936916971754416
"67","c-67","Y_139","Y_220",0.58900826345721
"68","c-68","Y_130","Y_228",1
"69","c-69","Y_139","Y_220",0.58900826345721
"70","c-70","Y_157","Y_260",0.306125261133173
"71","c-71","Y_114","Y_220",0.458303393311252
"72","c-72","Y_139","Y_196",0.551724758702333
"73","c-73","Y_106","Y_144",0.688315172127746
"74","c-74","Y_106","Y_213",0
"75","c-75","Y_114","Y_233",0.7749148239046
"76","c-76","Y_130","Y_223",0.63763038498474
"77","c-77","Y_171","Y_220",0
"78","c-78","Y_182","Y_223",1
"79","c-79","Y_106","Y_144",1
"80","c-80","Y_114","Y_220",0.174246572652934
"81","c-81","Y_123","Y_255",0.617875439211028
"82","c-82","Y_130","Y_228",0.520221913432997
"83","c-83","Y_196","Y_218",0.313140022293738
"84","c-84","Y_130","Y_228",0.520221913432997
"85","c-85","Y_207","Y_223",0
"86","c-86","Y_196","Y_218",0.313140022293738
"87","c-87","Y_129","Y_171",0.59503864669421
"88","c-88","Y_196","Y_218",0.313140022293738
"89","c-89","Y_171","Y_218",0.362252588679968
"90","c-90","Y_129","Y_171",0.482334381192361
"91","c-91","Y_114","Y_233",0.512593192791759
"92","c-92","Y_123","Y_254",0.624857377010008
"93","c-93","Y_157","Y_213",0.881665280753219
"94","c-94","Y_182","Y_223",0
"95","c-95","Y_129","Y_228",0.553248918691186
"96","c-96","Y_213","Y_218",0.934236786255943
"97","c-97","Y_106","Y_144",0.688315172127746
"98","c-98","Y_123","Y_255",0.492151044835796
"99","c-99","Y_129","Y_150",1
"100","c-100","Y_182","Y_233",0.222582637725296
"101","c-101","Y_106","Y_144",0.156935191845891
"102","c-102","Y_129","Y_150",1
"103","c-103","Y_123","Y_255",0.844383750573183
"104","c-104","Y_123","Y_255",0.558076690411658
"105","c-105","Y_106","Y_144",0.831950510721337
"106","c-106","Y_129","Y_171",0.124356218729499
"107","c-107","Y_129","Y_171",0.482334381192361
"108","c-108","Y_129","Y_171",0.256838890455423
"109","c-109","Y_106","Y_213",0.518673467811884
"110","c-110","Y_213","Y_218",0.437707507635534
"111","c-111","Y_114","Y_220",0.312697223194017
"112","c-112","Y_106","Y_144",0.831950510721337
"113","c-113","Y_129","Y_171",1
"114","c-114","Y_196","Y_218",1
"115","c-115","Y_123","Y_255",0.674399312209016
"116","c-116","Y_196","Y_218",0.313140022293738
"117","c-117","Y_123","Y_255",0.428342715703762
"118","c-118","Y_207","Y_223",0
"119","c-119","Y_130","Y_228",0.808040796836528
"120","c-120","Y_182","Y_197",0.462450927000546
"121","c-121","Y_108","Y_130",0
"122","c-122","Y_106","Y_144",0.928223418197671
"123","c-123","Y_129","Y_150",1
"124","c-124","Y_123","Y_254",0.288886675217715
"125","c-125","Y_197","Y_228",0.211513601500837
"126","c-126","Y_106","Y_213",0
"127","c-127","Y_129","Y_228",0.553248918691186
"128","c-128","Y_213","Y_218",0.0936916971754416
"129","c-129","Y_171","Y_218",0.584202465148045
"130","c-130","Y_106","Y_144",1
"131","c-131","Y_123","Y_255",0.949069887645621
"132","c-132","Y_213","Y_218",0.716115158038165
"133","c-133","Y_213","Y_218",0.183004313914675
"134","c-134","Y_129","Y_171",0.730622180444434
"135","c-135","Y_123","Y_255",0.844383750573183
"136","c-136","Y_139","Y_196",0.551724758702333
"137","c-137","Y_213","Y_218",0.716115158038165
"138","c-138","Y_157","Y_260",0.654084297523007
"139","c-139","Y_213","Y_218",0
"140","c-140","Y_129","Y_171",0.482334381192361
"141","c-141","Y_139","Y_196",1
"142","c-142","Y_106","Y_213",0.518673467811884
"143","c-143","Y_157","Y_260",0.8445128231383
"144","c-144","Y_182","Y_197",0
"145","c-145","Y_207","Y_223",0.360127548724522
"146","c-146","Y_207","Y_223",0
"147","c-147","Y_139","Y_220",0.325227156378401
"148","c-148","Y_213","Y_218",0.716115158038165
"149","c-149","Y_123","Y_255",0.294910217436925
"150","c-150","Y_123","Y_255",0.674399312209016
"151","c-151","Y_207","Y_223",0
"152","c-152","Y_114","Y_220",0.599305621968867
"153","c-153","Y_171","Y_218",0.584202465148045
"154","c-154","Y_182","Y_233",0.222582637725296
"155","c-155","Y_123","Y_255",0.363684457031275
"156","c-156","Y_123","Y_255",1
"157","c-157","Y_129","Y_171",0.256838890455423
"158","c-158","Y_123","Y_255",1
"159","c-159","Y_123","Y_254",1
"160","c-160","Y_123","Y_255",0.949069887645621
"161","c-161","Y_213","Y_218",0.716115158038165
"162","c-162","Y_123","Y_255",0.617875439211028
"163","c-163","Y_157","Y_213",0.590788994819684
"164","c-164","Y_130","Y_228",0.700928334623517
"165","c-165","Y_123","Y_255",0.558076690411658
"166","c-166","Y_197","Y_228",0.211513601500837
"167","c-167","Y_129","Y_150",0.494846244905878
"168","c-168","Y_196","Y_218",0.313140022293738
"169","c-169","Y_207","Y_223",0
"170","c-170","Y_171","Y_220",0.825152423468972
"171","c-171","Y_139","Y_196",0.785416776527526
"172","c-172","Y_207","Y_223",0
"173","c-173","Y_106","Y_144",0.957968404792293
"174","c-174","Y_108","Y_130",1
"175","c-175","Y_123","Y_255",0.492151044835796
"176","c-176","Y_182","Y_197",0.714144647194678
"177","c-177","Y_213","Y_218",0.542081540751294
"178","c-178","Y_182","Y_197",0.462450927000546
"179","c-179","Y_123","Y_254",0.624857377010008
"180","c-180","Y_213","Y_218",0.0936916971754416
"181","c-181","Y_129","Y_228",0.553248918691186
"182","c-182","Y_106","Y_144",1
"183","c-183","Y_171","Y_218",0.184998725094018
"184","c-184","Y_130","Y_228",0.808040796836528
"185","c-185","Y_182","Y_197",0.462450927000546
"186","c-186","Y_196","Y_218",0.49757446948762
"187","c-187","Y_108","Y_130",0
"188","c-188","Y_182","Y_197",0.840957942336266
"189","c-189","Y_106","Y_213",0.303847815019026
"190","c-190","Y_197","Y_228",0.400078292470627
"191","c-191","Y_129","Y_171",0.124356218729499
"192","c-192","Y_106","Y_144",1
"193","c-193","Y_123","Y_254",0.624857377010008
"194","c-194","Y_171","Y_220",0.715229880732369
"195","c-195","Y_157","Y_260",0.462026923838159
"196","c-196","Y_207","Y_223",0
"197","c-197","Y_171","Y_218",0
"198","c-198","Y_129","Y_150",0.494846244905878
"199","c-199","Y_106","Y_213",0.905469615238259
"200","c-200","Y_130","Y_228",0.520221913432997
"201","c-201","Y_139","Y_196",0.785416776527526
"202","c-202","Y_139","Y_196",0.785416776527526
"203","c-203","Y_106","Y_175",0.290144046992196
"204","c-204","Y_197","Y_228",0.546450180759379
"205","c-205","Y_207","Y_223",0
"206","c-206","Y_207","Y_223",0.360127548724522
"207","c-207","Y_197","Y_228",0.546450180759379
"208","c-208","Y_157","Y_213",0.881665280753219
"209","c-209","Y_129","Y_150",1
"210","c-210","Y_196","Y_218",0.89947498587485
"211","c-211","Y_171","Y_220",0.338841607222196
"212","c-212","Y_130","Y_228",0.911641613529543
"213","c-213","Y_123","Y_255",0.21379646082496
"214","c-214","Y_129","Y_228",0.794952238985921
"215","c-215","Y_129","Y_150",1
"216","c-216","Y_106","Y_213",0.182442160926593
"217","c-217","Y_213","Y_218",0.934236786255943
"218","c-218","Y_129","Y_171",0.124356218729499
"219","c-219","Y_123","Y_255",0.617875439211028
"220","c-220","Y_106","Y_213",0.303847815019026
"221","c-221","Y_207","Y_223",0
"222","c-222","Y_123","Y_255",0.492151044835796
"223","c-223","Y_157","Y_260",0.462026923838159
"224","c-224","Y_129","Y_171",0.372159344080947
"225","c-225","Y_123","Y_255",0.674399312209016
"226","c-226","Y_106","Y_144",0.329048454785918
"227","c-227","Y_196","Y_218",0.49757446948762
"228","c-228","Y_182","Y_223",0.499747121604996
"229","c-229","Y_130","Y_228",0.911641613529543
"230","c-230","Y_123","Y_175",0
"231","c-231","Y_171","Y_218",0
"232","c-232","Y_157","Y_175",1
"233","c-233","Y_171","Y_220",0.209413005056547
"234","c-234","Y_213","Y_218",0.0936916971754416
"235","c-235","Y_157","Y_213",0.746519978325594
"236","c-236","Y_196","Y_218",0.89947498587485
"237","c-237","Y_130","Y_228",0.808040796836528
"238","c-238","Y_182","Y_233",0.854369658086993
"239","c-239","Y_106","Y_144",1
"240","c-240","Y_106","Y_144",0.831950510721337
"241","c-241","Y_129","Y_171",0.730622180444434
"242","c-242","Y_233","Y_254",0.167609497904338
"243","c-243","Y_196","Y_218",0.49757446948762
"244","c-244","Y_129","Y_171",0.256838890455423
"245","c-245","Y_196","Y_218",0.161996104703072
"246","c-246","Y_123","Y_255",1
"247","c-247","Y_182","Y_197",0.165214978234125
"248","c-248","Y_114","Y_233",0.7749148239046
"249","c-249","Y_114","Y_233",0.7749148239046
"250","c-250","Y_130","Y_228",0
"251","c-251","Y_123","Y_255",0.492151044835796
"252","c-252","Y_182","Y_223",0.276594985277912
"253","c-253","Y_171","Y_220",0.825152423468972
"254","c-254","Y_106","Y_144",0.831950510721337
"255","c-255","Y_106","Y_144",1
"256","c-256","Y_114","Y_220",0.312697223194017
"257","c-257","Y_123","Y_255",0.72007932325588
"258","c-258","Y_129","Y_171",0.59503864669421
"259","c-259","Y_114","Y_233",1
"260","c-260","Y_129","Y_171",0.482334381192361
"261","c-261","Y_114","Y_220",0.599305621968867
"262","c-262","Y_130","Y_228",0.609259149279025
"263","c-263","Y_171","Y_218",0.184998725094018
"264","c-264","Y_106","Y_144",0.592892011022985
"265","c-265","Y_123","Y_255",0.363684457031275
"266","c-266","Y_123","Y_255",0.428342715703762
"267","c-267","Y_123","Y_255",0.428342715703762
"268","c-268","Y_129","Y_150",1
"269","c-269","Y_171","Y_218",0.362252588679968
"270","c-270","Y_106","Y_175",0.290144046992196
"271","c-271","Y_106","Y_144",0.876773193497715
