"","cell_id","from","to","percentage"
"1","c-1","8","7",0.49272158741951
"2","c-2","7","1",0.556787133216858
"3","c-3","6","10",0.129300937056541
"4","c-4","1","10",0.192496225237846
"5","c-5","7","1",0.714505910873413
"6","c-6","6","10",0.1775191873312
"7","c-7","1","10",0.135788142681122
"8","c-8","6","10",0.0335742309689522
"9","c-9","1","10",0.0827228203415871
"10","c-10","1","10",0.138541147112846
"11","c-11","1","10",0.123473450541496
"12","c-12","1","10",0.0648771971464157
"13","c-13","1","10",0.166888028383255
"14","c-14","1","10",0.277411580085754
"15","c-15","1","10",0.0468832291662693
"16","c-16","1","10",0.135210692882538
"17","c-17","8","7",0.618248879909515
"18","c-18","7","1",0.369759321212769
"19","c-19","8","7",0.138918101787567
"20","c-20","7","1",0.209853157401085
"21","c-21","1","10",0.0745883136987686
"22","c-22","1","10",0.0410552322864532
"23","c-23","1","10",0.189321473240852
"24","c-24","6","10",0.0646282359957695
"25","c-25","8","7",0.611937582492828
"26","c-26","6","10",0.0382980369031429
"27","c-27","7","1",0.195272177457809
"28","c-28","1","10",0.144092231988907
"29","c-29","6","10",0.0318465046584606
"30","c-30","1","10",0.0208088848739862
"31","c-31","1","10",0.00940493866801262
"32","c-32","7","1",0.599341988563538
"33","c-33","6","10",0.0949208661913872
"34","c-34","6","10",0.140099257230759
"35","c-35","1","10",0.214304104447365
"36","c-36","1","10",0.0198097806423903
"37","c-37","6","10",0.0907848700881004
"38","c-38","10","13",0.639477252960205
"39","c-39","1","10",0.185249328613281
"40","c-40","10","13",0.772741675376892
"41","c-41","1","10",0.0815757140517235
"42","c-42","6","10",0.0332141220569611
"43","c-43","7","1",0.154544040560722
"44","c-44","1","10",0.236777037382126
"45","c-45","8","7",0.697785198688507
"46","c-46","1","10",0.158354714512825
"47","c-47","6","10",0.0499369911849499
"48","c-48","1","10",0.0810020491480827
"49","c-49","1","10",0.252272069454193
"50","c-50","1","10",0.140486687421799
"51","c-51","1","10",0.195496320724487
"52","c-52","7","1",0.504716157913208
"53","c-53","1","10",0.0725011751055717
"54","c-54","6","10",0.105900131165981
"55","c-55","6","10",0.142629414796829
"56","c-56","1","10",0.0502930507063866
"57","c-57","8","7",0.594263195991516
"58","c-58","6","10",0.0838451534509659
