"","cell_id","from","to","percentage"
"1","c-1","1","2",0
"2","c-2","1","2",0.659677659717708
"3","c-3","1","3",0.0180165347302059
"4","c-4","2","4",0.105727252264855
"5","c-5","1","2",0.59670935660794
"6","c-6","1","2",0.986857873676503
"7","c-7","1","2",0.941252394282836
"8","c-8","1","2",0.368670781619479
"9","c-9","1","2",0.944073703761249
"10","c-10","1","2",0.844808802949002
"11","c-11","2","4",0.0946347864120303
"12","c-12","2","4",0.016600904778818
"13","c-13","2","4",0.0740547421591233
"14","c-14","2","4",0.0629993451362111
"15","c-15","1","2",0.852539176117345
"16","c-16","2","4",0.0569497088253667
"17","c-17","1","3",0.0691375125096552
"18","c-18","1","2",0.44679052981502
"19","c-19","1","2",0
"20","c-20","1","2",0.203810221776355
"21","c-21","2","4",0.125856292517704
"22","c-22","1","2",0.760468112217636
"23","c-23","2","4",0.0689065685758814
"24","c-24","1","2",0.499505879186274
"25","c-25","1","3",0.0466000322953066
"26","c-26","1","3",0.135096954498703
"27","c-27","1","2",0.871403955557862
"28","c-28","2","4",0.0454996075200227
"29","c-29","1","3",0.111271633915512
"30","c-30","2","4",0.00131499985237425
"31","c-31","2","4",0.0244959106240115
"32","c-32","1","2",0.898180434147233
"33","c-33","1","3",0.0536366054564978
"34","c-34","1","3",0.0864495238003282
"35","c-35","1","2",0.811230563008407
"36","c-36","2","4",0.0906542939816249
"37","c-37","1","3",0.0690333380009318
"38","c-38","2","4",0.0158697954998971
"39","c-39","1","2",0.912144715643377
"40","c-40","2","4",0.107127357023631
"41","c-41","2","4",0.0686950224766071
"42","c-42","1","3",0.0812210262951947
"43","c-43","1","2",0.4938436713645
"44","c-44","2","4",0.0155646901087139
"45","c-45","1","2",0
"46","c-46","2","4",0.0373219557900389
"47","c-47","1","2",0.62275840906474
"48","c-48","2","4",0.0365890184988591
"49","c-49","2","4",0.00961176119913978
"50","c-50","2","4",0.226819019599412
"51","c-51","1","2",0.99155027194971
"52","c-52","1","2",0.976134266653326
"53","c-53","1","2",0.68416037402491
"54","c-54","1","2",0.152466356189619
"55","c-55","1","2",0
"56","c-56","2","4",0.0692993851576349
"57","c-57","1","2",0
"58","c-58","1","2",0.480860002962535
"59","c-59","1","2",0.949924422991222
"60","c-60","1","2",0
"61","c-61","1","2",0.923250313291961
"62","c-62","2","4",0.0356325842353639
"63","c-63","2","4",0.0349579807683221
