"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_2",0
"2","c-2","Y_2","Y_28",0.655016703019153
"3","c-3","Y_24","Y_60",0
"4","c-4","Y_24","Y_60",0.972334677700212
"5","c-5","Y_2","Y_28",0.815358468529829
"6","c-6","Y_24","Y_60",0.426246232710506
"7","c-7","Y_24","Y_60",0.426246232710506
"8","c-8","Y_24","Y_60",0
"9","c-9","Y_24","Y_60",0.363226379498415
"10","c-10","Y_24","Y_60",0.363226379498415
"11","c-11","Y_68","Y_71",0
"12","c-12","Y_2","Y_60",1
"13","c-13","Y_2","Y_28",0.365934128355885
"14","c-14","Y_24","Y_60",0.642722578504931
"15","c-15","Y_24","Y_60",0.921886557360821
"16","c-16","Y_24","Y_60",0
"17","c-17","Y_51","Y_60",0
"18","c-18","Y_24","Y_60",0.363226379498415
"19","c-19","Y_2","Y_60",0.684420425489258
"20","c-20","Y_24","Y_60",0
"21","c-21","Y_2","Y_60",0.366090245526573
"22","c-22","Y_24","Y_60",0
"23","c-23","Y_24","Y_60",0
"24","c-24","Y_24","Y_60",0.247185874487832
"25","c-25","Y_24","Y_60",0.322908193615866
"26","c-26","Y_24","Y_60",0.570217934391147
"27","c-27","Y_24","Y_60",0.426246232710506
"28","c-28","Y_24","Y_60",0.94279862731677
"29","c-29","Y_68","Y_71",0
"30","c-30","Y_24","Y_60",0.921886557360821
"31","c-31","Y_2","Y_28",0.910610161565028
"32","c-32","Y_24","Y_60",0
"33","c-33","Y_24","Y_60",0.570217934391147
"34","c-34","Y_24","Y_60",0.642722578504931
"35","c-35","Y_24","Y_60",0.671857572779899
"36","c-36","Y_2","Y_28",0.313828172786877
"37","c-37","Y_1","Y_2",0
"38","c-38","Y_24","Y_60",0.223362206702954
"39","c-39","Y_24","Y_60",0.570217934391147
"40","c-40","Y_24","Y_60",0.322908193615866
"41","c-41","Y_24","Y_60",0
"42","c-42","Y_24","Y_60",0.545817817400671
"43","c-43","Y_24","Y_60",0.247185874487832
"44","c-44","Y_24","Y_60",0
"45","c-45","Y_24","Y_60",0
"46","c-46","Y_2","Y_28",0.948738854351965
"47","c-47","Y_2","Y_60",0.684420425489257
