"","cell_id","from","to","percentage"
"1","c-1","2","1",0.810295502628524
"2","c-2","5","2",0.993686685023187
"3","c-3","4","3",1
"4","c-4","1","4",0.0973144086681496
"5","c-5","5","2",0.874268543015557
"6","c-6","4","3",0.0792452058606543
"7","c-7","4","3",0.124254828435239
"8","c-8","4","3",1
"9","c-9","4","3",0.194611725776303
"10","c-10","4","3",0.0155216748531003
"11","c-11","5","2",0.189278586418092
"12","c-12","1","4",0.0540910047505542
"13","c-13","2","1",0.430577873806732
"14","c-14","1","4",0.677880303410036
"15","c-15","1","4",0.288416765881286
"16","c-16","4","3",1
"17","c-17","2","1",0.924113353386078
"18","c-18","4","3",0.129235411997364
"19","c-19","2","1",0.830432135365149
"20","c-20","4","3",1
"21","c-21","2","1",0.766162790676574
"22","c-22","4","3",1
"23","c-23","4","3",0.981933855443604
"24","c-24","4","3",0.332871187666126
"25","c-25","1","4",0.992480034652186
"26","c-26","1","4",0.899955198285977
"27","c-27","4","3",0.081807608645244
"28","c-28","1","4",0.123574736671663
"29","c-29","5","2",0.268637886489893
"30","c-30","1","4",0.324630154168776
"31","c-31","5","2",0.726389590741191
"32","c-32","4","3",1
"33","c-33","1","4",0.872389222823863
"34","c-34","1","4",0.676588446055003
"35","c-35","1","4",0.718929810590818
"36","c-36","2","1",0.487120906317627
"37","c-37","2","1",0.826170261540467
"38","c-38","4","3",0.638365831476025
"39","c-39","1","4",0.856810185667651
"40","c-40","4","3",0.0761782198494966
"41","c-41","4","3",1
"42","c-42","1","4",0.932413302519978
"43","c-43","4","3",0.249562323098282
"44","c-44","4","3",1
"45","c-45","4","3",1
"46","c-46","5","2",0.682403121850992
"47","c-47","2","1",0.872007075773639
"48","c-48","5","2",0.483897590898839
"49","c-49","4","3",0.792106593157624
"50","c-50","4","3",1
"51","c-51","1","4",0.807554586462409
"52","c-52","5","2",0
"53","c-53","5","2",0.704614643600994
"54","c-54","4","3",1
"55","c-55","2","1",0.295809278013329
"56","c-56","4","3",0.179284569146068
"57","c-57","4","3",0.204872246285397
"58","c-58","2","1",0.474981474405431
"59","c-59","2","1",0.240024954533769
"60","c-60","4","3",1
"61","c-61","4","3",1
"62","c-62","5","2",0.879610755199475
"63","c-63","4","3",0.636571277866091
"64","c-64","4","3",0.220665402125258
"65","c-65","4","3",0.375106565580959
"66","c-66","2","1",0.953299389181519
"67","c-67","2","1",0.0541006353484227
"68","c-68","2","1",0.509652748371772
"69","c-69","1","4",0.150848195846233
"70","c-70","4","3",1
"71","c-71","1","4",0.112477013062429
"72","c-72","4","3",1
"73","c-73","4","3",1
"74","c-74","2","1",0.577053364812317
"75","c-75","5","2",0.881212106289839
"76","c-76","1","4",0.571263907442582
"77","c-77","5","2",0
"78","c-78","4","3",1
"79","c-79","4","3",0.490258665336642
"80","c-80","2","1",0.594931794323178
"81","c-81","1","4",0.886592614281969
"82","c-82","1","4",0.477792934715077
"83","c-83","1","4",0.244941225868238
"84","c-84","4","3",0.877822193466274
"85","c-85","1","4",0.889127665826196
"86","c-86","1","4",0.0308431098674482
"87","c-87","1","4",0.849192219693843
"88","c-88","4","3",1
"89","c-89","4","3",1
"90","c-90","2","1",0.861645126722405
"91","c-91","4","3",1
"92","c-92","2","1",0.653762180518017
"93","c-93","4","3",0.297368760297807
"94","c-94","5","2",0.946598683463823
"95","c-95","4","3",0.0755946455182716
"96","c-96","4","3",1
"97","c-97","2","1",0.102441142635548
"98","c-98","1","4",0.804290292974465
"99","c-99","4","3",0.150537540697429
"100","c-100","5","2",0.25360177553462
"101","c-101","4","3",0.0901114765886455
"102","c-102","4","3",0.492021230631699
"103","c-103","1","4",0.92949751226506
"104","c-104","1","4",0.442053466096696
"105","c-105","4","3",0.177548032777902
"106","c-106","1","4",0.587660530093782
"107","c-107","4","3",0.0612441655401131
"108","c-108","5","2",0.846686672908766
"109","c-109","4","3",0.073329400141577
"110","c-110","4","3",0.0779621993282807
"111","c-111","4","3",0.533624789161828
"112","c-112","4","3",0.342779256104627
"113","c-113","2","1",0.0172361311780006
"114","c-114","1","4",0.954876746712949
"115","c-115","4","3",1
"116","c-116","1","4",0.732454635368683
"117","c-117","2","1",0.59961632416911
"118","c-118","2","1",0.773632713161557
"119","c-119","1","4",0.226431173604583
"120","c-120","1","4",0.0138030262503755
"121","c-121","4","3",0.718817144053663
"122","c-122","4","3",0.142392851682008
"123","c-123","1","4",0.114399200121177
"124","c-124","4","3",0.670008657507669
"125","c-125","4","3",0.0367900293252159
"126","c-126","4","3",1
"127","c-127","4","3",0.00208600745712272
"128","c-128","4","3",0.183806150132697
"129","c-129","5","2",0.903885396083006
"130","c-130","2","1",0.228582757683554
"131","c-131","4","3",0.488560806877237
"132","c-132","1","4",0.1418632386857
"133","c-133","4","3",1
"134","c-134","4","3",1
"135","c-135","1","4",0.890001759945115
"136","c-136","2","1",0.287318708775091
"137","c-137","4","3",0.153998876274666
"138","c-138","1","4",0.925814463169686
"139","c-139","1","4",0.599609902746909
"140","c-140","5","2",0.244056135744977
"141","c-141","1","4",0.821025890209131
"142","c-142","1","4",0.880426984989239
"143","c-143","1","4",0.204313917721694
"144","c-144","4","3",1
"145","c-145","1","4",0.762632899968274
"146","c-146","4","3",1
"147","c-147","1","4",0.506252829250333
"148","c-148","1","4",0.0821822401438659
"149","c-149","4","3",0.460390363454358
"150","c-150","4","3",1
"151","c-151","5","2",0.798516542776542
"152","c-152","1","4",0.756073304288424
"153","c-153","1","4",0.598537087717141
"154","c-154","1","4",0.101978290746463
"155","c-155","4","3",1
"156","c-156","1","4",0.092907144292393
"157","c-157","4","3",0.256144180399613
"158","c-158","2","1",0.987930400771902
"159","c-159","1","4",0.767845070857135
"160","c-160","4","3",1
"161","c-161","1","4",0.216443167048317
"162","c-162","1","4",0.688530985617365
"163","c-163","2","1",0.256490563234004
"164","c-164","2","1",0.649456725743771
"165","c-165","1","4",0.133710992600042
"166","c-166","1","4",0.813367851179569
"167","c-167","2","1",0.0316056890297249
"168","c-168","1","4",0.911702464799775
"169","c-169","4","3",0.234309752755712
"170","c-170","1","4",0.17395971411894
"171","c-171","2","1",0.545302388458503
"172","c-172","4","3",1
"173","c-173","4","3",0.670069188752312
"174","c-174","2","1",0.82482407104931
"175","c-175","1","4",0.929085084659789
"176","c-176","4","3",0.117139638952848
"177","c-177","5","2",0.809274463376779
"178","c-178","4","3",1
"179","c-179","4","3",0.722621727085959
"180","c-180","4","3",0.138338317918746
"181","c-181","4","3",1
"182","c-182","1","4",0.733287940315512
"183","c-183","2","1",0.675152325664204
"184","c-184","5","2",0
"185","c-185","2","1",0.684065767234119
"186","c-186","2","1",0.146137592763774
"187","c-187","2","1",0.826199305314851
"188","c-188","5","2",0
"189","c-189","4","3",1
"190","c-190","4","3",1
"191","c-191","4","3",1
"192","c-192","1","4",0.0131935965473326
