"","cell_id","from","to","percentage"
"1","c-1","4","5",0.75503408908844
"2","c-2","4","5",0.28572404384613
"3","c-3","7","8",0.209703639149666
"4","c-4","2","6",0.563869655132294
"5","c-5","6","1",0.271374493837357
"6","c-6","2","6",0.250662416219711
"7","c-7","7","8",0.279588341712952
"8","c-8","2","6",0.453515201807022
"9","c-9","8","4",0.57148814201355
"10","c-10","3","7",0.193632155656815
"11","c-11","1","9",0.711279511451721
"12","c-12","2","6",0.373733282089233
"13","c-13","5","2",0.733505964279175
"14","c-14","5","2",0.190790414810181
"15","c-15","3","7",0
"16","c-16","8","4",0.821218073368073
"17","c-17","6","1",0.310953676700592
"18","c-18","1","9",0.343879610300064
"19","c-19","6","1",0.2655109167099
"20","c-20","8","4",0.0352851562201977
"21","c-21","8","4",0.233119994401932
"22","c-22","4","5",0.608595550060272
"23","c-23","6","1",0.850727081298828
"24","c-24","5","2",0.734990239143372
"25","c-25","4","5",0.838975787162781
"26","c-26","1","9",0.527249753475189
"27","c-27","2","6",0.603676617145538
"28","c-28","1","9",0.85097062587738
"29","c-29","1","9",0.193275034427643
"30","c-30","8","4",0.682023525238037
"31","c-31","6","1",0.248062118887901
"32","c-32","3","7",0.488262891769409
"33","c-33","2","6",0.589351296424866
"34","c-34","3","7",0.738757789134979
"35","c-35","1","9",0.428613603115082
"36","c-36","2","6",0.749610841274261
"37","c-37","6","1",0.457154333591461
"38","c-38","5","2",0.835587978363037
"39","c-39","1","9",0.604791581630707
"40","c-40","3","7",0.429100513458252
"41","c-41","7","8",0.359175652265549
"42","c-42","8","4",0.00720533914864063
"43","c-43","1","9",0.903921246528625
"44","c-44","1","9",0.409725934267044
"45","c-45","4","5",0.71983927488327
"46","c-46","3","7",0.279277384281158
"47","c-47","2","6",0.499836534261703
"48","c-48","3","7",0.259238243103027
"49","c-49","3","7",0.725626230239868
"50","c-50","3","7",0.196324810385704
"51","c-51","2","6",0.330175966024399
"52","c-52","5","2",0.283496797084808
"53","c-53","2","6",0.574991822242737
"54","c-54","6","10",0.715489685535431
"55","c-55","3","7",0.279121935367584
