"","cell_id","from","to","percentage"
"1","c-1","Y_9","Y_15",0.462110799199985
"2","c-2","Y_9","Y_15",0.127697069008748
"3","c-3","Y_9","Y_15",0.733443391576274
"4","c-4","Y_7","Y_15",0.238066936597634
"5","c-5","Y_15","Y_168",0.0255592228393019
"6","c-6","Y_7","Y_15",1
"7","c-7","Y_7","Y_15",0
"8","c-8","Y_9","Y_15",0.283461427819271
"9","c-9","Y_7","Y_15",0
"10","c-10","Y_9","Y_15",0
"11","c-11","Y_9","Y_15",0.127697069008748
"12","c-12","Y_9","Y_15",0
"13","c-13","Y_7","Y_15",1
"14","c-14","Y_7","Y_15",0
"15","c-15","Y_7","Y_15",0
"16","c-16","Y_9","Y_15",0
"17","c-17","Y_9","Y_15",0
"18","c-18","Y_7","Y_15",0
"19","c-19","Y_7","Y_15",0.617371889064942
"20","c-20","Y_7","Y_15",1
"21","c-21","Y_7","Y_15",0
"22","c-22","Y_9","Y_15",0
"23","c-23","Y_9","Y_15",0.127697069008748
"24","c-24","Y_9","Y_15",0.462110799199985
"25","c-25","Y_9","Y_15",0.283461427819271
"26","c-26","Y_9","Y_15",0.283461427819271
"27","c-27","Y_15","Y_168",0.0255592228393019
"28","c-28","Y_7","Y_15",0
"29","c-29","Y_9","Y_15",0.462110799199985
"30","c-30","Y_7","Y_15",0
"31","c-31","Y_9","Y_15",0.283461427819271
"32","c-32","Y_9","Y_15",0.283461427819271
"33","c-33","Y_7","Y_15",0
"34","c-34","Y_7","Y_15",0
"35","c-35","Y_9","Y_15",0.733443391576274
"36","c-36","Y_9","Y_15",0.283461427819271
"37","c-37","Y_7","Y_15",0
"38","c-38","Y_7","Y_15",1
"39","c-39","Y_9","Y_15",0
"40","c-40","Y_7","Y_15",0.617371889064942
"41","c-41","Y_9","Y_15",0.462110799199985
"42","c-42","Y_7","Y_15",0
"43","c-43","Y_9","Y_15",0.127697069008748
"44","c-44","Y_7","Y_15",0.617371889064942
"45","c-45","Y_7","Y_15",0
"46","c-46","Y_7","Y_15",0
"47","c-47","Y_7","Y_15",0.238066936597634
"48","c-48","Y_7","Y_15",0
"49","c-49","Y_7","Y_15",0.617371889064942
"50","c-50","Y_9","Y_15",0.462110799199985
"51","c-51","Y_9","Y_15",0.127697069008748
"52","c-52","Y_7","Y_15",0
"53","c-53","Y_7","Y_15",1
"54","c-54","Y_9","Y_15",0.127697069008748
"55","c-55","Y_30","Y_37",1
"56","c-56","Y_30","Y_83",0.0514528334003326
"57","c-57","Y_30","Y_111",0.173837451078134
"58","c-58","Y_30","Y_37",0.524055074448735
"59","c-59","Y_30","Y_83",0.0514528334003326
"60","c-60","Y_30","Y_111",0.0426449182030856
"61","c-61","Y_30","Y_83",0.0514528334003326
"62","c-62","Y_30","Y_37",0
"63","c-63","Y_30","Y_111",0.130326197979799
"64","c-64","Y_30","Y_83",0.0609254549141288
"65","c-65","Y_30","Y_83",0.0872858468288163
"66","c-66","Y_30","Y_37",1
"67","c-67","Y_30","Y_37",1
"68","c-68","Y_30","Y_37",1
"69","c-69","Y_30","Y_83",0.0244838871994757
"70","c-70","Y_30","Y_37",1
"71","c-71","Y_30","Y_37",1
"72","c-72","Y_30","Y_111",0.0844118727346784
"73","c-73","Y_30","Y_111",0
"74","c-74","Y_30","Y_83",0.0122682732428848
"75","c-75","Y_30","Y_37",1
"76","c-76","Y_30","Y_37",1
"77","c-77","Y_30","Y_83",0.0745808273845838
"78","c-78","Y_30","Y_83",0.0514528334003326
"79","c-79","Y_30","Y_37",1
"80","c-80","Y_30","Y_83",0
"81","c-81","Y_30","Y_37",1
"82","c-82","Y_30","Y_83",0.0244838871994757
"83","c-83","Y_30","Y_37",1
"84","c-84","Y_30","Y_37",1
"85","c-85","Y_30","Y_83",0.0333962372613323
"86","c-86","Y_30","Y_37",1
"87","c-87","Y_30","Y_37",1
"88","c-88","Y_30","Y_37",1
"89","c-89","Y_30","Y_37",1
"90","c-90","Y_30","Y_37",1
"91","c-91","Y_30","Y_83",0.0514528334003326
"92","c-92","Y_30","Y_83",0.0122682732428848
"93","c-93","Y_30","Y_37",1
"94","c-94","Y_30","Y_111",0.0426449182030856
"95","c-95","Y_30","Y_37",1
"96","c-96","Y_30","Y_83",0.0514528334003326
"97","c-97","Y_30","Y_37",1
"98","c-98","Y_30","Y_37",1
"99","c-99","Y_30","Y_37",1
"100","c-100","Y_30","Y_37",1
"101","c-101","Y_30","Y_83",0.0431611481159924
"102","c-102","Y_30","Y_37",0.524055074448735
"103","c-103","Y_30","Y_83",0.0609254549141288
"104","c-104","Y_30","Y_83",0.0244838871994757
"105","c-105","Y_30","Y_83",0.0431611481159921
"106","c-106","Y_30","Y_111",0.0426449182030856
"107","c-107","Y_30","Y_37",1
"108","c-108","Y_30","Y_83",0.0333962372613323
"109","c-109","Y_30","Y_83",0.0244838871994758
"110","c-110","Y_30","Y_37",1
"111","c-111","Y_30","Y_37",1
"112","c-112","Y_30","Y_37",1
"113","c-113","Y_30","Y_83",0.0431611481159921
"114","c-114","Y_30","Y_37",0.524055074448735
"115","c-115","Y_30","Y_37",1
"116","c-116","Y_30","Y_83",0.0514528334003326
"117","c-117","Y_30","Y_83",0.183535364799958
"118","c-118","Y_30","Y_83",0.131582638204947
"119","c-119","Y_30","Y_83",0.163453999839915
"120","c-120","Y_30","Y_83",0.14828547217647
"121","c-121","Y_30","Y_83",0.163453999839915
"122","c-122","Y_30","Y_83",0.163453999839915
"123","c-123","Y_30","Y_83",0.183535364799958
"124","c-124","Y_30","Y_83",0.183535364799958
"125","c-125","Y_30","Y_83",0.163453999839915
"126","c-126","Y_30","Y_83",0.116997276304779
"127","c-127","Y_30","Y_83",0.183535364799958
"128","c-128","Y_30","Y_83",0.183535364799958
"129","c-129","Y_30","Y_83",0.116997276304779
"130","c-130","Y_30","Y_83",0.163453999839915
"131","c-131","Y_30","Y_83",0.183535364799958
"132","c-132","Y_30","Y_83",0.163453999839915
"133","c-133","Y_30","Y_83",0.163453999839915
"134","c-134","Y_30","Y_83",0.163453999839915
"135","c-135","Y_30","Y_83",0.163453999839915
"136","c-136","Y_30","Y_83",0.183535364799958
"137","c-137","Y_30","Y_83",0.183535364799958
"138","c-138","Y_30","Y_83",0.14828547217647
"139","c-139","Y_60","Y_83",0.0151321537843303
"140","c-140","Y_60","Y_83",0
"141","c-141","Y_60","Y_83",0
"142","c-142","Y_60","Y_83",0.0296240749815732
"143","c-143","Y_60","Y_83",0
"144","c-144","Y_60","Y_83",0
"145","c-145","Y_60","Y_83",0.0296240749815732
"146","c-146","Y_60","Y_83",0
"147","c-147","Y_60","Y_83",0
"148","c-148","Y_60","Y_83",0.0296240749815732
"149","c-149","Y_60","Y_83",0
"150","c-150","Y_60","Y_83",0.0296240749815732
"151","c-151","Y_60","Y_83",0
"152","c-152","Y_60","Y_83",0
"153","c-153","Y_60","Y_83",0.0296240749815732
"154","c-154","Y_60","Y_83",0
"155","c-155","Y_60","Y_83",0
"156","c-156","Y_60","Y_83",0
"157","c-157","Y_60","Y_83",0.0296240749815732
"158","c-158","Y_60","Y_83",0.0151321537843303
"159","c-159","Y_60","Y_83",0
"160","c-160","Y_60","Y_83",0.0296240749815732
"161","c-161","Y_60","Y_83",0.0296240749815732
"162","c-162","Y_60","Y_83",0
"163","c-163","Y_60","Y_83",0.0296240749815732
