"","cell_id","from","to","percentage"
"1","c-1","1","2",0.524083256721497
"2","c-2","1","6",0.755312204360962
"3","c-3","1","4",0.835565268993378
"4","c-4","3","1",0.0349746644496918
"5","c-5","1","4",0.950852394104004
"6","c-6","1","4",0.950813353061676
"7","c-7","3","1",0.115984193980694
"8","c-8","1","2",0.763139009475708
"9","c-9","1","2",0.0868740826845169
"10","c-10","3","1",0.0261334516108036
"11","c-11","1","4",0.409161120653152
"12","c-12","1","1-0a",0.837179720401764
"13","c-13","2","5",0.596609950065613
"14","c-14","3","1",0.0318060927093029
"15","c-15","3","1",0.312993109226227
"16","c-16","1","4",0.73587691783905
"17","c-17","2","5",0.52493941783905
"18","c-18","1","2",0.683435559272766
"19","c-19","3","1",0.0326971784234047
"20","c-20","1","4",0.799821674823761
"21","c-21","1","1-0a",0.743700683116913
"22","c-22","1","4",0.850351989269257
"23","c-23","2","5",0.489292621612549
"24","c-24","3","1",0.0748723968863487
"25","c-25","3","1",0.0462349653244019
"26","c-26","3","1",0.0389022976160049
"27","c-27","1","2",0.600149035453796
"28","c-28","1","4",0.902153015136719
"29","c-29","3","1",0.0144563810899854
"30","c-30","3","1",0.0410540103912354
"31","c-31","3","1",0.445364087820053
"32","c-32","1","6",0.814361214637756
"33","c-33","1","6",0.672591924667358
"34","c-34","2","5",0.458020776510239
"35","c-35","2","5",0.809833884239197
"36","c-36","1","1-0a",0.81003999710083
"37","c-37","1","1-0a",0.193430438637733
"38","c-38","1","2",0.716894805431366
"39","c-39","1","4",0.916799664497375
"40","c-40","1","2",0.863609254360199
"41","c-41","1","2",0.543254256248474
"42","c-42","3","1",0.178495600819588
"43","c-43","3","1",0.145593076944351
"44","c-44","3","1",0.0229217000305653
"45","c-45","1","2",0.500374138355255
"46","c-46","1","2",0.717913806438446
"47","c-47","2","5",0.635606110095978
"48","c-48","1","1-0a",0.699017524719238
"49","c-49","3","1",0.0149511350318789
"50","c-50","1","1-0a",0.558083355426788
"51","c-51","2","5",0.377615422010422
"52","c-52","1","2",0.074976734817028
"53","c-53","1","4",0.909787893295288
"54","c-54","2","5",0.836800277233124
"55","c-55","1","2",0.572252929210663
"56","c-56","1","6",0.769796431064606
"57","c-57","3","1",0.0148756531998515
"58","c-58","1","4",0.434337615966797
"59","c-59","1","6",0.63384598493576
"60","c-60","1","2",0.568981051445007
"61","c-61","1","6",0.13638836145401
"62","c-62","3","1",0.0435606390237808
"63","c-63","3","1",0.108779780566692
"64","c-64","1","6",0.171024203300476
"65","c-65","3","1",0.0513466261327267
"66","c-66","2","5",0.550182104110718
"67","c-67","3","1",0.10469825565815
"68","c-68","3","1",0.026593241840601
"69","c-69","3","1",0.0423669293522835
"70","c-70","1","6",0.808644711971283
"71","c-71","3","1",0.390900015830994
"72","c-72","2","5",0.62224006652832
"73","c-73","1","6",0.356177717447281
"74","c-74","1","2",0.22008840739727
"75","c-75","3","1",0.116883002221584
"76","c-76","2","5",0.517439603805542
"77","c-77","3","1",0.0530438125133514
"78","c-78","3","1",0.423077672719955
"79","c-79","1","1-0a",0.851530790328979
"80","c-80","3","1",0.029191505163908
"81","c-81","2","5",0.617982983589172
"82","c-82","1","4",0.818943500518799
"83","c-83","1","4",0.429978042840958
"84","c-84","3","1",0.0267752166837454
"85","c-85","1","2",0.485180288553238
