"","cell_id","from","to","percentage"
"1","c-1","4","1",0.948699646005279
"2","c-3","3","6",0.0208018475854406
"3","c-5","3","6",0
"4","c-6","3","6",0
"5","c-8","1","5",0.494466316390478
"6","c-9","4","1",0.27775599011379
"7","c-11","3","6",0.293712150045037
"8","c-13","1","5",1
"9","c-17","1","5",1
"10","c-18","1","5",0.218689804769851
"11","c-19","6","4",0.878104424750132
"12","c-20","3","6",0
"13","c-22","3","6",0
"14","c-23","1","5",1
"15","c-27","4","1",0.973684400666899
"16","c-31","3","6",0.59150706637188
"17","c-34","1","5",1
"18","c-35","1","5",1
"19","c-38","1","5",0.120480433177088
"20","c-39","3","6",0
"21","c-40","1","5",0.40106914755428
"22","c-41","4","1",0.893235681173463
"23","c-42","6","4",0.441135568413909
"24","c-43","6","4",0.409073004780419
"25","c-45","4","1",0.769924987774701
"26","c-46","1","5",0.261367637779985
"27","c-47","1","5",1
"28","c-49","6","4",0.909566127512805
"29","c-51","1","5",0.971060836160173
"30","c-52","4","1",0.355624932212519
"31","c-54","1","5",1
"32","c-55","1","5",0.0577844809321825
"33","c-57","4","1",0.0195239344174319
"34","c-58","3","6",0.305636135008857
"35","c-60","1","5",0.0992662804914424
"36","c-63","6","4",0.554212674161952
"37","c-66","1","5",1
"38","c-72","1","5",1
"39","c-74","4","1",0.428933740515283
"40","c-76","1","5",1
"41","c-81","1","5",1
"42","c-82","3","6",0
"43","c-83","3","6",0.315302943937968
"44","c-85","4","1",0.778218772509283
"45","c-86","6","4",0.541785000905783
"46","c-91","3","6",0
"47","c-93","6","4",0.848447442667383
"48","c-96","1","5",1
"49","c-97","4","1",0.74992072858913
"50","c-98","4","1",0.89127130726879
"51","c-99","1","5",0.0388862086249431
"52","c-100","6","4",0.269751506279611
"53","c-101","1","5",0.43071681254774
"54","c-103","1","5",1
"55","c-105","6","4",0.603602104837446
"56","c-107","3","6",0.0487023085078141
"57","c-110","3","6",0.449229038652765
"58","c-111","1","5",1
"59","c-113","3","6",0.243347629189185
"60","c-115","3","6",0.684003963100591
"61","c-116","6","4",0.354758016631534
"62","c-117","1","5",1
"63","c-118","3","6",0
"64","c-120","1","5",1
"65","c-124","6","4",0.3564837562769
