"","cell_id","from","to","percentage"
"1","c-567","Y_1","Y_22",1
"2","c-988","Y_1","Y_22",1
"3","c-1007","Y_1","Y_22",1
"4","c-1062","Y_1","Y_22",1
"5","c-1129","Y_1","Y_22",1
"6","c-1393","Y_1","Y_22",1
"7","c-1397","Y_1","Y_22",1
"8","c-1602","Y_1","Y_22",1
"9","c-1677","Y_1","Y_22",1
"10","c-1690","Y_1","Y_22",1
"11","c-1742","Y_1","Y_22",1
"12","c-1750","Y_1","Y_22",1
"13","c-1759","Y_1","Y_22",1
"14","c-1841","Y_1","Y_22",1
"15","c-1849","Y_1","Y_22",1
"16","c-1853","Y_1","Y_22",1
"17","c-1888","Y_1","Y_22",1
"18","c-1891","Y_1","Y_22",1
"19","c-1914","Y_1","Y_22",1
"20","c-1916","Y_1","Y_22",1
"21","c-1936","Y_1","Y_22",1
"22","c-1949","Y_1","Y_22",1
"23","c-1967","Y_1","Y_22",1
"24","c-1973","Y_1","Y_22",1
"25","c-1987","Y_1","Y_22",1
"26","c-1997","Y_1","Y_22",1
"27","c-2005","Y_1","Y_22",1
"28","c-2076","Y_1","Y_22",1
"29","c-2092","Y_1","Y_22",1
"30","c-2133","Y_1","Y_22",1
"31","c-2179","Y_1","Y_22",1
"32","c-2192","Y_1","Y_22",1
"33","c-2202","Y_1","Y_22",1
"34","c-2221","Y_1","Y_22",1
"35","c-448","Y_1","Y_22",0.631353126791895
"36","c-484","Y_1","Y_22",0.631353126791895
"37","c-561","Y_1","Y_22",0.631353126791895
"38","c-577","Y_1","Y_22",0.631353126791895
"39","c-898","Y_1","Y_22",0.631353126791895
"40","c-1066","Y_1","Y_22",0.631353126791895
"41","c-1075","Y_1","Y_22",0.631353126791895
"42","c-1134","Y_1","Y_22",0.631353126791895
"43","c-1272","Y_1","Y_22",0.631353126791895
"44","c-1299","Y_1","Y_22",0.631353126791895
"45","c-1373","Y_1","Y_22",0.631353126791895
"46","c-1471","Y_1","Y_22",0.631353126791895
"47","c-1545","Y_1","Y_22",0.631353126791895
"48","c-1562","Y_1","Y_22",0.631353126791895
"49","c-1565","Y_1","Y_22",0.631353126791895
"50","c-1717","Y_1","Y_22",0.631353126791895
"51","c-1739","Y_1","Y_22",0.631353126791895
"52","c-1769","Y_1","Y_22",0.631353126791895
"53","c-1777","Y_1","Y_22",0.631353126791895
"54","c-1935","Y_1","Y_22",0.631353126791895
"55","c-2015","Y_1","Y_22",0.631353126791895
"56","c-2089","Y_1","Y_22",0.631353126791895
"57","c-2110","Y_1","Y_22",0.631353126791895
"58","c-2159","Y_1","Y_22",0.631353126791895
"59","c-2162","Y_1","Y_22",0.631353126791895
"60","c-2183","Y_1","Y_22",0.631353126791895
"61","c-2209","Y_1","Y_22",0.631353126791895
"62","c-367","Y_1","Y_22",0.359136392401261
"63","c-447","Y_1","Y_22",0.359136392401261
"64","c-449","Y_1","Y_22",0.359136392401261
"65","c-496","Y_1","Y_22",0.359136392401261
"66","c-540","Y_1","Y_22",0.359136392401261
"67","c-546","Y_1","Y_22",0.359136392401261
"68","c-552","Y_1","Y_22",0.359136392401261
"69","c-560","Y_1","Y_22",0.359136392401261
"70","c-575","Y_1","Y_22",0.359136392401261
"71","c-1101","Y_1","Y_22",0.359136392401261
"72","c-1185","Y_1","Y_22",0.359136392401261
"73","c-1972","Y_1","Y_22",0.359136392401261
"74","c-2217","Y_1","Y_22",0.359136392401261
"75","c-236","Y_1","Y_22",0.532961710175683
"76","c-278","Y_1","Y_22",0.532961710175683
"77","c-390","Y_1","Y_22",0.532961710175683
"78","c-428","Y_1","Y_22",0.532961710175683
"79","c-430","Y_1","Y_22",0.532961710175683
"80","c-433","Y_1","Y_22",0.532961710175683
"81","c-452","Y_1","Y_22",0.532961710175683
"82","c-467","Y_1","Y_22",0.532961710175683
"83","c-527","Y_1","Y_22",0.591845736626369
"84","c-536","Y_1","Y_22",0.532961710175683
"85","c-544","Y_1","Y_22",0.532961710175683
"86","c-545","Y_1","Y_22",0.532961710175683
"87","c-548","Y_1","Y_22",0.591845736626369
