"","from","to","length","directed"
"1","1","3",0.481744527816772,TRUE
"2","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.567472338676453,TRUE
"3","2","1",0.722219228744507,TRUE
"4","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.875860810279846,TRUE
"5","1","1-Cartilage cell_Prg4 high(Neonatal-Rib)a",0.392202436923981,TRUE
"6","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a","1-Cartilage cell_Col2a1 high(Neonatal-Rib)b",0.00607899868488312,TRUE
"7","1-Cartilage cell_Col2a1 high(Neonatal-Rib)b","1",0.00607899868488312,TRUE
"8","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a","1-Cartilage cell_Ppa1 high(Neonatal-Rib)b",0.00607899868488312,TRUE
"9","1-Cartilage cell_Ppa1 high(Neonatal-Rib)b","1",0.00607899868488312,TRUE
"10","1-Cartilage cell_Prg4 high(Neonatal-Rib)a","1-Cartilage cell_Prg4 high(Neonatal-Rib)b",0.00607899868488312,TRUE
"11","1-Cartilage cell_Prg4 high(Neonatal-Rib)b","1",0.00607899868488312,TRUE
