"","cell_id","from","to","percentage"
"1","c-1","2","1",0.0991252958774567
"2","c-2","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.381001234054565
"3","c-3","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.320726662874222
"4","c-4","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.285710662603378
"5","c-5","2","1",0.0433828383684158
"6","c-6","2","1",0.107972472906113
"7","c-7","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.248374745249748
"8","c-8","2","1",0.0489491187036037
"9","c-9","2","1",0.0848756805062294
"10","c-10","2","1",0.160712867975235
"11","c-11","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.144480347633362
"12","c-12","2","1",0.0456481948494911
"13","c-13","2","1",0.0561199076473713
"14","c-14","2","1",0.174541115760803
"15","c-15","2","1",0.198028162121773
"16","c-16","2","1",0.176417291164398
"17","c-17","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.334737628698349
"18","c-18","2","1",0.0372014679014683
"19","c-19","2","1",0.139691695570946
"20","c-20","2","1",0.0414112694561481
"21","c-21","2","1",0.456456393003464
"22","c-22","2","1",0.118281006813049
"23","c-23","2","1",0.0814158469438553
"24","c-24","2","1",0.258113205432892
"25","c-25","2","1",0.212124288082123
"26","c-26","2","1",0.135216504335403
"27","c-27","1","3",0.460274964570999
"28","c-28","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.0975675880908966
"29","c-29","1","3",0.394862145185471
"30","c-30","1","3",0.52720046043396
"31","c-31","1","3",0.646610677242279
"32","c-32","1","3",0.635634005069733
"33","c-33","2","1",0.152310103178024
"34","c-34","2","1",0.20688970386982
"35","c-35","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.201625034213066
"36","c-36","2","1",0.116897463798523
"37","c-37","2","1",0.128665611147881
"38","c-38","1","3",0.371069580316544
"39","c-39","2","1",0.119247421622276
"40","c-40","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.153645232319832
"41","c-41","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.136145859956741
"42","c-42","2","1",0.418160498142242
"43","c-43","2","1",0.119403637945652
"44","c-44","2","1",0.0710347816348076
"45","c-45","1","3",0.271680742502213
"46","c-46","2","1",0.0504621118307114
"47","c-47","2","1",0.346902430057526
"48","c-48","2","1",0.298605769872665
"49","c-49","2","1",0.0992566272616386
"50","c-50","2","1",0.151784017682076
"51","c-51","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.737021148204803
"52","c-52","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.161466866731644
"53","c-53","2","1",0.331261605024338
"54","c-54","1","3",0.383203148841858
"55","c-55","2","1",0.192164480686188
"56","c-56","2","1",0.0969464629888535
"57","c-57","2","1",0.433087974786758
"58","c-58","2","1",0.0513030514121056
"59","c-59","2","1",0.244506046175957
"60","c-60","2","1",0.0923995971679688
"61","c-61","2","1",0.441050708293915
"62","c-62","2","1",0.112039983272552
"63","c-63","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.0429469347000122
"64","c-64","1","3",0.518645226955414
"65","c-65","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.101001657545567
"66","c-66","2","1",0.0837456062436104
"67","c-67","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.348028838634491
"68","c-68","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.139579996466637
"69","c-69","2","1",0.0841318964958191
"70","c-70","2","1",0.195989325642586
"71","c-71","2","1",0.237237483263016
"72","c-72","2","1",0.466641157865524
"73","c-73","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.211614713072777
"74","c-74","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.191232100129128
"75","c-75","2","1",0.0444081351161003
"76","c-76","1","3",0.473094820976257
"77","c-77","1","3",0.540034592151642
"78","c-78","1","3",0.971335351467133
"79","c-79","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.061834879219532
"80","c-80","2","1",0.282824605703354
"81","c-81","1","3",0.678394079208374
"82","c-82","2","1",0.0901007354259491
"83","c-83","2","1",0.265534907579422
"84","c-84","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.786100208759308
"85","c-85","2","1",0.177605330944061
"86","c-86","2","1",0.132691755890846
"87","c-87","2","1",0.0851359739899635
"88","c-88","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.267284601926804
"89","c-89","2","1",0.0569093264639378
"90","c-90","2","1",0.313353061676025
"91","c-91","2","1",0.0839213281869888
"92","c-92","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.191335365176201
"93","c-93","2","1",0.140115141868591
"94","c-94","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.123759873211384
"95","c-95","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.223142102360725
"96","c-96","2","1",0.0271907672286034
"97","c-97","2","1",0.0745126977562904
"98","c-98","2","1",0.409647524356842
"99","c-99","2","1",0.433861821889877
"100","c-100","2","1",0.487195938825607
"101","c-101","2","1",0.157857567071915
"102","c-102","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.406267613172531
"103","c-103","2","1",0.33065989613533
"104","c-104","2","1",0.442107617855072
"105","c-105","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.129067927598953
"106","c-106","1","3",0.340010225772858
"107","c-107","2","1",0.122528776526451
"108","c-108","1","3",0.492634803056717
"109","c-109","1","3",1
"110","c-110","2","1",0.516226172447205
"111","c-111","1","3",0.300505548715591
"112","c-112","1","3",0.531066179275513
"113","c-113","1","3",0.29991015791893
"114","c-114","1","3",0.531098186969757
"115","c-115","1","3",0.510732591152191
"116","c-116","2","1",0.189744248986244
"117","c-117","2","1",0.13280813395977
"118","c-118","1","3",0.714739382266998
"119","c-119","1","3",0.223809853196144
"120","c-120","1","3",0.36029589176178
"121","c-121","2","1",0.160774707794189
"122","c-122","2","1",0.0571364462375641
"123","c-123","2","1",0.159188359975815
"124","c-124","2","1",0.0913264378905296
"125","c-125","2","1",0.16604708135128
"126","c-126","1","3",0.528555631637573
"127","c-127","2","1",0.102679863572121
"128","c-128","2","1",0.0953461453318596
"129","c-129","2","1",0.401867806911469
"130","c-130","1","3",0.435438871383667
"131","c-131","2","1",0.14405132830143
"132","c-132","2","1",0.125768661499023
"133","c-133","2","1",0.589669823646545
"134","c-134","2","1",0.136199459433556
"135","c-135","1","3",0.248621121048927
"136","c-136","1","3",0.297622948884964
"137","c-137","2","1",0.125225320458412
"138","c-138","1","3",0.478439956903458
"139","c-139","2","1",0.289783716201782
"140","c-140","2","1",0.200463190674782
"141","c-141","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.324382930994034
"142","c-142","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.540275692939758
"143","c-143","2","1",0.0593457743525505
"144","c-144","2","1",0.123573325574398
"145","c-145","1","3",0.818991720676422
"146","c-146","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.317668080329895
"147","c-147","2","1",0.247534602880478
"148","c-148","1","1-Cartilage cell_Col2a1 high(Neonatal-Rib)a",0.213520616292953
"149","c-149","2","1",0.348531275987625
"150","c-150","2","1",0.24359318614006
"151","c-151","1","3",0.307287812232971
"152","c-152","2","1",0.0762044861912727
"153","c-153","1","3",0.674412190914154
"154","c-154","2","1",0
"155","c-155","2","1",0.0859086886048317
"156","c-156","2","1",0.139384120702744
"157","c-157","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.480842232704163
"158","c-158","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.162112608551979
"159","c-159","1","3",0.543255567550659
"160","c-160","2","1",0.104460537433624
"161","c-161","2","1",0.118460476398468
"162","c-162","2","1",0.168296113610268
"163","c-163","1","3",0.422294318675995
"164","c-164","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.136344283819199
"165","c-165","2","1",0.0652678534388542
"166","c-166","1","3",0.869235396385193
"167","c-167","1","1-Cartilage cell_Ppa1 high(Neonatal-Rib)a",0.207367420196533
"168","c-168","2","1",0.364022672176361
"169","c-169","1","3",0.584399163722992
"170","c-170","2","1",0.325287848711014
