"","cell_id","from","to","percentage"
"1","c-1","1","4",0.134329870408886
"2","c-2","4","2",1
"3","c-6","1","4",0.100948242029193
"4","c-7","4","2",1
"5","c-8","1","4",0.156029301546164
"6","c-9","1","4",0.149639784469993
"7","c-10","1","4",0.186415226851686
"8","c-12","1","4",0.17357209394118
"9","c-13","1","4",0.202523660249639
"10","c-14","1","4",0.128813347532652
"11","c-15","1","4",0
"12","c-16","1","4",0.209893388886875
"13","c-18","1","4",0.208265260828409
"14","c-19","1","4",0.179298315205804
"15","c-20","1","4",0.152307570612955
"16","c-21","1","4",0
"17","c-22","1","4",0.167671750379925
"18","c-23","1","4",0.150338073493696
"19","c-24","1","4",0.298630137252215
"20","c-25","1","4",0.226322217402314
"21","c-26","1","4",0.21329419549367
"22","c-27","4","2",1
"23","c-28","1","4",0.160770295247033
"24","c-29","4","2",1
"25","c-30","4","2",1
"26","c-31","4","2",1
"27","c-32","4","2",1
"28","c-33","1","4",0.233245642831199
"29","c-34","1","4",0.189842387206724
"30","c-36","1","4",0.210527759126952
"31","c-37","1","4",0.253149465696349
"32","c-38","4","2",1
"33","c-39","1","4",0.189737477708651
"34","c-43","1","4",0.259975161850132
"35","c-44","1","4",0.245495130258839
"36","c-45","4","2",1
"37","c-46","1","4",0.232729354919332
"38","c-48","1","4",0.186415226851686
"39","c-50","1","4",0.180347935367355
"40","c-54","4","2",1
"41","c-55","1","4",0.209893388886875
"42","c-56","1","4",0.234543098340105
"43","c-58","1","4",0.254531886173713
"44","c-60","1","4",0.244291367880805
"45","c-62","1","4",0.217173510132976
"46","c-63","1","4",0.221199600288112
"47","c-64","4","2",1
"48","c-65","1","4",0.302068226906511
"49","c-66","1","4",0.250673070920803
"50","c-69","1","4",0.209893388886875
"51","c-70","1","4",0.27119187043462
"52","c-71","1","4",0.0833927074879215
"53","c-75","1","4",0.167671750379925
"54","c-76","4","2",1
"55","c-77","4","2",1
"56","c-78","4","2",1
"57","c-80","1","4",0.266912545830599
"58","c-81","4","2",1
"59","c-82","1","4",0.277388155735455
"60","c-83","1","4",0.297124758086628
"61","c-85","1","4",0.161004247613974
"62","c-86","1","4",0.24679857999253
"63","c-87","1","4",0.216109320002222
"64","c-89","1","4",0.240156834653444
"65","c-90","1","4",0.297438197871802
"66","c-91","1","4",0.255295287163546
"67","c-93","1","4",0.325991837513043
"68","c-95","1","4",0.265800511304792
"69","c-96","1","4",0.29208715941858
"70","c-97","1","4",0.286365078667234
"71","c-101","1","4",0.31219256160435
"72","c-104","1","4",0.193283678394702
"73","c-105","1","4",0.222229636577055
"74","c-106","4","2",1
"75","c-107","1","4",0.257065214252112
"76","c-108","4","2",1
"77","c-109","4","2",1
"78","c-111","4","2",1
"79","c-112","4","2",1
"80","c-113","4","2",1
"81","c-114","4","2",1
"82","c-115","4","2",1
"83","c-116","1","4",0.167671750379925
"84","c-117","1","4",0.118633016700825
"85","c-118","4","2",1
