"","from","to","length","directed"
"1","Y_50","Y_139",0.171620641236106,FALSE
"2","Y_50","Y_152",0.225452397783008,FALSE
"3","Y_14","Y_206",0.179017913967868,FALSE
"4","Y_152","Y_250",0.414020989284189,FALSE
"5","Y_100","Y_258",0.163740836656245,FALSE
"6","Y_101","Y_219",4.27611199337937,FALSE
"7","Y_196","Y_206",1.00958576681067,FALSE
"8","Y_77","Y_196",0.843375119910204,FALSE
"9","Y_2","Y_196",0.86885327170797,FALSE
"10","Y_14","Y_207",1.41728474846194,FALSE
"11","Y_128","Y_219",5.77664830118704,FALSE
"12","Y_14","Y_152",2.61048825418747,FALSE
"13","Y_156","Y_173",3.2940031021233,FALSE
"14","Y_182","Y_207",1.7780320067262,FALSE
"15","Y_207","Y_250",1.82435907182177,FALSE
"16","Y_128","Y_229",0.532082556077394,FALSE
"17","Y_86","Y_206",6.63800695708748,FALSE
"18","Y_156","Y_182",2.01931630247252,FALSE
"19","Y_21","Y_139",5.28734490679971,FALSE
"20","Y_61","Y_128",2.25010344379051,FALSE
"21","Y_139","Y_151",0.62853770613324,FALSE
"22","Y_151","Y_250",0.917926517504195,FALSE
"23","Y_100","Y_156",0.939342781376431,FALSE
"24","Y_50","Y_250",0.653634683561333,FALSE
"25","Y_100","Y_151",0.508338180290626,FALSE
"26","Y_182","Y_219",0.48627946529942,FALSE
"27","Y_263","Y_273",0.253575622314833,FALSE
"28","Y_263","Y_286",3.79026784434598,FALSE
"29","Y_279","Y_286",0.419132437143612,FALSE
"30","Y_279","Y_287",1.47995460343421,FALSE
"31","Y_273","Y_286",0.502920337419374,FALSE
"32","Y_263","Y_279",1.68315339957407,FALSE
"33","Y_288","Y_308",4.34504733973751,FALSE
"34","Y_317","Y_324",0.155079896558901,FALSE
"35","Y_317","Y_334",0.418902699753511,FALSE
"36","Y_324","Y_334",1.84991856508772,FALSE
"37","Y_318","Y_336",3.58091692234412,FALSE
"38","Y_334","Y_336",0.604697764742984,FALSE
"39","Y_324","Y_336",0.500799107492945,FALSE
"40","Y_345","Y_359",1.97917367032097,FALSE
"41","Y_377","Y_398",0.271546432336862,FALSE
"42","Y_381","Y_398",0.405994333718389,FALSE
"43","Y_373","Y_398",0.124456624338712,FALSE
"44","Y_431","Y_438",0.617355270080216,FALSE
"45","Y_449","Y_452",0.456277471468593,FALSE
"46","Y_481","Y_484",0.0664217662484222,FALSE
"47","Y_526","Y_527",0.495338327471932,FALSE
"48","Y_548","Y_549",9.83420203088366e-05,FALSE
"49","Y_541","Y_549",0.000582496528400164,FALSE
"50","Y_539","Y_549",9.40463886273931e-06,FALSE
"51","Y_572","Y_579",3.24639440390689e-05,FALSE
