"","from","to","length","directed"
"1","1","16",0.0704430192708969,TRUE
"2","2","5",0.059525839984417,TRUE
"3","2","14",0.0530013628304005,TRUE
"4","2","8",0.0641010999679565,TRUE
"5","3","11",0.0870090946555138,TRUE
"6","4","17",0.123003788292408,TRUE
"7","5","4",0.125858813524246,TRUE
"8","2","9",0.19356381893158,TRUE
"9","6","18",0.295115619897842,TRUE
"10","7","2",0.0115687735378742,TRUE
"11","8","1",0.0664374977350235,TRUE
"12","9","19",0.377537935972214,TRUE
"13","10","20",0.471642017364502,TRUE
"14","11","15",0.0313273258507252,TRUE
"15","12","5",0.0199994333088398,TRUE
"16","9","21",0.644696474075317,TRUE
"17","13","6",0.246671810746193,TRUE
"18","9","22",0.362879157066345,TRUE
"19","10","23",0.644982695579529,TRUE
"20","14","10",0.212308868765831,TRUE
"21","13","24",0.529059886932373,TRUE
"22","4","25",0.768892645835876,TRUE
"23","5","26",0.106314651668072,TRUE
"24","5","13",0.0818375647068024,TRUE
"25","15","27",0.0311100594699383,TRUE
"26","8","28",0.0469686239957809,TRUE
"27","11","14",0.00954087544232607,TRUE
"28","14","29",0.0100905746221542,TRUE
