"","cell_id","from","to","percentage"
"1","c-1","12","5",0.369919687509537
"2","c-2","12","5",0.597371757030487
"3","c-3","9","19",0.625570714473724
"4","c-4","6","18",0.934161186218262
"5","c-5","9","19",0.503923833370209
"6","c-6","2","8",0.0801862254738808
"7","c-7","2","8",0.0326447077095509
"8","c-8","1","16",0.197520822286606
"9","c-9","6","18",0.882911324501038
"10","c-10","1","16",0.324590861797333
"11","c-11","2","8",0.019228121265769
"12","c-12","2","8",0.0380272530019283
"13","c-13","2","8",0.0545812994241714
"14","c-14","2","8",0.0203221086412668
"15","c-15","2","8",0.0663658902049065
"16","c-16","12","5",0.521468997001648
"17","c-17","2","8",0.0237108990550041
"18","c-18","2","8",0.0373109392821789
"19","c-19","13","6",0.443662911653519
"20","c-20","2","8",0.0922665745019913
"21","c-21","2","8",0.00779289053753018
"22","c-22","2","8",0.0720684453845024
"23","c-23","2","8",0.0376819744706154
"24","c-24","2","8",0.0611406266689301
"25","c-25","1","16",0.230071604251862
"26","c-26","2","8",0.0409567505121231
"27","c-27","2","8",0.0516449399292469
"28","c-28","2","8",0.0468357056379318
"29","c-29","13","6",0.74265718460083
"30","c-30","2","8",0.0100080613046885
"31","c-31","2","8",0.0855314582586288
"32","c-32","2","8",0.0673242136836052
"33","c-33","1","16",0.43843212723732
"34","c-34","4","17",0.730896472930908
"35","c-35","2","8",0.0814263373613358
"36","c-36","2","8",0.0253240279853344
"37","c-37","2","8",0.0694335177540779
"38","c-38","2","8",0.0548143610358238
"39","c-39","1","16",0.357015788555145
"40","c-40","2","8",0.0246512927114964
"41","c-41","6","18",0.745536983013153
"42","c-42","2","8",0.105002358555794
"43","c-43","2","8",0.0239230319857597
"44","c-44","2","8",0.062134925276041
"45","c-45","6","18",0.910665094852448
"46","c-46","2","8",0.0103394668549299
"47","c-47","2","8",0.0650639161467552
"48","c-48","2","8",0.026939382776618
"49","c-49","6","18",0.999674916267395
"50","c-50","6","18",0.844274520874023
"51","c-51","10","20",0.903357207775116
"52","c-52","1","16",0.206752359867096
"53","c-53","2","8",0.0364864394068718
"54","c-54","2","8",0.0322822704911232
"55","c-55","2","8",0.0702414661645889
"56","c-56","6","18",0.342030465602875
"57","c-57","2","8",0.043057769536972
"58","c-58","10","20",0.0141505729407072
"59","c-59","2","8",0.0594417601823807
"60","c-60","2","8",0.00821293704211712
"61","c-61","1","16",0.273356080055237
"62","c-62","2","8",0.041419081389904
"63","c-63","6","18",0.936467945575714
"64","c-64","2","8",0.08827093988657
"65","c-65","6","18",1
"66","c-66","2","8",0.0643003731966019
"67","c-67","2","8",0.0507420599460602
"68","c-68","2","8",0.0385603159666061
"69","c-69","2","8",0.0340122953057289
"70","c-70","2","8",0.00503339618444443
"71","c-71","2","8",0.0196857247501612
"72","c-72","2","9",0.235123068094254
"73","c-73","2","8",0.0235432777553797
"74","c-74","6","18",0.947463870048523
"75","c-75","1","16",0.316133052110672
"76","c-76","2","8",0.0250429175794125
"77","c-77","2","8",0.041030690073967
"78","c-78","12","5",0.916220307350159
"79","c-79","2","8",0.0325552150607109
"80","c-80","2","8",0.0536034442484379
"81","c-81","1","16",0.289169758558273
"82","c-82","2","8",0.215528801083565
"83","c-83","2","8",0.00678400555625558
"84","c-84","2","8",0.0853661969304085
"85","c-85","2","8",0.0454145520925522
"86","c-86","2","9",0.134132653474808
"87","c-87","2","8",0.0924491807818413
"88","c-88","2","9",0.145864516496658
"89","c-89","10","20",0.0100422957912087
"90","c-90","6","18",0.834422051906586
"91","c-91","2","8",0.0488845966756344
"92","c-92","10","20",0.910034120082855
"93","c-93","2","8",0.0709195882081985
"94","c-94","2","8",0.0348209701478481
"95","c-95","10","20",0.079594187438488
"96","c-96","2","8",0.0372625179588795
"97","c-97","2","8",0.0373266488313675
"98","c-98","2","8",0.0450798161327839
"99","c-99","2","8",0.0531342849135399
"100","c-100","2","8",0.0604014806449413
"101","c-101","5","4",0.214353054761887
"102","c-102","2","8",0.041419506072998
"103","c-103","2","8",0.00714251678436995
"104","c-104","2","8",0.0299560073763132
"105","c-105","2","8",0.019119331613183
"106","c-106","2","8",0.0479753538966179
"107","c-107","6","18",0.935273587703705
"108","c-108","6","18",0.849753141403198
"109","c-109","1","16",0.23777137696743
"110","c-110","2","8",0.0380162186920643
"111","c-111","2","8",0.016517136245966
"112","c-112","2","8",0.0262555312365294
"113","c-113","2","8",0.0345819443464279
"114","c-114","2","8",0.0334656164050102
"115","c-115","2","8",0.0070098708383739
"116","c-116","6","18",0.318708628416061
"117","c-117","2","8",0.0600665658712387
"118","c-118","2","9",0.142727702856064
