"","cell_id","from","to","percentage"
"1","c-1","4","9",0.579900324344635
"2","c-2","2","7",0.320007294416428
"3","c-3","4","9",1
"4","c-4","3","4",0.210199385881424
"5","c-5","4","9",0.676246166229248
"6","c-6","3","4",0.198200240731239
"7","c-7","3","4",0.509922206401825
"8","c-8","2","5",0.730063319206238
"9","c-9","3","8",0.0584582164883614
"10","c-10","3","8",0.091939814388752
"11","c-11","3","8",0.309551328420639
"12","c-12","2","6",0.324520289897919
"13","c-13","3","4",0.716482758522034
"14","c-14","3","4",0.937061905860901
"15","c-15","3","4",0.240400224924088
"16","c-16","2","5",0.596355378627777
"17","c-17","2","5",0.558805584907532
"18","c-18","2","5",0.468794018030167
"19","c-19","3","4",0.237532109022141
"20","c-20","2","6",0.520190358161926
"21","c-21","3","4",0.102242670953274
"22","c-22","3","8",0.0148198632523417
"23","c-23","3","4",0.0475246980786324
"24","c-24","1","3",0.112162865698338
"25","c-25","2","5",0.612639546394348
"26","c-26","2","5",0.690791368484497
"27","c-27","3","8",0.0340123139321804
"28","c-28","3","8",0.104965977370739
"29","c-29","2","5",0.618392646312714
"30","c-30","2","6",0.641892373561859
"31","c-31","2","6",0.870186567306519
"32","c-32","2","7",0.244040608406067
"33","c-33","2","7",0.667231023311615
"34","c-34","1","3",0.078069880604744
"35","c-35","2","6",0.679010331630707
"36","c-36","1","3",0.0961464494466782
"37","c-37","3","4",0.0773092061281204
"38","c-38","2","5",0.58167165517807
"39","c-39","1","3",0.184324577450752
"40","c-40","3","4",0.520276725292206
"41","c-41","3","4",0.75497168302536
"42","c-42","3","4",0.483524888753891
"43","c-43","2","5",0.494598716497421
"44","c-44","1","3",0.129444509744644
"45","c-45","2","5",0.655932366847992
"46","c-46","4","9",0.269457042217255
"47","c-47","3","8",0.155043229460716
"48","c-48","4","9",0.3423091173172
"49","c-49","3","8",0.0665724277496338
"50","c-50","2","5",0.716142177581787
"51","c-51","3","8",0.338467717170715
"52","c-52","2","7",0.223517462611198
"53","c-53","2","5",0.545658051967621
"54","c-54","2","5",0.422339141368866
"55","c-55","3","4",0.291007846593857
"56","c-56","1","3",0.0737388804554939
"57","c-57","2","5",0.374071925878525
"58","c-58","3","2",0.526959717273712
"59","c-59","3","8",0.0685074180364609
"60","c-60","2","6",0.524863481521606
"61","c-61","3","8",0.424792230129242
"62","c-62","1","3",0.0701529309153557
"63","c-63","2","5",0.449583202600479
"64","c-64","3","8",0.246492430567741
"65","c-65","2","5",0.675253987312317
"66","c-66","1","3",0.103824824094772
"67","c-67","3","4",0.196754083037376
"68","c-68","3","8",0.0941678956151009
"69","c-69","3","8",0.337082892656326
"70","c-70","2","7",0.308813780546188
"71","c-71","1","3",0.125532060861588
"72","c-72","2","7",0.203373745083809
"73","c-73","1","3",0.07546416670084
"74","c-74","2","6",0.203173398971558
"75","c-75","3","8",0.370249271392822
"76","c-76","1","3",0.141967579722404
"77","c-77","2","6",0.263586848974228
"78","c-78","3","8",0.411710917949677
"79","c-79","2","5",0.524988174438477
"80","c-80","1","3",0.154662400484085
"81","c-81","2","5",0.387665987014771
"82","c-82","1","3",0.0968229249119759
"83","c-83","1","3",0.147775307297707
"84","c-84","3","4",0.110748827457428
"85","c-85","3","8",0.123251929879189
"86","c-86","1","3",0.154371574521065
"87","c-87","3","8",0.657251596450806
"88","c-88","3","8",0.0144547484815121
"89","c-89","2","5",0.703551113605499
"90","c-90","2","5",0.324605882167816
"91","c-91","2","5",0.737032532691956
"92","c-92","2","5",0.873781025409698
"93","c-93","1","3",0.081013947725296
"94","c-94","2","5",0.74884432554245
"95","c-95","1","3",0.0558416284620762
"96","c-96","3","8",0.174177005887032
"97","c-97","3","8",0.18973296880722
"98","c-98","1","3",0.171000048518181
"99","c-99","3","8",0.279777020215988
"100","c-100","2","6",0.537464499473572
"101","c-101","1","3",0.12048077583313
"102","c-102","2","7",0.221841216087341
"103","c-103","2","7",0.149777308106422
"104","c-104","2","7",0.262005120515823
"105","c-105","1","3",0.109572231769562
"106","c-106","1","3",0.117533840239048
"107","c-107","2","5",0.534089982509613
"108","c-108","2","5",0.677420377731323
"109","c-109","1","3",0.0732108950614929
"110","c-110","1","3",0.178033441305161
"111","c-111","2","5",0.611597716808319
"112","c-112","1","3",0.172925516963005
"113","c-113","2","5",0.46179336309433
"114","c-114","1","3",0.117701448500156
"115","c-115","1","3",0.131108075380325
"116","c-116","2","6",0.527153253555298
"117","c-117","1","3",0.136753425002098
"118","c-118","1","3",0.524627149105072
"119","c-119","2","7",0.162765085697174
"120","c-120","1","3",0.16663633286953
"121","c-121","1","3",0.149836286902428
"122","c-122","2","5",0.568498849868774
"123","c-123","3","8",0.0261144358664751
"124","c-124","3","8",0.167961955070496
"125","c-125","1","3",0.111967861652374
"126","c-126","1","3",0.114263899624348
"127","c-127","2","5",0.620727360248566
"128","c-128","1","3",0.0442616678774357
"129","c-129","2","5",0.37226065993309
"130","c-130","2","6",0.511721074581146
"131","c-131","2","6",0.466862380504608
"132","c-132","1","3",0.112581580877304
"133","c-133","2","6",0.75362366437912
"134","c-134","1","3",0.0930740013718605
