"","cell_id","from","to","percentage"
"1","c-1","2","3",0.526615977287292
"2","c-2","4","2",0.099544532597065
"3","c-3","4","2",0.0932102426886559
"4","c-4","2","5",0.731752336025238
"5","c-5","4","2",0.112655319273472
"6","c-6","2","5",0.858836650848389
"7","c-7","4","2",0.137084558606148
"8","c-8","3","6",0.303757876157761
"9","c-9","2","3",0.585025608539581
"10","c-10","4","2",0.0366283357143402
"11","c-11","2","5",0.854460477828979
"12","c-12","1","2",0.678321540355682
"13","c-13","3","6",0.105875171720982
"14","c-14","2","5",0.573513865470886
"15","c-15","4","2",0.172820255160332
"16","c-16","2","5",0.921570658683777
"17","c-17","3","6",0.721910655498505
"18","c-18","3","6",0.759276747703552
"19","c-19","1","2",0.580325186252594
"20","c-20","2","5",0.812695443630219
"21","c-21","2","3",0.441389322280884
"22","c-22","2","5",0.886484622955322
"23","c-23","3","6",0.815903425216675
"24","c-24","4","2",0.0940290912985802
"25","c-25","4","2",0.0352453179657459
"26","c-26","4","2",0.112141951918602
"27","c-27","4","2",0.146287009119987
"28","c-28","2","5",0.754846513271332
"29","c-29","4","2",0.0962732806801796
"30","c-30","2","3",0.636153221130371
"31","c-31","2","5",0.827879667282104
"32","c-32","2","1",0.950348079204559
"33","c-33","2","1",0.610948860645294
"34","c-34","3","6",0.832708477973938
"35","c-35","3","6",0.840788304805756
"36","c-36","1","2",0.646015465259552
"37","c-37","1","2",0.492000639438629
"38","c-38","3","6",0.67482328414917
"39","c-39","2","5",0.911208152770996
"40","c-40","3","6",0.731985151767731
"41","c-41","3","6",0.536348700523376
"42","c-42","2","3",0.411459416151047
"43","c-43","1","2",0.786237597465515
"44","c-44","2","3",0.623050212860107
"45","c-45","2","3",0.60905647277832
"46","c-46","1","2",0.241043895483017
"47","c-47","4","2",0.106982938945293
"48","c-48","1","2",0.56206738948822
"49","c-49","1","2",0.71644401550293
"50","c-50","2","3",0.635900795459747
"51","c-51","2","1",0.774184763431549
"52","c-52","2","5",0.882350742816925
"53","c-53","3","6",0.347936928272247
"54","c-54","2","1",0.788809835910797
"55","c-55","2","1",0.709866404533386
"56","c-56","2","3",0.42055681347847
"57","c-57","1","2",0.78572952747345
"58","c-58","2","1",0.335892528295517
"59","c-59","2","1",0.412110686302185
"60","c-60","3","6",0.802263796329498
"61","c-61","4","2",0
"62","c-62","2","5",0.91114342212677
"63","c-63","4","2",0.0937394127249718
"64","c-64","2","3",0.469483852386475
"65","c-65","2","5",0.919041037559509
"66","c-66","3","6",0.76581597328186
"67","c-67","2","3",0.374084085226059
"68","c-68","2","3",0.519106984138489
"69","c-69","3","6",0.786229014396667
"70","c-70","4","2",0.100417830049992
"71","c-71","2","5",0.853196144104004
"72","c-72","3","6",0.739047348499298
"73","c-73","3","6",0.837045788764954
"74","c-74","2","3",0.326072543859482
"75","c-75","2","1",0.748583912849426
"76","c-76","2","1",0.721415579319
"77","c-77","2","1",0.638682961463928
"78","c-78","2","3",0.491770505905151
"79","c-79","2","3",0.586297512054443
"80","c-80","1","2",0.600781202316284
"81","c-81","4","2",0.118253566324711
"82","c-82","3","6",0.883328199386597
"83","c-83","4","2",0.0736732482910156
"84","c-84","2","5",0.547743558883667
"85","c-85","4","2",0.0475361458957195
"86","c-86","4","2",0.0645639300346375
"87","c-87","3","6",0.755669355392456
"88","c-88","2","1",0.300976693630219
"89","c-89","2","3",0.599163711071014
"90","c-90","3","6",0.754810452461243
"91","c-91","2","5",0.963584661483765
"92","c-92","4","2",0.0964068993926048
"93","c-93","1","2",0.538713991641998
"94","c-94","4","2",0.0279231742024422
"95","c-95","4","2",0.0727978497743607
"96","c-96","4","2",0.0359147489070892
"97","c-97","4","2",0.103966489434242
"98","c-98","2","3",0.513847410678864
"99","c-99","2","5",0.854142725467682
"100","c-100","2","1",0.730049133300781
"101","c-101","3","6",0.756161153316498
"102","c-102","2","1",0.787820875644684
"103","c-103","2","1",0.401947557926178
"104","c-104","4","2",0.525122582912445
"105","c-105","1","2",0.562007248401642
"106","c-106","2","5",0.517904341220856
"107","c-107","4","2",0.0274680852890015
"108","c-108","2","3",0.28662383556366
"109","c-109","4","2",0.078173965215683
"110","c-110","3","6",0.817500531673431
"111","c-111","2","1",0.82504141330719
"112","c-112","2","5",0.88918924331665
"113","c-113","2","1",0.882796466350555
