"","cell_id","from","to","percentage"
"1","c-1","1","4",0.0605002035196766
"2","c-2","3","2",0.876397039551966
"3","c-3","3","2",0.93432966841022
"4","c-4","3","2",0.0240600788707022
"5","c-5","3","2",0.907503131709475
"6","c-6","3","2",0
"7","c-7","2","6",0.0529748387902269
"8","c-8","1","4",0.702222772505358
"9","c-9","1","4",0.0799993817753
"10","c-10","3","2",0.98294116455017
"11","c-11","3","2",0
"12","c-12","5","1",0.171100186055993
"13","c-13","1","4",0.432726813183578
"14","c-14","3","2",0.0877061832969228
"15","c-15","3","2",0.803630951184128
"16","c-16","3","2",0
"17","c-17","1","4",1
"18","c-18","1","4",1
"19","c-19","6","5",0.646075587132445
"20","c-20","3","2",0
"21","c-21","5","1",0.989925653315109
"22","c-22","3","2",0
"23","c-23","1","4",1
"24","c-24","2","6",0.0397644622477815
"25","c-25","2","6",0.13523519745827
"26","c-26","3","2",0.979949345552443
"27","c-27","2","6",0.163028972789795
"28","c-28","3","2",0.176954344409192
"29","c-29","3","2",0.964694399916588
"30","c-30","1","4",0.102622580489533
"31","c-31","3","2",0
"32","c-32","6","5",0.213772664990477
"33","c-33","2","6",0.802950944792372
"34","c-34","1","4",1
"35","c-35","1","4",1
"36","c-36","6","5",0.751092096528419
"37","c-37","6","5",0.79085178245716
"38","c-38","1","4",0.989694557628572
"39","c-39","3","2",0
"40","c-40","1","4",1
"41","c-41","1","4",0.91887863901974
"42","c-42","5","1",0.930977266233618
"43","c-43","5","1",0.279040107367418
"44","c-44","1","4",0.0937119237312117
"45","c-45","1","4",0.0937119237312117
"46","c-46","6","5",0.931779426336795
"47","c-47","3","2",0.891499690345251
"48","c-48","6","5",0.683670364046767
"49","c-49","5","1",0.275352413725063
"50","c-50","1","4",0.0799993817753
"51","c-51","2","6",0.776254219090641
"52","c-52","3","2",0
"53","c-53","1","4",0.699783700518211
"54","c-54","6","5",0.046143322980936
"55","c-55","2","6",0.609070078491812
"56","c-56","1","4",0.0155626119496932
"57","c-57","5","1",0.592411488126512
"58","c-58","2","6",0.521557571468476
"59","c-59","2","6",0.633355483541304
"60","c-60","1","4",1
"61","c-61","2","6",0.086522398546272
"62","c-62","3","2",0
"63","c-63","2","6",0.550792294115948
"64","c-64","1","4",0.0474158143459698
"65","c-65","3","2",0
"66","c-66","1","4",1
"67","c-67","5","1",0.804063086528642
"68","c-68","1","4",0.0707654085382648
"69","c-69","1","4",1
"70","c-70","2","6",0.447065819048655
"71","c-71","3","2",0
"72","c-72","1","4",1
"73","c-73","1","4",1
"74","c-74","5","1",0.920812104342653
"75","c-75","6","5",0.0846814617800633
"76","c-76","6","5",0.0822552598466226
"77","c-77","2","6",0.734406955215755
"78","c-78","1","4",0.0484469238398788
"79","c-79","1","4",0.0924101906108381
"80","c-80","6","5",0.591050240916662
"81","c-81","3","2",0.889175467370061
"82","c-82","1","4",1
"83","c-83","3","2",0.823887486070697
"84","c-84","3","2",0.134575565442191
"85","c-85","3","2",0.923098294127852
"86","c-86","2","6",0.190527028908428
"87","c-87","1","4",1
"88","c-88","2","6",0.331655111892483
"89","c-89","1","4",0.0799993817753
"90","c-90","1","4",1
"91","c-91","3","2",0
"92","c-92","2","6",0.261907788372685
"93","c-93","5","1",0.0515706069957559
"94","c-94","2","6",0.0227671913196024
"95","c-95","3","2",0.938698203302625
"96","c-96","2","6",0.0424824293750493
