"","from","to","length","directed"
"1","Y_88","Y_211",0.232376620733418,FALSE
"2","Y_35","Y_211",0.294472755977763,FALSE
"3","Y_170","Y_194",20.086441707925,FALSE
"4","Y_21","Y_274",38.5542075523121,FALSE
"5","Y_11","Y_232",4.08410787276326,FALSE
"6","Y_21","Y_232",6.67492961143515,FALSE
"7","Y_93","Y_194",2.45704265436648,FALSE
"8","Y_88","Y_162",0.72551763334614,FALSE
"9","Y_21","Y_194",2.47904134861323,FALSE
"10","Y_88","Y_93",0.378489276153648,FALSE
"11","Y_195","Y_211",0.835479042532117,FALSE
"12","Y_157","Y_232",0.488795517795868,FALSE
"13","Y_8","Y_93",0.543711054236864,FALSE
