"","cell_id","from","to","percentage"
"1","c-1","Y_88","Y_162",1
"2","c-2","Y_170","Y_194",0.793815034575462
"3","c-3","Y_11","Y_232",0.508330509049294
"4","c-4","Y_21","Y_274",0.534559370899259
"5","c-5","Y_170","Y_194",0.455997850507599
"6","c-6","Y_170","Y_194",0.946562789544304
"7","c-7","Y_21","Y_194",0.0861583867102792
"8","c-8","Y_21","Y_274",1
"9","c-9","Y_21","Y_274",0.355665757463079
"10","c-10","Y_93","Y_194",0.543766906055097
"11","c-11","Y_11","Y_232",0.860077841623779
"12","c-12","Y_21","Y_274",0.0430042666998194
"13","c-13","Y_93","Y_194",0.795250360475973
"14","c-14","Y_11","Y_232",0.403195852575068
"15","c-15","Y_195","Y_211",0
"16","c-16","Y_8","Y_93",0.629579959068735
"17","c-17","Y_35","Y_211",0
"18","c-18","Y_21","Y_274",0.223577265994286
"19","c-19","Y_11","Y_232",0.435112229512505
"20","c-20","Y_170","Y_194",0.461104526460257
"21","c-21","Y_11","Y_232",0.0728151289186351
"22","c-22","Y_21","Y_274",0.967217207660665
"23","c-23","Y_21","Y_274",0.562279198171037
"24","c-24","Y_170","Y_194",0.154799452394329
"25","c-25","Y_21","Y_194",0.0861583867102792
"26","c-26","Y_93","Y_194",0.385005716541729
"27","c-27","Y_11","Y_232",0.157657374738702
"28","c-28","Y_170","Y_194",0.92286837772587
"29","c-29","Y_170","Y_194",0.420537538630634
"30","c-30","Y_93","Y_194",0.629041494520804
"31","c-31","Y_21","Y_194",0.717494296440388
"32","c-32","Y_21","Y_274",0.123955262544849
"33","c-33","Y_21","Y_194",0.717494296440388
"34","c-34","Y_11","Y_232",0.508330509049294
"35","c-35","Y_157","Y_232",0
"36","c-36","Y_8","Y_93",0
"37","c-37","Y_21","Y_274",0.822166376809907
"38","c-38","Y_170","Y_194",0.800289054135623
"39","c-39","Y_21","Y_274",0.333500955924615
"40","c-40","Y_21","Y_274",0.665070191019016
"41","c-41","Y_170","Y_194",0.92286837772587
"42","c-42","Y_170","Y_194",0.605872428172395
"43","c-43","Y_170","Y_194",0.352579031521
"44","c-44","Y_170","Y_194",0.568466220339282
"45","c-45","Y_21","Y_232",0.896573599246309
"46","c-46","Y_11","Y_232",0.269783629312185
"47","c-47","Y_8","Y_93",0
"48","c-48","Y_170","Y_194",0.337957424271121
"49","c-49","Y_21","Y_274",0.00474781571021551
"50","c-50","Y_11","Y_232",0.157657374738702
"51","c-51","Y_93","Y_194",0.191160768104432
"52","c-52","Y_170","Y_194",0.521434286169971
"53","c-53","Y_170","Y_194",0.495570201616447
"54","c-54","Y_11","Y_232",0
"55","c-55","Y_93","Y_194",0.543766906055097
"56","c-56","Y_157","Y_232",0.3213055196354
"57","c-57","Y_35","Y_211",0
"58","c-58","Y_11","Y_232",0.366038255066487
"59","c-59","Y_21","Y_194",0.0861583867102792
"60","c-60","Y_170","Y_194",0.12443480415985
"61","c-61","Y_35","Y_211",0
"62","c-62","Y_21","Y_194",0.0861583867102792
"63","c-63","Y_170","Y_194",0.800289054135623
"64","c-64","Y_157","Y_232",0.3213055196354
"65","c-65","Y_21","Y_274",0.333500955924615
"66","c-66","Y_88","Y_93",0.539549019368199
"67","c-67","Y_21","Y_194",0.407244791644084
"68","c-68","Y_170","Y_194",0.590168112223966
"69","c-69","Y_8","Y_93",0.314388099430578
"70","c-70","Y_170","Y_194",0.00107178025991497
"71","c-71","Y_21","Y_274",1
"72","c-72","Y_93","Y_194",0.543766906055097
"73","c-73","Y_11","Y_232",0.942586210710063
"74","c-74","Y_170","Y_194",0.190171749633878
"75","c-75","Y_170","Y_194",0
"76","c-76","Y_93","Y_194",0.543766906055097
"77","c-77","Y_21","Y_274",0.37650944126979
"78","c-78","Y_170","Y_194",0.590168112223966
"79","c-79","Y_21","Y_274",0.562279198171037
"80","c-80","Y_21","Y_274",0.967217207660665
"81","c-81","Y_88","Y_162",0.395423595698198
"82","c-82","Y_93","Y_194",0.130997769722474
"83","c-83","Y_157","Y_232",0
"84","c-84","Y_21","Y_194",0.0861583867102792
"85","c-85","Y_21","Y_232",0.123993509764649
"86","c-86","Y_170","Y_194",0.40473562371545
"87","c-87","Y_170","Y_194",0.625090488925681
"88","c-88","Y_170","Y_194",0.107748361471615
"89","c-89","Y_21","Y_274",0.822166376809907
"90","c-90","Y_21","Y_194",0.487176775013997
"91","c-91","Y_170","Y_194",0.474330834706771
"92","c-92","Y_93","Y_194",0.886836553606784
"93","c-93","Y_11","Y_232",0.542043771322812
"94","c-94","Y_195","Y_211",0
"95","c-95","Y_170","Y_194",0.176442447895289
"96","c-96","Y_93","Y_194",0.244792243790475
"97","c-97","Y_93","Y_194",0.385005716541729
"98","c-98","Y_35","Y_211",0
"99","c-99","Y_21","Y_274",0.00474781571021551
"100","c-100","Y_21","Y_274",0.223577265994286
"101","c-101","Y_35","Y_211",0
"102","c-102","Y_11","Y_232",0.860077841623779
"103","c-103","Y_11","Y_232",0.623969316462861
"104","c-104","Y_170","Y_194",0.584396945626999
"105","c-105","Y_21","Y_274",0.0699954332517642
"106","c-106","Y_11","Y_232",0.298543501076189
"107","c-107","Y_21","Y_232",0.123993509764649
"108","c-108","Y_93","Y_194",0.130997769722474
"109","c-109","Y_35","Y_211",0
"110","c-110","Y_11","Y_232",0.472914595653828
