"","from","to","length","directed"
"1","1","2",0.0182256251573563,TRUE
"2","2","13",0.0469745099544525,TRUE
"3","3","5",0.00820547342300415,TRUE
"4","4","3",0.0268028825521469,TRUE
"5","2","10",0.0199242234230042,TRUE
"6","5","2",0.00854977965354919,TRUE
"7","6","7",0.0883283242583275,TRUE
"8","7","4",0.0570721924304962,TRUE
"9","8","14",0.823870658874512,TRUE
"10","2","15",0.0823268592357635,TRUE
"11","9","2",0.0343171060085297,TRUE
"12","10","16",0.00757178664207458,TRUE
"13","11","10",0.045256644487381,TRUE
"14","10","17",0.531258106231689,TRUE
"15","12","6",0.0198108721524477,TRUE
"16","10","18",0.0794333666563034,TRUE
"17","10","19",0.00211606919765472,TRUE
"18","10","8",0.0023106187582016,TRUE
"19","13","20",0.000875845551490784,TRUE
