"","cell_id","from","to","percentage"
"1","c-1","2","13",0.932234287261963
"2","c-2","9","2",0.807140052318573
"3","c-3","1","2",0.220979303121567
"4","c-4","10","17",0
"5","c-5","4","3",0.484394103288651
"6","c-6","5","2",0.441080510616302
"7","c-7","2","10",0.252822548151016
"8","c-8","8","14",0.513866186141968
"9","c-9","2","15",0.644504427909851
"10","c-10","2","13",0.928041338920593
"11","c-11","1","2",0.331777989864349
"12","c-12","8","14",0.451606392860413
"13","c-13","2","10",0.155755177140236
"14","c-14","1","2",0.233298808336258
"15","c-15","2","13",0.935107350349426
"16","c-16","2","13",0.956610262393951
"17","c-17","2","13",0.942905485630035
"18","c-18","5","2",0.79998117685318
"19","c-19","1","2",0.162150964140892
"20","c-20","4","3",0.508762657642365
"21","c-21","1","2",0.309166610240936
"22","c-22","8","14",0.109139382839203
"23","c-23","8","14",0.000216480577364564
"24","c-24","6","7",0.560631334781647
"25","c-25","2","10",0.136288300156593
"26","c-26","2","13",0.930661559104919
"27","c-27","1","2",0.236888855695724
"28","c-28","5","2",0.366593688726425
"29","c-29","4","3",0.355840384960175
"30","c-30","2","13",0.887750804424286
"31","c-31","2","10",0.0626635998487473
"32","c-32","10","16",0.426556766033173
"33","c-33","2","10",0.056756753474474
"34","c-34","1","2",0.168381839990616
"35","c-35","1","2",0.169334337115288
"36","c-36","2","13",0.91327702999115
"37","c-37","11","10",0.280603796243668
"38","c-38","10","16",0.155691221356392
"39","c-39","2","15",0.152822285890579
"40","c-40","10","18",0.95619922876358
"41","c-41","5","2",0.485598653554916
"42","c-42","3","5",0.501955807209015
"43","c-43","7","4",0.864982724189758
"44","c-44","3","5",0.316856145858765
"45","c-45","2","10",0.208848759531975
"46","c-46","1","2",0.266324698925018
"47","c-47","1","2",0.0888994485139847
"48","c-48","7","4",0.854461193084717
"49","c-49","2","10",0.265651881694794
"50","c-50","1","2",0.344467878341675
"51","c-51","2","13",0.890604197978973
"52","c-52","4","3",0.650886654853821
"53","c-53","4","3",0.571260750293732
"54","c-54","1","2",0.176941230893135
"55","c-55","2","13",0.885952532291412
"56","c-56","1","2",0.176570042967796
"57","c-57","2","13",0.955366790294647
"58","c-58","1","2",0.310939967632294
"59","c-59","2","10",0.198305726051331
"60","c-60","6","7",0.48700538277626
"61","c-61","2","13",0.95525449514389
"62","c-62","2","10",0.203526005148888
"63","c-63","10","16",0.269617855548859
"64","c-64","1","2",0.142607197165489
"65","c-65","2","15",0.242683172225952
"66","c-66","2","13",0.937213361263275
"67","c-67","2","10",0.162193030118942
"68","c-68","3","5",0.376488208770752
"69","c-69","2","13",0.877960205078125
"70","c-70","12","6",0
"71","c-71","8","14",0.487182050943375
"72","c-72","2","10",0.0721191987395287
"73","c-73","1","2",0.285119533538818
"74","c-74","6","7",0.802375078201294
"75","c-75","12","6",0.789948105812073
"76","c-76","2","13",0.88371741771698
"77","c-77","2","15",0.896288096904755
"78","c-78","3","5",0.411044925451279
"79","c-79","8","14",2.24818577407859e-05
"80","c-80","8","14",0.107361562550068
"81","c-81","2","13",0.891861617565155
"82","c-82","2","13",0.885707318782806
"83","c-83","1","2",0.130898430943489
"84","c-84","2","10",0.163661882281303
"85","c-85","10","16",0.22946310043335
"86","c-86","4","3",0.487298965454102
"87","c-87","3","5",0.461912989616394
"88","c-88","6","7",0.383092999458313
"89","c-89","11","10",0.344217330217361
"90","c-90","2","10",0.158388495445251
"91","c-91","4","3",0.677113234996796
"92","c-92","2","10",0.070321261882782
"93","c-93","1","2",0.216761335730553
"94","c-94","2","13",0.936537027359009
"95","c-95","6","7",0.736654698848724
"96","c-96","2","13",0.906322956085205
"97","c-97","2","13",0.944284796714783
"98","c-98","2","13",0.945399820804596
"99","c-99","2","10",0.331966698169708
"100","c-100","5","2",0.777292490005493
"101","c-101","2","13",0.938589155673981
"102","c-102","1","2",0.260138779878616
"103","c-103","1","2",0.113460786640644
"104","c-104","3","5",0.334313362836838
"105","c-105","10","8",0.867221713066101
"106","c-106","1","2",0.194795027375221
"107","c-107","10","16",0.347888559103012
"108","c-108","2","13",0.892394542694092
"109","c-109","2","13",0.974086463451385
"110","c-110","1","2",0.103215515613556
"111","c-111","10","16",0.911060869693756
"112","c-112","10","8",0.998774707317352
"113","c-113","2","13",0.998294293880463
"114","c-114","3","5",0.43402099609375
"115","c-115","2","10",0.182588785886765
"116","c-116","5","2",0.270964115858078
"117","c-117","7","4",0.727946877479553
"118","c-118","4","3",0.27936115860939
"119","c-119","3","5",0.643108248710632
"120","c-120","1","2",0.168969690799713
"121","c-121","1","2",0.29028183221817
"122","c-122","5","2",0.502199530601501
"123","c-123","3","5",0.689432680606842
"124","c-124","1","2",0.189462691545486
"125","c-125","4","3",0.238649785518646
"126","c-126","2","10",0.226950719952583
"127","c-127","2","13",0.894997656345367
"128","c-128","2","13",0.970520317554474
"129","c-129","1","2",0.327458649873734
"130","c-130","2","15",0.8669114112854
"131","c-131","5","2",0.3220354616642
"132","c-132","4","3",0.488817274570465
"133","c-133","5","2",0.813176453113556
"134","c-134","1","2",0.216514423489571
"135","c-135","1","2",0.173129618167877
"136","c-136","1","2",0.183288216590881
"137","c-137","3","5",0.2119020819664
