"","cell_id","from","to","percentage"
"1","c-1","1","3",0.000406819726620579
"2","c-2","8","1",0.970163335476669
"3","c-3","1","2",0.942233907235692
"4","c-4","1","3",0.947962500376553
"5","c-5","4","8",0.00927277804461529
"6","c-6","1","3",0.211817827274411
"7","c-7","1","3",0.643620744506121
"8","c-8","1","3",1
"9","c-9","7","5",0.654128424524407
"10","c-10","1","2",0.135041052160456
"11","c-11","1","2",0.992089473946155
"12","c-12","1","3",1
"13","c-13","1","2",0.297499823416474
"14","c-14","2","7",0.055324599915523
"15","c-15","8","1",0.87673600081752
"16","c-16","8","1",0.926429967141271
"17","c-17","8","1",0.9723224892354
"18","c-18","8","1",0.984571453298474
"19","c-19","2","7",0.0252210327060586
"20","c-20","4","8",0.000224410667135785
"21","c-21","2","7",0.019294888169659
"22","c-22","1","3",1
"23","c-23","1","3",0.999667739560359
"24","c-24","6","9",0.0368742895693152
"25","c-25","1","3",0.521790209272907
"26","c-26","1","3",0.120615021017072
"27","c-27","2","7",0.0259938371820847
"28","c-28","8","1",0.827188495126786
"29","c-29","9","4",0.874087996189276
"30","c-30","1","2",0.207629169963426
"31","c-31","1","3",0.204277083423185
"32","c-32","1","3",1
"33","c-33","1","3",0.240858923520471
"34","c-34","2","7",0.0225635521144795
"35","c-35","1","2",0.488902452278415
"36","c-36","8","1",0.794902125441554
"37","c-37","1","3",0.89137791543325
"38","c-38","1","3",1
"39","c-39","7","5",0.0462668287623706
"40","c-40","1","3",0.988327543711803
"41","c-41","8","1",0.925059024441924
"42","c-42","4","8",0.957670087701723
"43","c-43","9","4",0.439947027634448
"44","c-44","4","8",0.931143347191782
"45","c-45","1","3",0.337055324929419
"46","c-46","2","7",0.021237249404767
"47","c-47","8","1",0.806163819031212
"48","c-48","9","4",0.326435729116975
"49","c-49","1","3",0.640534236492261
"50","c-50","2","7",0.0108306231134979
"51","c-51","8","1",0.993157963899652
"52","c-52","4","8",0.390395213012196
"53","c-53","4","8",0.322934173196186
"54","c-54","1","2",0.906106115058935
"55","c-55","8","1",0.771463327355971
"56","c-56","1","2",0.848799298966623
"57","c-57","8","1",0.811643814516349
"58","c-58","2","7",0.019103489728626
"59","c-59","1","3",0.64745113867666
"60","c-60","10","6",0.6813990171032
"61","c-61","8","1",0.631486349636706
"62","c-62","1","3",0.77718800369034
"63","c-63","1","3",1
"64","c-64","1","2",0.777015379183221
"65","c-65","7","5",0.208204690698753
"66","c-66","8","1",0.842316482127416
"67","c-67","1","3",0.350541431340765
"68","c-68","4","8",0.791562292562573
"69","c-69","1","3",0.100432410042056
"70","c-70","10","6",0
"71","c-71","1","3",1
"72","c-72","1","3",0.193346983684891
"73","c-73","1","2",0.745505212209843
"74","c-74","6","9",0.239510564202924
"75","c-75","10","6",0
"76","c-76","8","1",0.991692865648376
"77","c-77","7","5",1
"78","c-78","4","8",0.96256234671599
"79","c-79","1","3",1
"80","c-80","1","3",1
"81","c-81","8","1",0.955236167395497
"82","c-82","8","1",0.756983153304093
"83","c-83","1","2",0.888481792721939
"84","c-84","1","3",0.682546685395957
"85","c-85","1","3",1
"86","c-86","9","4",0.720001154611224
"87","c-87","8","1",0.0603203484908741
"88","c-88","10","6",0.533121329900244
"89","c-89","1","3",0.962444442756453
"90","c-90","1","3",0.3048172405985
"91","c-91","4","8",0.0983645084714806
"92","c-92","1","2",0.303062603153771
"93","c-93","2","7",0.00549838350630373
"94","c-94","8","1",0.908027067547057
"95","c-95","6","9",0.184034809467272
"96","c-96","1","3",0.0299643959247479
"97","c-97","1","3",0.0619169934437849
"98","c-98","8","1",0.863634642245693
"99","c-99","1","3",0.776981192943983
"100","c-100","1","3",0.0629388028093948
"101","c-101","8","1",0.755598200864901
"102","c-102","1","2",0.861201917649865
"103","c-103","2","7",0.00615538609238325
"104","c-104","4","8",0.949295064271019
"105","c-105","1","3",0.935344428654139
"106","c-106","2","7",0.0125635658828746
"107","c-107","1","3",1
"108","c-108","8","1",0.942650970067401
"109","c-109","8","1",0.830534836935087
"110","c-110","2","7",0.025418844634703
"111","c-111","1","3",1
"112","c-112","1","3",0.945143266406489
"113","c-113","8","1",0.769481750148667
"114","c-114","4","8",0.966107134685096
"115","c-115","1","3",0.43012862336481
"116","c-116","8","1",0.534916672384684
"117","c-117","9","4",0.262425942227268
"118","c-118","9","4",0.787418246393574
"119","c-119","8","1",0.248342992038966
"120","c-120","1","2",0.968725907647256
"121","c-121","2","7",0.0192723557668503
"122","c-122","1","3",0.0474542764887698
"123","c-123","8","1",0.128421700164984
"124","c-124","1","2",0.557001030815097
"125","c-125","9","4",0.725923808992757
"126","c-126","1","3",0.579629597469285
"127","c-127","1","3",0.0738898971011194
"128","c-128","8","1",0.781543092449504
"129","c-129","2","7",0.0180663138674711
"130","c-130","7","5",1
"131","c-131","8","1",0.707177514256239
"132","c-132","4","8",0.378973679540787
"133","c-133","1","3",0.0309895833288362
"134","c-134","1","2",0.83787171519849
"135","c-135","2","7",0.008769431096044
"136","c-136","2","7",0.0322397332173022
"137","c-137","4","8",0.756048109181024
"138","c-138","8","1",0.917054474406382
"139","c-139","1","2",0.2958787789774
"140","c-140","1","3",0.085578800139454
"141","c-141","4","8",0.894109500034415
"142","c-142","1","3",0.632175278104423
"143","c-143","4","8",0.883426298751459
"144","c-144","2","7",0.0193030313028333
"145","c-145","8","1",0.164477228888032
"146","c-146","2","7",0.0119474589102794
"147","c-147","10","6",0
"148","c-148","1","3",0.598829621073885
"149","c-149","1","3",0.931374120290189
"150","c-150","2","7",0.0150578137006404
"151","c-151","1","2",0.863651651987321
"152","c-152","4","8",0.966031383566943
"153","c-153","4","8",0.90005125103077
"154","c-154","7","5",1
"155","c-155","1","3",1
"156","c-156","4","8",0.0613070601079414
"157","c-157","9","4",0.829359631192207
"158","c-158","2","7",0.00935464779205674
"159","c-159","1","3",1
"160","c-160","9","4",0.609889441109029
"161","c-161","4","8",0.799566829589266
"162","c-162","4","8",0.809014132873686
"163","c-163","1","3",0.845183874068241
"164","c-164","4","8",0.124874398502053
"165","c-165","8","1",0.879642998517275
"166","c-166","1","3",1
"167","c-167","9","4",0.962119194719853
"168","c-168","9","4",0.714015491075012
"169","c-169","7","5",1
"170","c-170","1","3",1
"171","c-171","8","1",0.992960109499858
"172","c-172","6","9",0.475451403385921
"173","c-173","10","6",0
"174","c-174","1","2",0.454249230687061
"175","c-175","4","8",0.977673648955268
"176","c-176","8","1",0.660176104837456
"177","c-177","8","1",0.755317206627697
"178","c-178","9","4",0.738780955087576
"179","c-179","10","6",0.896883076072831
"180","c-180","1","3",0.852741274569365
"181","c-181","1","3",1
"182","c-182","1","3",0.858457692754796
"183","c-183","1","2",0.595741852542549
"184","c-184","1","2",0.999347430682944
"185","c-185","1","3",0.840896241687471
"186","c-186","4","8",0.16629620114115
"187","c-187","4","8",0.136131464965636
"188","c-188","1","3",1
"189","c-189","9","4",0.0896751558682717
"190","c-190","1","3",0.0286612784720063
"191","c-191","4","8",0.501208414048665
"192","c-192","1","3",1
"193","c-193","2","7",0.0257110973654169
"194","c-194","1","3",0.361459416920962
"195","c-195","1","3",0.756957165382884
"196","c-196","2","7",0.0111667159596424
"197","c-197","1","2",0.992882200324766
"198","c-198","8","1",0.776697026201818
"199","c-199","1","3",0.961631478927844
"200","c-200","1","2",0.954424782561158
"201","c-201","1","3",0.513734136489365
"202","c-202","4","8",0.225265638419434
"203","c-203","6","9",0.534551911551365
"204","c-204","10","6",0
"205","c-205","6","9",0.243139587336897
"206","c-206","2","7",0.0449791514295467
"207","c-207","8","1",0.858734183901222
"208","c-208","1","3",0.0979326216786992
"209","c-209","1","3",0.614153182046888
"210","c-210","8","1",0.76800606419345
"211","c-211","1","3",0.153710618526145
"212","c-212","1","2",0.49511765077895
"213","c-213","4","8",0.134337823838206
"214","c-214","7","5",1
"215","c-215","8","1",0.721199642216491
"216","c-216","1","3",0.934715073979187
"217","c-217","2","7",0.0701646436672906
"218","c-218","1","3",0.761611136427784
"219","c-219","8","1",0.781500106308264
"220","c-220","1","3",1
"221","c-221","4","8",0.0128630964562873
"222","c-222","1","3",0.119742451260888
"223","c-223","8","1",0.137583183367073
"224","c-224","1","3",0.941692167285885
"225","c-225","9","4",0.0621255225145183
"226","c-226","1","2",0.981817061682398
"227","c-227","8","1",0.417174108638943
"228","c-228","4","8",0.888157230875316
"229","c-229","1","3",0.00205405017310051
"230","c-230","4","8",0.706678262762583
"231","c-231","2","7",0.0342024333684856
"232","c-232","2","7",0.952934685166026
"233","c-233","1","3",0.476663306288817
"234","c-234","8","1",0.817087896588641
"235","c-235","8","1",0.904123744588143
"236","c-236","1","3",0.0395251657564769
"237","c-237","1","3",0.9297337248878
"238","c-238","8","1",0.803596106608445
"239","c-239","1","3",0.00196684995895675
"240","c-240","1","3",0.0270086712823698
"241","c-241","2","7",0.0222227365716797
"242","c-242","1","2",0.823478035111054
"243","c-243","6","9",0.516732214212486
"244","c-244","6","9",0.0127817512021815
"245","c-245","1","3",0.814163866868296
"246","c-246","8","1",0.959878568436999
"247","c-247","8","1",0.731519076003444
"248","c-248","10","6",0.32354318863353
"249","c-249","1","3",0.217821895333259
"250","c-250","8","1",0.0352637305669063
"251","c-251","2","7",0.0110461607808276
"252","c-252","8","1",0.766777247245571
"253","c-253","1","3",0.799582723961586
"254","c-254","10","6",0.488968696969775
"255","c-255","1","3",0.893876673991934
"256","c-256","8","1",0.899134130681508
"257","c-257","4","8",0.129048642957765
"258","c-258","2","7",0.0108427607203529
"259","c-259","1","3",1
"260","c-260","4","8",0.928593153339679
