,method,data,ISO score,GED score,IM score,ARI,GRI,PDT score,source
0,map,aging,0.59,0.7266666666666667,0.9999999999999976,0.6359469716619186,0.5917645536242795,0.7723248287577829,real
1,mean,aging,0.59,0.7266666666666667,0.9999999999999976,0.6359469716619186,0.5943886262847217,0.7864497085898516,real
2,modified_map,aging,0.59,0.7266666666666667,0.9999999999999976,0.6359469716619186,0.5920053844830239,0.7739190375382264,real
3,w_base,aging,0.56,0.7066666666666667,0.9999999999999974,0.6359469716619186,0.5955292067968557,0.7956265987341318,real
4,raw_map,aging,0.5,0.6666666666666667,0.9999999999999971,0.6359469716619186,0.5918895018498285,0.7852572379968027,real
5,modified_mean,aging,0.6,0.7333333333333333,0.9999999999999978,0.6359469716619186,0.5952832001657477,0.7902486263829893,real
6,modified_mean,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
7,map,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
8,w_base,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
9,mean,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
10,modified_map,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
11,raw_map,bifurcating_1,1.0,1.0,1.0,0.9227160113623403,0.9113504560707468,0.9771786720249787,dyngen
12,mean,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
13,modified_mean,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
14,modified_map,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
15,raw_map,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
16,map,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
17,w_base,bifurcating_2,1.0,1.0,1.0,0.8738319956317347,0.9136828467945572,0.9779363986873294,dyngen
18,mean,bifurcating_3,0.76,0.9314285714285714,0.8857841403163011,0.8694625507701583,0.8950423179741199,0.9605144023067347,dyngen
19,modified_mean,bifurcating_3,0.76,0.9314285714285714,0.8857841403163011,0.8694625507701583,0.8950423179741199,0.9605144023067347,dyngen
20,map,bifurcating_3,0.72,0.92,0.8667481637023513,0.8694625507701583,0.8942905799868482,0.9587380428373841,dyngen
21,raw_map,bifurcating_3,0.7,0.9142857142857143,0.8572301753953764,0.8694625507701583,0.8938949316279186,0.9578611732558957,dyngen
