,method,ISO score,GED score,IM score,ARI,GRI,PDT score,type,data,source
0,monocle,0,0.333333333,0,0.59703304,0.496365366,0.154256491,non-UMI,aging,real
1,paga,0,0,0,0.723496343,0.77524358,0.889530376,non-UMI,aging,real
2,slingshot,0,0.333333333,0,0.686915645,0.713025113,0.883097292,non-UMI,aging,real
3,monocle,0,0,0,0.646886405,0.634846171,0.423957919,non-UMI,bifurcating_1,dyngen
4,paga,0,0,0,0.722882194,0.860460495,0.409285241,non-UMI,bifurcating_1,dyngen
5,slingshot,0,0.142857143,0,0.816118211,0.875370221,0.94291508,non-UMI,bifurcating_1,dyngen
6,monocle,0,0.285714286,0,0.672579976,0.840158152,0.028141811,non-UMI,bifurcating_2,dyngen
7,paga,0,0,0,0.730861197,0.857127177,0.935429067,non-UMI,bifurcating_2,dyngen
8,slingshot,0,0.571428571,0,0.741662527,0.866692099,0.969838195,non-UMI,bifurcating_2,dyngen
9,monocle,0,0,0,0.651993647,0.803459924,0.873822383,non-UMI,bifurcating_3,dyngen
10,paga,0,0,0,0.708543943,0.847776189,0.489992741,non-UMI,bifurcating_3,dyngen
11,slingshot,0,0,0,0.62953744,0.651977357,0.751815253,non-UMI,bifurcating_3,dyngen
12,monocle,0,0,0,0.499833,0.554733,0.498837,UMI,bifurcation,our model
13,paga,0,0.333333,0,0.843603,0.831771,0.589453,UMI,bifurcation,our model
14,slingshot,0,0.333333,0,0.499826,0.608857,0.499671,UMI,bifurcation,our model
15,monocle,0,0,0,0.619317463,0.471987573,,non-UMI,cell_cycle,real
16,paga,0,0,0,0.603503408,0.61981443,,non-UMI,cell_cycle,real
17,slingshot,0,0,0,0.614098518,0.62157335,,non-UMI,cell_cycle,real
18,monocle,0,0,0,0.634726803,0.750453996,0.08395413,non-UMI,converging_1,dyngen
19,paga,0,0,0,0.678532107,0.786120312,0.897973809,non-UMI,converging_1,dyngen
20,slingshot,1,1,1,0.775354989,0.850386465,0.588726477,non-UMI,converging_1,dyngen
